Country,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,11.2,11.3,11.4,11.7667,12.1333,12.5,,,
Albania,12.1,12.8,13.6,14.4,15.1,15.5,15.3,14.9,14.8
Algeria,13.4,13.8,14.1,,,,,,
Angola,,9.9,11.9,,,,,,
"Antigua and Barbuda",12.8,12.8,12.6,12.1,,,,,
Argentina,15.8,16.1,16.1,16.1,16,16.1,16.2,16.4,
Armenia,12.7,12.8,12.9,12.85,12.8,12.8,12.6,,
Aruba,13.2,13.1,12.8,13.2,,,,,
Australia,,,,,,,22.9,22.5,
Austria,,,,,,15.5,15.6,15.8,
Azerbaijan,,,,,,,,13.2,13.2
Bahrain,,,13.1,12.6,12.7,13,14.5,14.8,14.7
Bangladesh,8.8,9.0625,9.325,9.5875,9.85,10.1125,10.375,10.6375,10.9
Barbados,14.4,14.1,13.9,,,,,,
Belarus,14.9,14.9,15.1,15.2,15.1,15,15,15.1,15
Belgium,18.1,18.1,18.2,18.3,18.4,18.7,18.8,18.8,
Belize,12.2,12.2,12.2,12.6,12.5,12.5,12.7,13.3,12.9
Benin,,,13,13.55,14.1,14,14.2,13.8,
Bermuda,,,11.4,11.3,11,11,10.9,,
Bhutan,11.1,11.5,11.9,12.2,12,,,,
Brazil,13.3,13.45,13.6,13.5,14.8,14.8,14.9,,
Brunei,13.9,13.8,14.1,14.6,14.5,14.4,14.2,14.1,14
Bulgaria,13.9,14.2,14.3,14.3,14.7,14.9,14.8,14.6,
"Burkina Faso",6.9,7.2,7.7,7.9,8.1,8.2,8.5,8.8,9.1
"Burma (Myanmar)",,,,,,,,,10.1
Burundi,,11.1,11.5,11.7,11.9,12.1,12.15,12.2,11.5
Cameroon,10.9,11.35,11.8,12.3,12.65,13,13.3,13.6,
Canada,14.8,14.7,14.8,15.2,15.3,15.4,15.5,15.6,
"Cape Verde",11.8,11.9,12.1,12,12.3,12.1,11.9,11.7,11.6
"Central African Republic",7.7,7.9,8.1,8.3,,,,,
Chad,8.2,8.1,8.8,9.0333,9.2667,9.5,,,
Chile,15,15,15.1,15.1,15.8,15.9,16.1,16.2,
China,12.6,12.9,13.1,13.2,13.4,,,,
Colombia,14,14,14.2,13.8,14.2,14.1,14.1,14.3,14.3
Comoros,,,,,11.4,11.4,,,
"Congo (Brazzaville)",,,,10.7,,,,,
"Congo (Kinshasa)",10.2,10.55,10.9,10.5,10.7,,,,
"Costa Rica",,,14.1,14.3,14.5,14.7,14.8,14.9,
Croatia,13.7,13.7,13.9,14.2,14.5,14.5,14.4,14.3,
Cuba,15.9,15.3,14.8,14.1,13.5,13.6,13.7,13.8,
Curacao,,,,,17.7,,,,
Cyprus,14.7,13.9,13.7,13.6,13.7,13.8,14.2,,
"Czech Republic",15.4,15.5,15.6,15.6,15.9,16,16.1,16.1,
Denmark,16.1,16.3,17.8,18,18.5,18.3,18.4,18.4,
Djibouti,5.9,6.2,6.5,,,,,,
"Dominican Republic",,,,12.7,12.7,12.7,13,13,
Ecuador,,,,14.8,15.0333,15.2667,15.5,,
Egypt,12,12.2,12.2,12.6,12.9,12.8,12.95,13.1,
"El Salvador",12.6,12.7,12.9,13,13,12.8,12.4,12.2,
Eritrea,6.3,6,6.1,6.2,6.3,6.4,5.8,,
Estonia,15.1,15.4,15.6,15.6,15.6,15.4,15.3,15.3,
Ethiopia,8.7,8.8,8.9,8.9,,,,,
Finland,16.2,16.4,16.5,16.5,18.5,18.5,18.5,18.5,
France,14.8,14.9,14.9,15,15.1,15.2,15.1,15.2,
Gambia,8.8,8.7,,,,,,,
Georgia,,,,,13.7,14,14.4,14.8,15.2
Germany,,,,,16.9,17,17,17.2,
Ghana,10.7,11.05,11.4,11.7,11.8,11.4,11.9,11.7,11.7
Greece,,16.3,16.4,16.6,16.8,17.5,17.8,18.1,
Grenada,15.3,15.5167,15.7333,15.95,16.1667,16.3833,16.6,16.3,16.2
Guatemala,,,,,10.8,10.9,10.9,,
Guinea,,,10,10.1333,10.2667,10.4,,,
Guyana,10.4,10.6,11.1,11,,,,,
Honduras,,10.3,10.15,10,9.8,9.7,9.8,,
Hungary,14.8,14.9,14.9,14.9,15.2,15,14.9,14.8,
Iceland,17.1,17.3,17.5,17.8,18.3,18.4,18.2,18,
India,10.7,11,11.4,11.35,11.3,11.6,11.6,11.9,
Indonesia,12.1,12.1,12.4,12.6,12.8,12.8,12.9667,13.1333,13.3
Iran,12.9,13.1,13.6,15,15,14.9,,,
Ireland,16.9,17.4,17.9,18,18,18,18.6,18.7,
Israel,15.2,15.35,15.5,15.4,15.5,15.5,15.5,15.3,
Italy,15.9,15.9,16.2,16,15.9,15.9,15.9,15.9,
"Ivory Coast",,,,,,9.7,10,10.6,
Japan,15.1,15.2,15.3,15.3,15.3,15.3,15.3,15.3,
Kazakhstan,,14.1,14.4,14.6,14.6,14.6,14.6,14.7,14.8
Kenya,10.8,,,,,,,,
Kuwait,,,,,12.9,,,,
Kyrgyzstan,12,12.2,12.1,12.5,12.8,12.9,12.9,13.2,13.2
Laos,10.4,10.6,11,11.1,11.3,11.5,11.6,11.5,11.3
Latvia,14.6,14.7,14.9,14.8,15.3,15.3,15.2,15.3,
Lebanon,13.5,13.4,13.6,12.7,12.4,11.6,,,
Lesotho,,,,10.7,10.3,10.3,10.2,,
Liechtenstein,15.5,15.6,16,16.2,16.05,15.9,16.1,16.1,
Lithuania,16.1,16.1,16.2,16.1,16.1,16,16,16.1,
Luxembourg,,13.9,13.8,13.7,13.7667,13.8333,13.9,14.1,
Macau,13.8,13.8,14,13.2,13.5,13.9,14.4,15.1,15.5
"Macedonia (F.Y.R.O.M.)",12.9,12.8,12.8,12.8,12.8,12.9,13.2,,
Madagascar,10.4,10.35,10.3,10.5,10.5,10.5,10.6,10.5,
Malawi,,10.3,10.5,,,,,,
Malaysia,12.3,12.6,12.3,12.5,12.7,12.8,13,13.3,13.1
Mali,8.4,8.5,8.6,8.5,8.4,8.3,8,,
Malta,,15.4,14.6,14.7,14.8,15,15.1,15.4,
Mauritania,7.6,7.7,7.8,8.2,8.4,8.6,8.8,8.3,8.5
Mauritius,13.7,13.8,13.9,14.3,14.5,15,14.6,14.5,14.4
Mexico,12.5,12.6,12.7,12.9,13.1,13.3,13.4,13.8,
Moldova,11.5,11.5,11.5,11.5,11.6,11.5,11.4,11.3,11.4
Mongolia,13.5,13.9,,,,,,,
Montenegro,14.6,14.8,14.7833,14.7667,14.75,14.7333,14.7167,14.7,14.7
Morocco,11.2,11.6,11.9,12.3,12.64,12.98,13.32,13.66,14
Mozambique,10.1,10.3,9.9,9.8,10.3,10.2,10.2,10.2,10.2
Nepal,11.4,12.1,12.3,12.2,12.1,11.95,11.8,11.8,11.7
Netherlands,16.8,16.9,17.7,17.7,17.7333,17.7667,17.8,17.8,
"New Zealand",19.6,18.9,18.5,18.1,17.9,17.9,18,18,
Niger,5.1,5.4,5.7,5.9,6.1667,6.4333,6.7,6.95,7.2
Nigeria,,8.8,9.2,,,,,,
"North Korea",,,,,,,11.1,,
Norway,16.7,16.9,16.9,16.8,17,17.1,17.1,17.3,
Oman,13.5,13.4,13.3,13.3,13.3,13.5,13.7,14.1,
Pakistan,8.1,8.2,8.3,8.4,8.5,8.7,8.9,9.3,9.2
Palau,,,,,16.5,,,,
Panama,12.3,12.4,12.2,12.1667,12.1333,12.1,12.1,,
Paraguay,12,12,,,,,,,
Peru,,,,,,,,14.4,
Philippines,11.2,11.44,11.68,11.92,12.16,12.4,,,
Poland,14.4,14.6,14.4,14.5,15.4,15.2,15.4,15.6,
Portugal,15.7,15.8,15.9,16.1,16.7,16.5,16.5,16.4,
"Puerto Rico",14.8,14.9,14.1,13.3,13.5,13.5,14.6,,
Qatar,12.1,12.6,13.4,10.7,10.1,10.5,11.1,11.4,11.1
Romania,15,14.9,14.6,14.1,14.1333,14.1667,14.2,13.9,
Russia,13.2,13.7,14.2,14.2,14.5,14.6,15.1,15.2,
Rwanda,11,11.1,11.2,11.4,11.2,11.1,10.7,11.2,11.2
"Saint Thomas and Principe",10.2,10.3,10.45,10.6,11.05,11.5,12.4,,
"San Marino",,14.6,14.7,14.6,,,,,
"Saudi Arabia",13.8,14.6,15.4,16.2,17,17.8,,,
Senegal,,8.1,8.6,8.8,8.8,9,8.9,8.8,8.6
Serbia,13.3,13.2,13.6,13.7,13.8,13.9,14.1,14.2,14.3
Seychelles,12.6,12.9,11.9,14.2,14.3,15.1,15.4,15.3,
Singapore,,,,,,,,16.2,
Slovakia,14.3,14.4,14.4,14.4,14.4,14.3,14.1,14.1,
Slovenia,16.2,16.3,16,16.2,16.9,16.6,16.5,16.7,
"South Africa",,,,12.7,12.9,13.1,13.2,13.3,
"South Korea",17.5,17.6,17.6,17.4,17.3,17.2,17.1,16.9,
Spain,15.9,16.4,16.8,17.1,17.2,17.3,17.5,17.5,
"Sri Lanka",,13.4,13.6,13.4,13.6,13.6,13.6,13.6,13.6
Sudan,7.6,7.6,7.2,7.6,7.8,7.9,7.9,,
Swaziland,,,11.7,11.65,11.6,,,,
Sweden,15,15.2,15.1,15,16.7,16.9,17.3,17.7,
Switzerland,15.5,15.7,15.8,15.9,16,16.1,16.2,16.3,
Syria,11.7,12,12.3,12.8,8.8,,,,
Tajikistan,11.8,11.9,11.8,11.9,11.9,,,,
Tanzania,,9.1,8.8667,8.6333,8.4,,,,
Thailand,12.9,12.8,13.1,12.8,12.6,15.2,15.15,15.1,
"Timor Leste",12.4,12.8,,,,,,,
Togo,,,,,,,,,13.7
Tunisia,14,14,14.2,14.24,14.28,14.32,14.36,14.4,
Turkey,13.6,14.4,14.9,14.9,17,17.4,17.9,18.3,
Turkmenistan,,,,,,11.1,,,
Ukraine,14.4,14.4,14.6,14.7,14.7,14.8,,,
"United Arab Emirates",,,,,,,,13.4,
"United Kingdom",15.7,16,15.4,15.4,17.2,17.4,17,18.2,
"United States",15.3,15.4,15.5,15.6,15.5,15.5,15.5,15.7,
Uzbekistan,11.5,11.6,11.6,11.8,11.8,11.8,11.9,12,12.2
