Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763297640.3,764207132.4,917509079.2,1030605840,1142445062,1729260581,1803407169,1632965082,1985593941,2453400232,2531965363,2313808883,2375117752,2240553027,2201621439
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283050200.5,176628877.3,168925643,207438605.4,231883782.2,242131287.8,251495196.1,420973581.8,608814165.9,728372449.1,839047180.8,814875172.4,643779269.5,626007024.8,650272059.6,729866382.9,568487612.8,621690184.5,632693459.9,614444861.4,622888890.8
Algeria,411776625.5,329421308.5,247065971.2,329421308.5,411776625.5,466670717.6,492596868.6,544449170.6,622227623.5,725932227.4,881489133.3,911940723.9,1170435791,1551828652,1132797551,1393629539,1752245545,2006366355,2840212814,3554356266,4169381107,4332916076,4660075890,5283160875,6742384717,7299415311,9123777286,9010309010,8047609556,6308319096,6452333054,4747469101,5458875160,6074105693,4826149999,4366070111,3897787985,3867815031,4371882361,4061645626,3862609637,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50515938.82,48832214.77,56775832.86,83961625.28,104320834.4,108506404.7,117413122.6,132069531.9,136956203.3,121311475.4,120834437.1,121087017,103379159.7,102801380.8,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,659725946.5,694117635.3,539839586.5,657520064.7,570354295.9,513168452.3,1514826363,218626604.6,294322470.5,200938586.1,201958350.5,259342533.5,334875882.4,407249039,198301063.2,263860200.8,346102756.8,,,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,2555555.56,3332370.37,3962962.96,5247481.48,5407407.41,6222222.22,6741296.3,7388629.63,7756333.33,8235111.11,8821148.15,9231000,10257518.52,11571296.3,10935481.48,10280518.52,9767259.26,9962592.59,9889814.82,10288148.15,11176777.78,12145851.85,12942555.56,13482629.63,13929518.52,14801370.37,16309444.44,17066074.07,18327333.33,21043962.96,22244925.93,21761518.52,25319444.44,24770888.89,25555814.81,24927740.74,32361703.7,34429555.56,34396851.85,34888703.7
Argentina,,,,,,11673529108,11740952533,9174848544,9569142703,11453999979,9963158196,11906599839,12628249874,18040443689,24655222754,20039486086,20015850633,20778999455,19822294945,22635232911,22685371287,22631579614,26439043921,31889838393,23497000594,26208333995,30417777317,30550476433,35337499724,23718638577,37867881956,46265967383,50011204825,43181479379,45873500000,44502000000,47723250000,53382000000,53326250000,48089750000,46877500000,43242000000,19884637029,28690221634,31181294719,36449209846,41576107686,49016520323,59795791836,51890313731,67123175368,84034582760,83081051123,82864793306,77752039861,84593914970,75587807171
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680505773.8,730175066.6,386913762.2,263283578.6,383126542.6,356302909.1,374123274.4,368238878,376646173.9,390450784.6,321849363.5,332127878.1,359259091.3,429738583.5,485154372.5,663771834,692578413.1,862678544.2,1031175340,751786553.4,896823721,1071866940,1000845272,1076844300,1122222602,973916671.5,967806909.7
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18994413.41,34078212.29,34636871.51,37988826.82,46368715.08,62027932.96,73480446.93,74418994.41,74698324.02,77608938.55,83491620.11,86212290.5,91195530.73,100793296.1,101905027.9,102234636.9,101201117.3,108256983.2,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43296652559,41272270622,41268168884,40511523328,42999654099,48702108702,51537177542,54053842542,50142440480,46652462715,48171826917,41760759901,41630389284,50687827606,66811779770,71778679898,74072327044,79507733375,97362578335,78490649389,91722892627,103000000000,109000000000,104000000000,93448085927,84991263832,74019754675
