Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,2.03264793,1.944764811,1.867616197,1.828630037,1.779530475,1.710401743,1.64247627,1.58775558,1.54043438,1.446146333,1.34342313,1.288648806,1.277301697,1.271324905,1.242406785,1.252491299,1.241108776,1.277734854,1.28801474,1.307657301,1.309959276,1.304128431,1.288515974,1.267598193,1.244220032,1.219888041,1.193861002,1.168950337
Albania,0.003938991,0.004628905,0.004268254,0.004046285,0.003712566,0.003621607,0.003653852,0.003640971,0.003729412,0.003913593,0.004569328,0.00477616,0.005272658,0.005778738,0.006408394,0.007548796,0.008318325,0.008439961,0.009195721,0.008548796,0.008252454,0.008135925,0.007934423,0.007750184,0.007536253,0.007301311,0.007113094,0.006894392
Algeria,0.433707049,0.429430877,0.424662279,0.422803388,0.430083407,0.429382577,0.42502033,0.4196209,0.41045641,0.418297092,0.421790838,0.411607548,0.393115053,0.371319442,0.362315143,0.349875157,0.339610264,0.325328254,0.311418936,0.297807483,0.279014191,0.264347483,0.247652524,0.234182035,0.219871659,0.21441728,0.202347507,0.191522653
"American Samoa",0.019547459,0.019899149,0.020274505,0.020242026,0.020247534,0.020367771,0.020498641,0.020810493,0.019463064,0.019313516,0.018460372,0.018342021,0.017822905,0.017764845,0.017658448,0.017751712,0.017718216,0.017555088,0.017349548,0.017413192,0.01737548,0.017590657,0.017900385,0.018448136,0.018160288,0.018273161,0.017827549,0.017548382
Andorra,0.001897879,0.001894693,0.001882164,0.001806579,0.001755041,0.001681527,0.001629535,0.0015775,0.001527291,0.00149376,0.001457314,0.001414122,0.001366534,0.001409771,0.001434713,0.001407303,0.001372084,0.001341607,0.001320376,0.001289288,0.001242893,0.001235732,0.00120558,0.001145099,0.00109703,0.001047299,0.001028529,0.001008136
Angola,0.45414007,0.451011286,0.449422991,0.456189172,0.461647105,0.445556633,0.404168502,0.386850276,0.434036946,0.413296746,0.410791909,0.40033046,0.38305564,0.395179915,0.385740375,0.389012048,0.382972162,0.36810394,0.342824219,0.326147806,0.309922348,0.298531483,0.292109993,0.286482276,0.28403698,0.28754548,0.289862323,0.291995398
"Antigua and Barbuda",0.019867907,0.020123249,0.020652938,0.020686408,0.024436518,0.026571264,0.025567971,0.031769421,0.034674926,0.038154183,0.036459836,0.037729284,0.038756216,0.037544348,0.0376759,0.035006093,0.033410972,0.029776124,0.031666588,0.029398844,0.029510024,0.030380454,0.034913344,0.033960423,0.028397521,0.032583114,0.028246383,0.027453097
Argentina,0.008657965,0.008394281,0.008280084,0.008064035,0.007504241,0.007748244,0.007965447,0.007241898,0.006963865,0.007054197,0.006273354,0.006575994,0.006741429,0.00619699,0.00571571,0.005302632,0.005401288,0.005410016,0.004973613,0.005546767,0.005040377,0.004725149,0.004265423,0.004158939,0.004166597,0.004176734,0.003963613,0.003903591
Armenia,0.062011974,0.04575361,0.03174687,0.034676796,0.027077877,0.032767483,0.026719065,0.026352787,0.018701883,0.018594933,0.020994713,0.011446028,0.007936855,0.011525295,0.010877057,0.011596973,0.012970499,0.013375041,0.018386686,0.016298401,0.009149426,0.010198395,0.009196183,0.013051777,0.010443845,0.010959098,0.015684754,0.011351516
Australia,0.001734744,0.001143663,0.001191639,0.001521566,0.001641132,0.00186953,0.001495863,0.001812042,0.00145891,0.002454768,0.001813545,0.001777736,0.001786567,0.001529377,0.001660256,0.001569664,0.002036261,0.001776989,0.001626499,0.002116616,0.002356629,0.002437698,0.002291004,0.001418875,0.001615108,0.001447301,0.001522621,0.001518862
