Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,2.299394781,2.233927973,2.233867401,2.26795529,2.229217948,2.155008973,2.069703096,1.992218078,1.914483651,1.773735461,1.633580833,1.556053965,1.532915281,1.521254039,1.470888784,1.469135556,1.432464993,1.446344009,1.439469933,1.417435794,1.382325509,1.340563393,1.286066372,1.232513881,1.177919807,1.123266161,1.076927094,1.061597615
Albania,0.011511029,0.011452986,0.009165221,0.007890448,0.006740821,0.00647493,0.005923626,0.005367344,0.004853788,0.004507932,0.004789928,0.004939784,0.005971155,0.0071711,0.009020137,0.011906625,0.013429894,0.013092087,0.01241121,0.011251051,0.010485329,0.009855929,0.009143813,0.008488592,0.007880465,0.007332208,0.006879608,0.00660149
Algeria,0.671397554,0.624128346,0.587499664,0.562465014,0.554985177,0.539234902,0.520698113,0.503932188,0.482481154,0.484644626,0.479343144,0.457068858,0.423377892,0.384649865,0.360560622,0.335447095,0.314300453,0.291884457,0.271934562,0.254157242,0.233627038,0.217425305,0.200036153,0.186845906,0.173700007,0.167386296,0.156596692,0.146964668
"American Samoa",0.295654175,0.293150477,0.291730704,0.286022281,0.281367282,0.278284342,0.275196234,0.273504539,0.261962745,0.279525896,0.281848084,0.286537754,0.28169043,0.281815384,0.274456651,0.266380989,0.253508452,0.237279653,0.220787995,0.207051635,0.190104736,0.175212485,0.162747181,0.150924216,0.150140937,0.150675867,0.145831842,0.142307858
Andorra,0.005303379,0.005278911,0.00522351,0.004996303,0.004829888,0.004597053,0.004412156,0.004217467,0.004021426,0.0038594,0.003694425,0.003526184,0.00335369,0.003438111,0.003473948,0.003389894,0.003292079,0.003199958,0.003132019,0.003033809,0.002899832,0.002862735,0.002766597,0.002602586,0.002469129,0.002335684,0.002284929,0.002238211
Angola,1.848222095,1.852985835,1.863090342,1.911616428,1.937870008,1.869495411,1.667054961,1.55803454,1.703147231,1.565391468,1.502673496,1.405529583,1.295127019,1.301875666,1.245616574,1.242452089,1.211955558,1.176955599,1.134607765,1.137596736,1.134914111,1.124748133,1.101207529,1.057161638,1.003088024,0.951505911,0.892714104,0.895683086
"Antigua and Barbuda",0.240845992,0.223180516,0.206409453,0.183595797,0.189471059,0.175186111,0.134730855,0.133583445,0.11503165,0.106578662,0.091890303,0.087799564,0.086603106,0.08247438,0.083406111,0.077922401,0.075628731,0.07016986,0.078381562,0.076419389,0.081494399,0.089068905,0.108596931,0.11025722,0.096661397,0.114026271,0.098307169,0.095499022
Argentina,0.407218028,0.376427456,0.353925554,0.327985352,0.283392945,0.281746669,0.283711379,0.252907258,0.237865134,0.235903851,0.204952373,0.212117636,0.220603652,0.206778873,0.192106642,0.180338827,0.187209946,0.191260037,0.178601066,0.20198656,0.183756007,0.1730896,0.156891093,0.153077688,0.152996634,0.152427974,0.143913362,0.142000946
Armenia,0.032970825,0.022799424,0.016027763,0.01819719,0.014577401,0.017112575,0.013520077,0.013858465,0.009650968,0.011221632,0.014825643,0.008736684,0.006090062,0.008940067,0.008296801,0.00843456,0.008813019,0.009090616,0.012118184,0.010592185,0.00612909,0.007008808,0.006625381,0.009147717,0.007567665,0.008015742,0.011714724,0.008540872
Australia,0.008309759,0.005845346,0.00646998,0.00861523,0.009127123,0.010489088,0.008559377,0.009439077,0.007285903,0.011308277,0.008616836,0.008206309,0.008048065,0.006836252,0.007325481,0.006558462,0.008058684,0.006699275,0.005775869,0.007407249,0.008241774,0.008757905,0.00829472,0.005370329,0.006180248,0.005640466,0.005787917,0.005711495
