Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,15.9,15.92,15.94,15.96,15.98,16,15.94,15.88,15.82,15.76,15.7,15.78,15.86,15.94,16.02,16.1,16.08,16.06,16.04,16.02,16,16.26,16.52,16.78,17.04,17.3
Albania,24.1,24.22,24.34,24.46,24.58,24.7,25.18,25.66,26.14,26.62,27.1,27.52,27.94,28.36,28.78,29.2,29.82,30.44,31.06,31.68,32.3,33.08,33.86,34.64,35.42,36.2
Algeria,18,18.28,18.56,18.84,19.12,19.4,19.86,20.32,20.78,21.24,21.7,22.18,22.66,23.14,23.62,24.1,24.48,24.86,25.24,25.62,26,26.3,26.6,26.9,27.2,27.5
Angola,15.8,15.84,15.88,15.92,15.96,16,16.04,16.08,16.12,16.16,16.2,16.22,16.24,16.26,16.28,16.3,16.3,16.3,16.3,16.3,16.3,16.32,16.34,16.36,16.38,16.4
"Antigua and Barbuda",24.4,24.84,25.28,25.72,26.16,26.6,26.94,27.28,27.62,27.96,28.3,28.34,28.38,28.42,28.46,28.5,28.66,28.82,28.98,29.14,29.3,29.58,29.86,30.14,30.42,30.7
Argentina,27.2,27.24,27.28,27.32,27.36,27.4,27.5,27.6,27.7,27.8,27.9,28.06,28.22,28.38,28.54,28.7,28.94,29.18,29.42,29.66,29.9,30.08,30.26,30.44,30.62,30.8
Armenia,27.2,27.64,28.08,28.52,28.96,29.4,29.64,29.88,30.12,30.36,30.6,30.84,31.08,31.32,31.56,31.8,32.02,32.24,32.46,32.68,32.9,33.1,33.3,33.5,33.7,33.9
Australia,32.1,32.4,32.7,33,33.3,33.6,33.96,34.32,34.68,35.04,35.4,35.64,35.88,36.12,36.36,36.6,36.66,36.72,36.78,36.84,36.9,37,37.1,37.2,37.3,37.4
Austria,36.5,36.46,36.42,36.38,36.34,36.3,36.68,37.06,37.44,37.82,38.2,38.56,38.92,39.28,39.64,40,40.38,40.76,41.14,41.52,41.9,42.16,42.42,42.68,42.94,43.2
Azerbaijan,24.1,24.2,24.3,24.4,24.5,24.6,24.8,25,25.2,25.4,25.6,25.9,26.2,26.5,26.8,27.1,27.42,27.74,28.06,28.38,28.7,29.02,29.34,29.66,29.98,30.3
Bahamas,23.6,23.88,24.16,24.44,24.72,25,25.4,25.8,26.2,26.6,27,27.42,27.84,28.26,28.68,29.1,29.46,29.82,30.18,30.54,30.9,31.22,31.54,31.86,32.18,32.5
Bahrain,25.4,25.6,25.8,26,26.2,26.4,26.44,26.48,26.52,26.56,26.6,26.84,27.08,27.32,27.56,27.8,28.26,28.72,29.18,29.64,30.1,30.32,30.54,30.76,30.98,31.2
Bangladesh,18.6,18.78,18.96,19.14,19.32,19.5,19.78,20.06,20.34,20.62,20.9,21.2,21.5,21.8,22.1,22.4,22.7,23,23.3,23.6,23.9,24.24,24.58,24.92,25.26,25.6
Barbados,28.3,28.86,29.42,29.98,30.54,31.1,31.58,32.06,32.54,33.02,33.5,33.84,34.18,34.52,34.86,35.2,35.56,35.92,36.28,36.64,37,37.3,37.6,37.9,38.2,38.5
Belarus,33.1,33.42,33.74,34.06,34.38,34.7,35.06,35.42,35.78,36.14,36.5,36.82,37.14,37.46,37.78,38.1,38.26,38.42,38.58,38.74,38.9,39.04,39.18,39.32,39.46,39.6
Belgium,36.5,36.72,36.94,37.16,37.38,37.6,37.88,38.16,38.44,38.72,39,39.26,39.52,39.78,40.04,40.3,40.42,40.54,40.66,40.78,40.9,40.98,41.06,41.14,41.22,41.3
Belize,17.9,18,18.1,18.2,18.3,18.4,18.56,18.72,18.88,19.04,19.2,19.4,19.6,19.8,20,20.2,20.54,20.88,21.22,21.56,21.9,22.22,22.54,22.86,23.18,23.5
Benin,17.1,17.12,17.14,17.16,17.18,17.2,17.22,17.24,17.26,17.28,17.3,17.36,17.42,17.48,17.54,17.6,17.66,17.72,17.78,17.84,17.9,17.96,18.02,18.08,18.14,18.2
Bhutan,17.9,17.84,17.78,17.72,17.66,17.6,17.84,18.08,18.32,18.56,18.8,19.32,19.84,20.36,20.88,21.4,21.88,22.36,22.84,23.32,23.8,24.3,24.8,25.3,25.8,26.3
Bolivia,19.1,19.22,19.34,19.46,19.58,19.7,19.86,20.02,20.18,20.34,20.5,20.72,20.94,21.16,21.38,21.6,21.84,22.08,22.32,22.56,22.8,23.06,23.32,23.58,23.84,24.1
"Bosnia and Herzegovina",29.8,30.44,31.08,31.72,32.36,33,33.38,33.76,34.14,34.52,34.9,35.3,35.7,36.1,36.5,36.9,37.3,37.7,38.1,38.5,38.9,39.32,39.74,40.16,40.58,41
