Country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,11.67583438,11.98050007,12.15643823,12.02117849,12.02104986,12.1818379,12.30227543,12.28427342,13.18691942,13.46341514,13.20324631,13.0833431,13.64545132,14.02728855,14.28817122,15.06354083,14.97220976
Austria,,,,,,,,,,,,,,,,,,,,3.080462714,2.623654119,2.61213266,2.690310624,2.809474906,2.370654305,2.75656192,2.86524209,3.109580406,3.819454892,4.883336848,5.095804623,5.610058836,6.424782344,6.818869275,7.150950867,6.954891803,7.089118495,7.899872424,8.474067102,8.58212954,8.5689581,8.627622934
Belgium,,,,,,,,3.130527567,3.640029407,3.985441538,3.935136278,4.221677814,4.486473588,3.932309449,4.36641869,4.72332907,3.896480808,4.306819265,4.426610958,4.338771908,4.407142749,4.427945242,4.664101934,7.330914584,6.9312199,5.53840357,5.750969096,6.176038479,6.37353721,6.719431108,6.192313866,6.394812733,6.318872603,6.577858893,6.713106862,7.037329877,7.050817276,6.58770165,7.153188875,7.267631528,6.916902938,6.46926181
Canada,5.934015684,6.216342879,6.27416791,6.536298421,6.808760751,7.212336802,7.953962203,8.7458695,8.888787152,8.794209729,8.913673389,8.646686227,8.687048953,8.740261051,9.176632209,10.11692429,10.53198973,11.14782228,10.7839292,10.75031707,10.81280682,10.53314963,10.52873552,10.33539633,10.32989912,10.46917468,10.96438629,11.09498862,10.89030484,10.90499953,10.92994324,11.09929053,11.35683999,12.02073371,12.14313155,12.27990425,11.8651873,12.15936992,12.28523625,12.09685976,12.60591318,12.73821863
"Czech Republic",,,,,,,,,,,,,,,,,,1.997413444,2.055587075,1.812334183,1.960106345,1.853122308,1.73714753,1.730367207,1.561649042,1.590625067,1.368830018,1.57132622,1.473366075,1.563995815,1.591040431,1.696693565,1.693874371,2.124833143,2.322830543,1.856137446,2.312990213,2.491894901,2.48023898,2.542505511,2.572277842,2.740761116
Denmark,,,,,,,,7.103321602,8.227563377,8.043991324,8.613775638,9.221529572,8.643067443,8.904715023,10.22953346,10.07204404,10.21052105,10.61173054,9.771714204,9.736335915,10.21965889,11.1256676,9.947730123,8.926158331,9.093586106,9.23050495,10.3289748,10.51860736,11.14161925,11.66207809,11.95857091,11.90482536,12.96046522,13.57872719,13.49811686,13.83139569,14.4380707,14.2277427,14.5555605,14.96532728,17.33057781,16.02971111
Finland,,,,,,,,,,,,,,4.949729312,4.79876161,5.555555556,5.776173285,6.525911708,6.479690522,5.93220339,5.817174515,6.448763251,6.678082192,6.605351171,7.148726376,7.328990228,7.547169811,7.957342084,7.95269168,7.884151247,8.148734177,8.209538702,8.180428135,8.716551835,9.180982821,9.588286232,9.669291339,9.597893709,10.04174024,10.58870967,10.61681677,10.88317815
France,,,,,,,,3.447125389,4.067872226,4.533147338,5.06717638,5.103744868,4.911742208,4.833762471,4.520485017,4.508025012,4.713260503,4.94560884,5.290550817,5.61580435,5.733947903,5.879709297,5.889474467,5.765487768,5.333829622,5.063277198,5.091170417,4.635470664,4.818449113,5.044066289,4.9984404,4.892819371,4.943711702,5.130699607,5.686960098,5.870454888,5.959476967,6.196057396,6.737574054,6.894655677,6.953762061,7.018890401
Germany,,,,,,,,2.144785584,1.744266063,1.738939717,1.839873731,1.687033633,1.765501314,1.983206358,2.329628896,2.167214936,2.353363159,2.525534882,3.00461376,3.368255621,3.703772875,4.119682113,4.647589931,4.815109789,4.846633437,5.05583711,5.530620478,5.939184914,6.272417234,7.251895546,7.607030023,7.761565125,7.864184775,7.936640172,7.777937198,8.430801755,8.619029113,9.031816735,9.143885396,9.276295873,9.08171539,9.364424126
Greece,,,,,,,,4.474427601,4.406053684,3.392419657,4.211706532,3.656460131,4.08192495,3.917915878,4.049780381,4.209614293,4.482979307,4.355256134,4.953963801,4.703814683,4.701617004,4.91723796,5.30812997,4.592571415,2.973488965,2.497363829,2.778631949,2.868285585,3.016888861,3.249365762,4.020700919,4.084817405,4.243985529,4.550728911,5.066602711,5.64423545,6.058460232,6.6215591,7.53354315,7.339792488,7.216023301,7.09640485
