Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo (Brazzaville)",0.000544837,0.00056575,0.000586835,0.000615663,0.000714942,0.000754179,0.000822174,0.000904645,0.000861862,0.000910296,0.000924895,0.000891962,0.000899191,0.000971813,0.001022491,0.001094174,0.001150263,0.001205572,0.001262663,0.001303722,0.001362572,0.001404268,0.001489461,0.001567618,0.001646492,0.001713191,0.001791647,0.001877646
"Ivory Coast",0.000291884,0.000289572,0.000286658,0.000294693,0.000299103,0.000304199,0.000312692,0.000321103,0.000332942,0.000339983,0.000342622,0.000342343,0.000341912,0.000341515,0.000339028,0.000339631,0.000340558,0.000338265,0.000337677,0.000340033,0.000344819,0.000351179,0.000362028,0.000374777,0.000387982,0.000401333,0.000411442,0.00042136
"Congo (Kinshasa)",0.000232855,0.000242144,0.000246744,0.000246761,0.000243602,0.000248069,0.000253777,0.000246734,0.000252838,0.000260971,0.000268773,0.00027279,0.000278241,0.000286548,0.000286493,0.000288856,0.000291726,0.000292554,0.000294947,0.000299088,0.000307133,0.000317561,0.000328718,0.000342181,0.000360415,0.000380013,0.000398534,0.000417985
"Equatorial Guinea",0.000261039,0.000267271,0.000272376,0.000285228,0.000293358,0.000314501,0.000344246,0.000387749,0.000430861,0.000488646,0.000556657,0.000631334,0.000693134,0.000774205,0.000845162,0.000948607,0.001081358,0.001157825,0.001246962,0.001331447,0.00136965,0.001381114,0.00142566,0.001441075,0.001521221,0.00154022,0.001567584,0.001590234
Micronesia,0.001677735,0.001772459,0.001871766,0.001978557,0.002085618,0.00218873,0.00228674,0.002371117,0.002450355,0.00253326,0.002639373,0.00272547,0.002810933,0.002908781,0.002995017,0.003083704,0.003182578,0.00327954,0.0033774,0.003481184,0.003586885,0.00369619,0.003813437,0.003923536,0.00403613,0.004151064,0.004264508,0.004372873
"Guinea Bissau",0.000219373,0.000221798,0.000222405,0.000223125,0.000224138,0.000225629,0.000227664,0.0002303,0.000228775,0.000229181,0.000232288,0.000232932,0.000234856,0.000235556,0.000237458,0.00023642,0.000239401,0.00024611,0.000249616,0.000253709,0.000258253,0.000263271,0.000268078,0.000275006,0.00028216,0.0002902,0.000299201,0.000306112
"Macedonia (F.Y.R.O.M.)",0.001069543,0.001096994,0.001144681,0.001146489,0.001149948,0.001156705,0.001174819,0.00119999,0.001238761,0.001328014,0.001357484,0.001398782,0.0014922,0.001593391,0.001667148,0.001733436,0.001809437,0.001918927,0.002039092,0.002105397,0.002132934,0.002176897,0.002232743,0.002249075,0.002518589,0.00266359,0.002897716,0.002887747
"Burma (Myanmar)",0.0000725,0.0000754,0.0000786,0.000082,0.0000856,0.0000894,0.0000934,0.0000976,0.00010205,0.000107018,0.000113574,0.000119141,0.00012488,0.000131153,0.00013731,0.00014303,0.000148974,0.000154084,0.000158738,0.00016345,0.000167836,0.000172412,0.000177231,0.00018323,0.000189238,0.000195797,0.00020255,0.000207825
"West Bank and Gaza",0.000781159,0.000787745,0.000783266,0.000775235,0.000760736,0.000746545,0.000733771,0.000719194,0.000702214,0.000620234,0.000538132,0.000496372,0.000474732,0.000462396,0.000446187,0.000446516,0.000453575,0.000464841,0.000476156,0.00048974,0.000510695,0.000532999,0.000554014,0.000602483,0.000637851,0.000672436,0.000704733,0.000756192
Russia,0.00531747,0.00550363,0.006098194,0.00693298,0.007591565,0.007662792,0.007347003,0.006484776,0.005667268,0.005238991,0.004817874,0.004323979,0.003606274,0.003592419,0.003398821,0.003253827,0.002667412,0.002910858,0.003232187,0.003066487,0.003267616,0.003216702,0.00366522,0.003764367,0.004268704,0.00408662,0.004035763,0.0039802
