Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,152,342,185,252,314,268,301,312
Albania,,,,,,,,,,,,,,,,,,,,,,,152,332,307,428,551,300,504,408,598,699,733,889,1162,1290,1359,1468,1495,1318,1156,1126,1027,1094,1142,1047,1065
Algeria,211,238,227,225,202,266,255,349,393,417,406,447,507,392,329,313,358,487,379,345,352,1290,1390,1140,1395,1120,880,1060,1060,790,790,670,1070,1750,2460,2060,1610,2120,2202,2059,2044,1942,1942,2000,2000,2000,2046
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.4167,17.8333,24.25,30.6667,37.0833,43.5,49.9167,56.3333,62.75,69.1667,75.5833,82,11,29,11,11,11,11,11,11
"Antigua and Barbuda",,,,,,,,,,,,,,,,,11,12,12,13,13,3,3,12,12,3,12,16,22,22,21,27,18,20,21,18,19,21,22,21,20,20,21,21,21,21,22
Argentina,,,,,,,,,26,42,56,42,28,28,32,27,32,34,30.2,26.4,22.6,18.8,15,58,62,64,65,66,69,64,86,190,207,274,312,432,541,606,698,621,644,697,576,534,504,483,468
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,65,84,136,92,95,87,94,131,168,435,915,1169,1644,1904,1440,1669,1799,1915,2192,2079,1491,1339
Aruba,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,12,2,3,7,8,10,9,10,13,1,1,5,7,9,5,5,5,6,7,8,7
Australia,181,176,229,281,309,287,305,327,415,495,632,741,771,900,956,1009,1053,1399,1887,2406,2368,2487,1924,1102,1277,1651,2157,2117,1780,2028,1904,1782,1769,2325,2838,940,1015,1342,1526,1335,1864,2449,2441,2460,2328,2113,2043
Austria,17,25,36,53,81,87,105,119,154,198,245,224,221,215,198,201,303,400,449,469,635,772,815,769,845,2243,2068,1799,1810,1809,1809,1779,1983,2498,2526,2315,2516,2916,3190,3099,2984,3249,3029,3262,3315,2846,2906
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,54,57,104,181,171,227,623,790,1268,1518,1255,1410,1893,1990,1733,1846,1270,643
Bangladesh,,,,,,,19,79,115,171,339,381,527,642,501,503,576,748,764,758,779,769,912,1010,1150,1200,1350,1531,1606,1810,1969,2100,2860,3192,3582,4642,5428,6562,8941,10521,10850,12071,14120,13867,14988,15388,13680
Barbados,4,5,5,6,8,9,10,10,12,14,9,11,9,8,10,8,11,28,32,32,38,45,55,55,57,61,68,77,87,99,115,131,125,131,131,94,87,139,101,114,82,147,121,108,108,108,108
Belarus,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,29,350,295,315,209,140,149,141,222,256,199,268,288,583,504,575,891,1053,1214,1231,767,709
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674,5986,6867,6888,7266,8993,10480,10638,10351,11066,10626,11234,11450,9790,9763
Belize,,,,,,,,,,,,,,,18,21,24,19,17,22,18,16,20,17,13,14,17,23,23,26,26,31,28,34,35,45,64,73,76,79,78,75,76,74,80,85,87
Benin,,,,,7,18,28,39,56,73,77,62,37,44,42,40,51,60,71,91,101,118,137,109,89,100,86,71,90,77,87,84,76,55,63,147,195,240,207,126,139,172,208,249,304,210,132
