Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,185.5,181.06,176.62,172.18,167.74,163.3,158.86,154.42,149.98,145.54,141.1,137.83,134.56,131.29,128.02,124.75,121.48,118.21,114.94,111.67,108.4,105.64,102.88,100.12,97.36,94.6
Albania,44.5,42.93,41.36,39.79,38.22,36.65,35.08,33.51,31.94,30.37,28.8,27.75,26.7,25.65,24.6,23.55,22.5,21.45,20.4,19.35,18.3,17.7,17.1,16.5,15.9,15.3
Algeria,50.8,49.97,49.14,48.31,47.48,46.65,45.82,44.99,44.16,43.33,42.5,41.13,39.76,38.39,37.02,35.65,34.28,32.91,31.54,30.17,28.8,28.4,28,27.6,27.2,26.8
Andorra,9.4,8.96,8.52,8.08,7.64,7.2,6.76,6.32,5.88,5.44,5,4.86,4.72,4.58,4.44,4.3,4.16,4.02,3.88,3.74,3.6,3.5,3.4,3.3,3.2,3.1
Angola,236.3,235.34,234.38,233.42,232.46,231.5,230.54,229.58,228.62,227.66,226.7,223.12,219.54,215.96,212.38,208.8,205.22,201.64,198.06,194.48,190.9,185.64,180.38,175.12,169.86,164.6
"Antigua and Barbuda",28.2,27.09,25.98,24.87,23.76,22.65,21.54,20.43,19.32,18.21,17.1,16.48,15.86,15.24,14.62,14,13.38,12.76,12.14,11.52,10.9,10.48,10.06,9.64,9.22,8.8
Argentina,30.5,29.68,28.86,28.04,27.22,26.4,25.58,24.76,23.94,23.12,22.3,21.67,21.04,20.41,19.78,19.15,18.52,17.89,17.26,16.63,16,15.54,15.08,14.62,14.16,13.7
Armenia,54.6,52.47,50.34,48.21,46.08,43.95,41.82,39.69,37.56,35.43,33.3,31.97,30.64,29.31,27.98,26.65,25.32,23.99,22.66,21.33,20,19.12,18.24,17.36,16.48,15.6
Australia,10.2,9.87,9.54,9.21,8.88,8.55,8.22,7.89,7.56,7.23,6.9,6.74,6.58,6.42,6.26,6.1,5.94,5.78,5.62,5.46,5.3,5.06,4.82,4.58,4.34,4.1
Austria,10.6,10.15,9.7,9.25,8.8,8.35,7.9,7.45,7,6.55,6.1,5.97,5.84,5.71,5.58,5.45,5.32,5.19,5.06,4.93,4.8,4.62,4.44,4.26,4.08,3.9
