Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.035675535,0.034603176,0.030268165,0.027055749,0.026316069,0.025246018,0.024191445,0.023346118,0.022617687,0.022306122,0.021759968,0.02120066,0.01992847,0.01906002,0.018664567,0.017740134,0.017603645,0.017604687,0.01734715,0.017356019,0.0174523,0.017500077,0.01775107,0.01805141,0.018398263,0.018842487,0.0193587,0.019720652
Albania,0.090344046,0.09130704,0.08862358,0.085973024,0.080525078,0.077611067,0.075934008,0.07537213,0.071622127,0.072571538,0.075267582,0.07448872,0.07464269,0.076084878,0.078972273,0.085463835,0.092058081,0.098184875,0.106122434,0.111736244,0.120186457,0.122562251,0.126039612,0.130111254,0.135352659,0.140113198,0.1443102,0.147854571
Algeria,0.032123609,0.032612023,0.033069433,0.033641813,0.033755061,0.034541238,0.035624851,0.036733089,0.037869462,0.038970793,0.039898553,0.041153554,0.042620385,0.044832173,0.046612831,0.04838124,0.050086932,0.051595164,0.052951051,0.054120494,0.055080852,0.056151195,0.057136769,0.058109001,0.059329868,0.060799974,0.062487549,0.064474514
"American Samoa",0.134792413,0.135346282,0.135807323,0.1368995,0.139676256,0.142036716,0.145405916,0.156414426,0.122631833,0.116099978,0.123996058,0.106690995,0.104652718,0.112566129,0.11345111,0.122146321,0.127105007,0.124593431,0.120646248,0.105659939,0.099773499,0.100957079,0.10538673,0.10560074,0.109748425,0.105571289,0.111234265,0.115462224
Andorra,1.834458576,1.81162659,1.856009446,1.907420743,1.998358775,2.055279804,2.094970497,2.135170085,2.185658339,2.249153875,2.350927203,2.437547627,2.506432701,2.457603636,2.421677127,2.420335719,2.436182618,2.483223547,2.554080751,2.671037042,2.751189368,2.723698087,2.742809004,2.836650872,2.907779724,2.975813215,3.059178799,3.132214138
Angola,0.008977232,0.008981522,0.008980624,0.00900191,0.008973753,0.008848923,0.008618407,0.008510777,0.008790956,0.008436086,0.008028345,0.007673498,0.007405268,0.007230937,0.00723141,0.007055785,0.006987319,0.006903302,0.006867164,0.006779272,0.006762582,0.006754342,0.00678961,0.006819189,0.006794904,0.006935331,0.007040342,0.007113463
"Antigua and Barbuda",0.176059397,0.174314706,0.173749599,0.173057451,0.172930609,0.172551177,0.169671478,0.176392026,0.183004374,0.182107178,0.189294428,0.187528642,0.195906387,0.200340854,0.199610468,0.200552618,0.207287647,0.210548235,0.211800628,0.222428988,0.232983541,0.244973535,0.259046653,0.268096241,0.281960081,0.296336541,0.300592236,0.30772167
Argentina,0.426117431,0.425887501,0.439831804,0.438390987,0.437190604,0.44414395,0.457479453,0.463631436,0.480671591,0.497038736,0.497844907,0.501240791,0.511073112,0.529053521,0.532862627,0.540461719,0.554512115,0.572878922,0.578888851,0.595859185,0.606660623,0.626986378,0.653271674,0.670475685,0.678748783,0.698901967,0.709761714,0.716745727
Armenia,0.022093687,0.023313376,0.024988282,0.025854423,0.02579734,0.02596603,0.026445797,0.026150695,0.025654464,0.02562958,0.025950611,0.027039264,0.028508785,0.030141484,0.031781806,0.033392848,0.034738356,0.035565562,0.037288692,0.03818676,0.03876134,0.039293347,0.039596428,0.040271364,0.041872526,0.045781669,0.059443471,0.055040047
Australia,1.839254691,1.841857787,1.922509393,1.941339423,2.0281189,2.059173772,2.103756929,2.15518457,2.273415924,2.342481181,2.43237896,2.493675275,2.593626027,2.637658481,2.667410821,2.675129878,2.734590042,2.869493069,2.94167583,2.976707876,3.007076192,3.040525556,3.005895512,3.022395626,3.045523411,3.123875025,3.155673863,3.271549512
