Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,290.6564019,284.8290232,265.6279801,251.4548842,246.744545,242.3448913,238.3550268,235.3902465,233.1166631,232.0850499,230.4232622,226.7737538,219.6988545,212.7062822,208.0289019,204.7889889,204.8622678,206.1939677,207.4150794,209.0196299,209.76556,209.53262,209.1116304,208.0299446,206.3592241,204.3251923,201.3604824,197.6755798
Albania,272.037223,267.2757694,263.5905316,261.3804216,260.9184255,262.4514965,265.7201656,269.6193535,267.9212868,274.485925,289.1326681,299.4927429,314.1971625,331.4440602,349.9437184,367.890192,385.9814699,405.4881949,425.2695633,444.0002781,460.2577161,474.7554646,488.8208241,501.9764219,515.2418654,526.7083767,535.6821152,543.9105029
Algeria,318.6973599,312.2954831,306.5677625,301.8498722,298.4550789,296.6511207,296.343913,296.9027378,298.0265067,299.3353633,300.2212622,299.9750866,298.6642337,297.0552618,295.9451292,296.1479786,297.5305294,299.1960756,300.8957429,302.2991708,303.0828952,303.0625788,302.1614848,300.4193973,297.9195353,294.749935,291.0635382,286.907473
"American Samoa",205.6694652,208.6851685,211.8520762,215.2428762,218.8928986,222.6891822,226.9955602,231.7395149,236.7078177,241.688532,246.4131822,250.8924878,255.1615386,259.5449493,264.3803071,269.9965813,278.1138555,289.3022049,302.5027716,316.5722279,330.3437184,344.065365,358.4792768,373.5711015,389.2940296,405.5452804,422.361835,439.6578515
Andorra,590.1625295,582.4541704,580.2953431,586.6987206,588.8192708,591.54181,595.2390756,600.1989437,606.2427652,611.9470539,619.2396235,624.948006,628.9971881,625.2774767,619.7234771,615.5991775,617.9403184,623.3366485,629.0589193,636.3174898,640.4711286,625.3197193,623.4359934,627.3147635,630.6417889,632.7017341,635.5231445,639.069986
Angola,239.26146,234.311935,229.6359453,225.2768004,221.3672956,218.1509804,215.2363893,212.3504925,209.6674031,207.4346543,205.9783274,204.9503584,203.9590293,202.9633592,201.8975414,200.769185,199.1014461,196.6505653,193.7842199,190.8814217,188.3132029,186.0046901,183.6958674,181.4172356,179.2202619,177.1486947,175.1831724,173.2823528
"Antigua and Barbuda",139.7746056,138.4417917,137.2076561,136.1336227,135.3103068,134.8288073,134.7572976,135.0431024,135.5658203,136.2011704,136.8082026,137.2538636,137.6590168,138.2201535,139.1529653,140.6907518,143.293977,146.9152904,150.9939126,154.9506581,158.1797396,160.6902498,162.8911394,164.7542944,166.2463619,167.3375065,167.9996332,168.2000021
Argentina,180.0356539,180.7931207,182.1509905,184.1440739,186.7302635,189.7784437,193.6778158,198.6199661,204.2047747,210.067794,215.7786559,221.5871568,227.8155559,234.188296,240.5419828,246.6064392,252.4247345,258.2509977,264.1376111,270.2487231,276.6779572,283.537029,290.852829,298.6035127,306.7396342,315.2554009,324.2290622,333.6330656
Armenia,340.746219,331.4756721,322.1114394,312.7646391,303.9702152,296.0690875,287.3497318,277.3476513,267.9417965,261.2780341,259.5378776,261.0054756,262.5079785,264.1723772,266.3691527,269.4135732,276.4812394,288.5158638,302.4066772,315.0546916,323.3153633,328.1025836,332.4766965,336.4607759,340.0943513,343.5173422,346.558893,348.8770561
Australia,823.8292065,811.9235674,800.97402,790.6928726,781.5631561,773.7468483,766.5624898,759.2559539,752.8754773,748.9840486,748.9821319,752.2678666,756.5178859,761.4986325,767.1700362,773.2873448,781.1184781,790.4531865,799.6632743,807.71131,813.2311824,815.5575771,814.8010415,811.2213581,805.1958129,796.7711718,786.1229801,773.1647089
Austria,740.2751405,724.0395371,709.5867361,697.8566409,690.5711278,689.1268782,691.389117,695.3310816,699.840562,704.4826708,708.6146567,709.6116809,707.7010296,704.4410324,702.1749724,703.3468491,707.6911349,713.5101009,719.6908661,725.4384099,729.9562355,730.9519846,727.3952502,719.3910737,707.2814634,691.4770123,672.6203114,652.1091365
