Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,0.0001,0.0001,0.0001,,,,
Argentina,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.5,0.7,0.6,0.9,1,1.2,1.37508,2.87009,2.8611,1.6181,1.4021,2.2201,2.155,2.752,2.951,3.526,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.004,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.16,0.16,0.16,0.16,0.16,
Australia,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.9,1,1,1.1,1.1,1.6,2,2.3,2.6,4.779,5.691,6.709,7.823,6.775,8.11,9.046,12.57,14.743,18.622,20.248
Austria,0.3,0.3,0.5,0.5,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.4,1.2,1.9,1.8,1.8,1.9,1.8,1.7,2,1.8,2.3,3.2,4.223,5.625,6.626,6.795,6.935,7.224,7.236,8.198,9.0404,9.6624,10.9644
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.046,0.091,0.136,0.179,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,0.002,0.0025,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,0.0055,0.012,0.022,0.022,0.032,0.072,0.0638,0.1039,0.144,0.149,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.094,0.089,0.034,0.061,0.094,0.106,0.133,0.16,0.166,
Belgium,0.3,0.3,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1,0.9,1,1.2,1.3,1.6,1.7,1.6,2,2.501,3.502,4.106,5.035,6.428,7.541,9.273,11.397,12.559,13.161,14.84
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,0.04023,0.04023,0.04023,0.00023,0.00023,0.00023,0.00023,0.0005,0.0005,0.0005,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.058,0.062,0.097,0.121,0.119,0.122,0.123,0.06,0.201,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,
Brazil,1.9,2,2.4,3.2,3.1,3.1,3.2,3.6,3.4,3.3,3.9,4,4.9,5,5.4,5.6,6.8,7.4,7.5,8.4,7.8,9,10,12,12,14.0932,15.2002,18.6002,20.6172,23.8022,33.673,34.946,40.294,46.989,58.264,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.002,0.002,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.027,0.053,0.116,0.211,0.731,1.016,2.097,2.84,2.78,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.017,0.018,0.019,0.021,0.023,0.023,0.023,0.014,0.017,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.076,0.077,0.071,0.059,0.061,0.064,0.068,0.072,
Canada,1.2,1.8,2,2,2.2,1.6,1.7,2.2,2.3,3.3,4,4,4.5,4.8,5.8,5.7,5.9,6.9,7.3,8.5,8.5,8.9,9.5,9.9,9.8,10.747,11.251,11.556,8.316,11.592,14.814,16.557,16.787,24.683,29.671,35.107
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.007,0.007,0.006,0.007,0.002,0.016,0.06,0.075,0.1,
Chile,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,1,1,1.7,1.8,1.8,1.9,1.7,1.7,1.2,1,0.9,2.1,1.9,1.8,2,1.807,1.407,2.709,3.121,4.353,2.579,5.013,5.263,6.319,7.257,7.637
China,,,,,,,,,,,,,,,0.3,2.9,1.4,2.8,2.8,2.9,3,3.1,3.3,3.4,3.7,4.574,6.484,8.305,29.967,48.292,79.574,111.335,143.436,206.113,242.836,
Colombia,0.2,0.3,0.4,0.3,0.5,0.3,0.4,0.3,0.5,0.5,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.549,0.563,0.549,0.591,0.599,2.456,2.039,2.008,2.109,2.203,
"Cook Islands",,,,,,,,,,,,,,,,,,,,,,,,,,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,,,,
"Costa Rica",,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.9,1.2,1.2,1.4,1.2,1.5,1.348,1.56,1.47,1.382,1.623,1.704,1.829,2.111,2.188,2.457,
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.118,0.072,0.069,0.064,0.066,0.068,0.07,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.03,0.043,0.061,0.079,0.172,0.255,0.425,0.655,0.93,
Cuba,0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.2,1.4,1.3,1.3,0.9,0.9,0.7,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.7,0.8,0.4011,0.4011,0.4051,0.5741,0.5551,0.4651,0.4741,0.576,0.709,0.677,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.003,0.015,0.031,0.072,0.173,0.255,0.329,0.311,
"Czech Republic",,,,,,,,,,,,,,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.7,0.7,0.7,0.5,0.7,0.721,0.95,1.302,1.662,2.237,3.139,5.35,5.999,6.636,7.33,8.065
Denmark,,,,,,,0.1,0.2,0.3,0.4,0.8,1.1,1.4,1.7,1.9,2.1,2.4,3.3,4.3,4.8,6.1,6.4,7.4,8.8,10.2,10.602,10.002,11.102,10.897,10.815,13.155,14.942,15.55,16.683,18.696,18.121
