Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.183096814,0.177718531,0.161984052,0.15845075,0.164088001,0.168436787,0.165700567,0.164101782,0.162603656,0.164454719,0.163548872,0.162117621,0.155578972,0.175215235,0.180798574,0.175007987,0.169428595,0.16305413,0.151202331,0.141538966,0.139536157,0.134802643,0.129372003,0.131289386,0.12954185,0.126183632,0.125203019,0.123958948
Albania,0.029830835,0.033387954,0.034291809,0.039409527,0.042032362,0.046241285,0.051660804,0.058977365,0.06000039,0.054946862,0.049266113,0.045587717,0.03789087,0.034305258,0.031470718,0.029019065,0.02858584,0.029991021,0.030197907,0.028688945,0.030035114,0.030081421,0.030342764,0.030580461,0.030888362,0.031035731,0.031045472,0.031152022
Algeria,0.057327262,0.056285917,0.055294746,0.054437805,0.054263242,0.053406709,0.052789013,0.053433715,0.052803545,0.05289501,0.053262597,0.053512577,0.053543687,0.053067618,0.053436582,0.053281224,0.053099027,0.052878558,0.052662968,0.052259123,0.051949282,0.051414516,0.050728789,0.050502282,0.050306157,0.049761954,0.049134834,0.048698993
"American Samoa",0.071652219,0.070736425,0.069453717,0.067936979,0.066322518,0.064727423,0.062935027,0.059989004,0.063621758,0.075579248,0.084574806,0.095197858,0.109803474,0.115363479,0.118569951,0.118928922,0.12400432,0.130464752,0.138159471,0.149515912,0.16063573,0.170963722,0.181177591,0.184284685,0.185048551,0.183848712,0.180832558,0.17931238
Andorra,0.036346824,0.035811653,0.035998939,0.036077512,0.036712513,0.037260213,0.037686405,0.037922329,0.038486588,0.039168009,0.039168363,0.039788445,0.040120277,0.03972128,0.039459719,0.03930661,0.03937914,0.039731312,0.040194841,0.040945809,0.041234584,0.041021082,0.041220538,0.041605545,0.041846438,0.042115805,0.042758526,0.04337647
Angola,0.886751814,0.889866954,0.888600825,0.891319925,0.893170426,0.876734503,0.843391255,0.816285723,0.837495385,0.804885421,0.777025552,0.750417774,0.727130953,0.701712526,0.716184425,0.688711104,0.663184338,0.634675304,0.606150406,0.563337003,0.537615004,0.505015684,0.478019431,0.450358142,0.419784922,0.401791977,0.373083358,0.352777623
"Antigua and Barbuda",0.125593512,0.127064276,0.130741324,0.127687729,0.132881467,0.134551296,0.139937395,0.142510395,0.140531612,0.146493185,0.15175597,0.16085377,0.167808668,0.171640953,0.176475239,0.179791398,0.186787963,0.192011137,0.200357966,0.201064711,0.203557643,0.207098232,0.212603597,0.214040355,0.220825795,0.218820092,0.221578881,0.224468537
Argentina,0.046984873,0.050576377,0.054684681,0.057814408,0.061461821,0.064117158,0.068339286,0.071487473,0.074213407,0.07606703,0.07558423,0.075216306,0.077664728,0.077997697,0.076400225,0.076758474,0.077394721,0.078914193,0.075500282,0.074011795,0.071932426,0.069020638,0.066913355,0.066048048,0.064828223,0.062097696,0.062870045,0.062474794
Armenia,0.081703597,0.083480646,0.088808713,0.088278205,0.085629565,0.079828233,0.07388172,0.068638885,0.064626153,0.062020426,0.062117879,0.063288332,0.065738318,0.068804433,0.071961262,0.076231563,0.079948927,0.081798749,0.086322539,0.089810469,0.093925742,0.097710161,0.100508942,0.097965894,0.102160374,0.108504929,0.084277791,0.092402643
Australia,0.05682084,0.057009978,0.055554235,0.05289124,0.051735435,0.04832795,0.047053645,0.044161865,0.042752781,0.045430501,0.045458476,0.044609719,0.043137367,0.043341524,0.047060759,0.051264543,0.051236593,0.051241839,0.054845912,0.05623729,0.058926672,0.061375876,0.061352583,0.061498581,0.061337403,0.062562909,0.061836583,0.061972167
