Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,133,100,124.6667,149.3333,174,12,12,4,11
Algeria,271,200,100,130,51,153,40,16,62,50,27
Bahamas,,1,2,5,4,3,2,,,,
Bahrain,2,1.8,1.6,1.4,1.2,1,3,5,8,11.5,15
Bangladesh,93,185,64,32,49,45,220,142,197,245,273
Barbados,,,,,,,2,2,2.5,3,
Belarus,4,1,1.6,2.2,2.8,3.4,4,3,2,4,4
Benin,,,5,,,,,,,,
Botswana,,4,4.25,4.5,4.75,5,3,1,1,2.5,4
"Burkina Faso",,,6,4.75,3.5,2.25,1,2,3,,
"Burma (Myanmar)",,,,,,,,,,3,2
"Central African Republic",,,,14,,,,,,,
Chad,,12,9.5,7,4.5,2,4.6667,7.3333,10,,
China,1860,7003,1000,1000,1000,1000,1000,1000,1000,1000,1000
"Congo (Kinshasa)",,,,,,,,,,93,22
Egypt,40,87,269,185,123,91,109,509,538,237,402
"Equatorial Guinea",,,,4,2.5,1,1.2,1.4,1.6,1.8,2
Ethiopia,,,11,5,6,7,8,5.5,3,2,
Gambia,2,2,7.5,13,13,8.5,4,1,3,3,3
Ghana,,,7,17,22,27,14,9,18,17,7
Guyana,,,3,2.6667,2.3333,2,6,1,1,1,3
India,100,70,50,105,110,78,72,64,75,136,109
Indonesia,11,10,8.5,7,6,12,16,6,46,60,47
Iran,,,,,,,91,81,41,1,1
Iraq,199,285,366,279,156,81,35,38,89,145,65
Jamaica,,,,4,,,,,,,
Japan,23,27,34,14,10,3,5,2,4,3,3
Jordan,17,14,12,9,15,16,7,5,3,13,10
Kenya,,,,5,11,21,11,26,30,24,21
Kuwait,2,6,3,5,7,9,6,7,14,49,15
Laos,,2,3,4,3.6667,3.3333,3,11.5,20,3,1
Lebanon,4,6.6667,9.3333,12,8,9,10,11,28,126,12
Lesotho,,,,,,,1,1,,,
Liberia,,,3,11,7.6667,4.3333,1,2.3333,3.6667,5,
Libya,,,,,,5,18,1,10,1,3
Madagascar,12,,,,,,,,,,
Malaysia,12,22,68,114,108,60,76,38,39,36,38
Maldives,,,,,,,13,2,39,2,2
Mali,,,10,14,17.5,21,7,6,10,30,10
Mauritania,,8,12,16,8,6,2,3,5,,
Mongolia,45,39.625,34.25,28.875,23.5,18.125,12.75,7.375,2,,
Morocco,1,7,13,11,9,7,10,9,9,6,15
Niger,,,,,,,12,11.6667,11.3333,11,
Nigeria,20,40,58,151,72,56,141,659,171,527,621
Pakistan,307,236,276,365,313,242,226,231,121,360,200
"Papua New Guinea",3,6.25,9.5,12.75,16,2,1.75,1.5,1.25,1,
Qatar,,,3,2.3333,1.6667,1,6,2,9,4,1
"Saudi Arabia",,,11,34,9,7.5,6,44,6,40,1
"Sierra Leone",,,,,,,1,3,13,5,21
Singapore,2,4,6,8,5,2,1,3,5,7,15
Somalia,,,12,8,37,77,117,52,5,60,24
"South Korea",2,2,5,4,3,2,2,1,,,
"Sri Lanka",10,2,108,107,106,7,13,61,51,79,218
Sudan,23,60,60,10,13,199,29,14,18,21,17
Syria,10,8.5,7,10,,,,,,,
Taiwan,5,8,7,9,16,7,7,1,9,2,3
Tanzania,,,,5,5.6667,6.3333,7,91,5,19,5
Thailand,6,3,5,7,40,106,50,55,7,216,75
"Trinidad and Tobago",,10,11,9,7,5,5,2,9,2,9
Tunisia,3,9.3333,15.6667,22,15.5,9,5,2,11,44,25
Uganda,10,114,59.5,5,4,3,2,1,1,,
"United Arab Emirates",2,2.5,3,28,31,21,16,25,8,26,5
"United States",100,111,105,110,78,77,80,72,52,32,41
Vietnam,83,59,59,34,23,86,148,72,47,63,35
Yemen,,,53,27,29,7,3,26,19,12,5
Zambia,8,17,26,35,48,7,9,13,89,101,94
Zimbabwe,1,4,7,8,10.6667,13.3333,16,10,2,8,11
"South Sudan",,,,,,,,,,1,16
"West Bank and Gaza",,,,,,,,,,21,16
Brunei,,,,,,,,,,,1
"North Korea",,,,,,,,,,1,1
Cameroon,,,,,,,,,,160,
Kazakhstan,,,,,,,,,,1,
Malawi,,,,,,,,,,1,
