Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Austria,402,399.8,397.6,395.4,393.2,391,388.8,386.6,384.4,382.2,380,382.5,385,387.5,390,392.5,395,397.5,400,402.5,405,409.4,413.8,418.2,422.6,427,430,433,436
Belgium,387,387.3,387.6,387.9,388.2,388.5,388.8,389.1,389.4,389.7,390,391.7,393.4,395.1,396.8,398.5,400.2,401.9,403.6,405.3,407,414.4,421.8,429.2,436.6,444,448.3333,452.6667,457
Cyprus,297,304.7,312.4,320.1,327.8,335.5,343.2,350.9,358.6,366.3,374,378.1,382.2,386.3,390.4,394.5,398.6,402.7,406.8,410.9,415,,,,,,,,
"Czech Republic",366,369,372,375,378,381,384,387,390,393,396,399.1,402.2,405.3,408.4,411.5,414.6,417.7,420.8,423.9,427,,,,,,,,
Denmark,435,435.2,435.4,435.6,435.8,436,436.2,436.4,436.6,436.8,437,438.6,440.2,441.8,443.4,445,446.6,448.2,449.8,451.4,453,460.4,467.8,475.2,482.6,490,493.3333,496.6667,500
"East Germany",393,397.5,402,406.5,411,415.5,420,424.5,429,433.5,438,444.8,451.6,458.4,465.2,472,478.8,485.6,492.4,499.2,506,510.8,515.6,520.4,525.2,530,532.3333,534.6667,537
Estonia,352,357.9,363.8,369.7,375.6,381.5,387.4,393.3,399.2,405.1,411,415.3,419.6,423.9,428.2,432.5,436.8,441.1,445.4,449.7,454,456.6,459.2,461.8,464.4,467,473,479,485
Finland,398,403.2,408.4,413.6,418.8,424,429.2,434.4,439.6,444.8,450,454.4,458.8,463.2,467.6,472,476.4,480.8,485.2,489.6,494,498.6,503.2,507.8,512.4,517,521.6667,526.3333,531
France,450,452.2,454.4,456.6,458.8,461,463.2,465.4,467.6,469.8,472,474.2,476.4,478.6,480.8,483,485.2,487.4,489.6,491.8,494,497,500,503,506,509,,,
Germany,412,413.3,414.6,415.9,417.2,418.5,419.8,421.1,422.4,423.7,425,429.2,433.4,437.6,441.8,446,450.2,454.4,458.6,462.8,467,469.6,472.2,474.8,477.4,480,482.6667,485.3333,488
Greece,410,414.4,418.8,423.2,427.6,432,436.4,440.8,445.2,449.6,454,458.6,463.2,467.8,472.4,477,481.6,486.2,490.8,495.4,500,,,,,,,,
Hungary,331,335.1,339.2,343.3,347.4,351.5,355.6,359.7,363.8,367.9,372,374.7,377.4,380.1,382.8,385.5,388.2,390.9,393.6,396.3,399,401.8,404.6,407.4,410.2,413,418.3333,423.6667,429
Ireland,265,267.7,270.4,273.1,275.8,278.5,281.2,283.9,286.6,289.3,292,299.9,307.8,315.7,323.6,331.5,339.4,347.3,355.2,363.1,371,,,,,,,,
Italy,388,389.6,391.2,392.8,394.4,396,397.6,399.2,400.8,402.4,404,411.5,419,426.5,434,441.5,449,456.5,464,471.5,479,,,,,,,,
Latvia,305,310.3,315.6,320.9,326.2,331.5,336.8,342.1,347.4,352.7,358,362,366,370,374,378,382,386,390,394,398,405.4,412.8,420.2,427.6,435,443.6667,452.3333,461
Lithuania,,,,,,,,,,,313,319.2,325.4,331.6,337.8,344,350.2,356.4,362.6,368.8,375,378,381,384,387,390,,,
Luxembourg,344,339.4,334.8,330.2,325.6,321,316.4,311.8,307.2,302.6,298,307.1,316.2,325.3,334.4,343.5,352.6,361.7,370.8,379.9,389,388.4,387.8,387.2,386.6,386,387,388,389
Malta,297,298.7,300.4,302.1,303.8,305.5,307.2,308.9,310.6,312.3,314,315.7,317.4,319.1,320.8,322.5,324.2,325.9,327.6,329.3,331,334.6,338.2,341.8,345.4,349,,,
Netherlands,343,348,353,358,363,368,373,378,383,388,393,395.3,397.6,399.9,402.2,404.5,406.8,409.1,411.4,413.7,416,417,418,419,420,421,424.3333,427.6667,431
Poland,274,275.5,277,278.5,280,281.5,283,284.5,286,287.5,289,290.8,292.6,294.4,296.2,298,299.8,301.6,303.4,305.2,307,312.6,318.2,323.8,329.4,335,338.3333,341.6667,345
Portugal,349,355.65,362.3,368.95,375.6,382.25,388.9,395.55,402.2,408.85,415.5,422.15,428.8,435.45,442.1,448.75,455.4,462.05,468.7,475.35,482,490.2,498.4,506.6,514.8,523,,,
Romania,,,,,,,,,,,345,345.7,346.4,347.1,347.8,348.5,349.2,349.9,350.6,351.3,352,357.4,362.8,368.2,373.6,379,381.6667,384.3333,387
Slovakia,283,285.4,287.8,290.2,292.6,295,297.4,299.8,302.2,304.6,307,307.3,307.6,307.9,308.2,308.5,308.8,309.1,309.4,309.7,310,311.4,312.8,314.2,315.6,317,320,323,326
Slovenia,,,,,,,,,,,,,,,,,,,,,358,,,,,,,,
Spain,390,395,400,405,410,415,420,425,430,435,440,442.2,444.4,446.6,448.8,451,453.2,455.4,457.6,459.8,462,474.8,487.6,500.4,513.2,526,532,538,544
Sweden,442,444.9,447.8,450.7,453.6,456.5,459.4,462.3,465.2,468.1,471,472.2,473.4,474.6,475.8,477,478.2,479.4,480.6,481.8,483,483.8,484.6,485.4,486.2,487,486.6667,486.3333,486
"United Kingdom",382,384.5,387,389.5,392,394.5,397,399.5,402,404.5,407,409.3,411.6,413.9,416.2,418.5,420.8,423.1,425.4,427.7,430,,,,,,,,
