Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,44,44,64,75,55,55,55,54,44,47,30,19,10,11,11,9.9,9.6,9.3,6.4,5.6,5.660099306,5.99403869,6.322339394,6.722138204,6.698837564,6.984913791,7.814073173,6.501250082,6.036281,5.391091784,10.87307284,15.57306849,16.84806557,17.02021918,20.51884932,20.17364384,22.76063388
Algeria,1143,1052,1046,1018,1115,1142,1190,1200,1174,1234,1315,1309,1341,1312,1296,1307,1376,1417,1402,1389,1433.025287,1513.892645,1617.653051,1784.043024,1844.525034,1956.778085,1967.493451,1967.545052,1954.4593,1909.814869,1881.051,1862.69,1875.227169,1762.764822,1720.984,1797.984,1698.344656
Angola,150,130,122,177,208,231,281,359,451,454,474,499,526,508,535,645,708,713,735,745,746.1131126,741.9041209,896.1430065,902.3047217,1054.415032,1249.228622,1419.916688,1747.505204,1960.206031,1886.295283,1918.114168,1765.027438,1796.27018,1813.878534,1755.837438,1828.084014,1796.835754
Argentina,508,513,507,504,498,485,471,472,492,496,521,529,597,647,713,774,821,905,917,870,831.745362,876.0728794,865.5893954,865.7590335,825.0821664,797.0857593,802.2845084,781.2250305,801.0425737,801.6576602,788.8336639,763.4674278,722.7220049,707.4339616,717.7233782,710.4242466,710.5111475
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,,0.000247187,,,,,,,,,,,,,,,,,,,,,,,
Aruba,--,--,--,--,--,--,,,,,-0.0682256,0.03857667,-0.02753029,-0.02753029,0.313,0.6535,0.994,1.3345,1.675,2.0155,2.356055727,2.362510674,2.362510674,2.362510674,2.356055727,2.350940414,2.23501794,2.477124,2.46486,2.810728767,2.813,2.822,2.822,2.822,2.822,2.822,2.822
Australia,460,474,444,489,571,665,606,639,633,583,666,635,619,590,625,647,667,695,649,647,828.0582541,768.2571288,744.2448795,629.8129808,557.3441888,580.7936178,561.7725616,567.3561688,570.912612,580.746589,593.7508493,521.6616712,511.5013825,438.0990822,462.6004541,407.0923007,385.647541
Austria,30,28,29,28,27,25,25,24,27,27,27,30,27,26,26,28,27,24,26,23,24.74691803,25.28533288,26.89387534,25.90853836,26.46188798,24.91999315,26.61742466,27.68311022,27.92590164,28.19153014,28.71440685,30.53420548,29.32106557,24.68283562,26.79655411,26.18421986,24.84953164
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,222,206,191,181,180,180,237,284,288.5872103,308.8623379,315.4184464,325.1747628,317.6340321,440.0060291,646.5804606,849.0687016,878.192733,1015.945289,1044.84437,993.2605205,931.7560027,880.4749699,856.5708986,858.2212,843.5902514
Bahrain,57,55,53,52,51,49,53,52,53,52,48,44,45,55,55,53,46,54,49,50,49.77500963,49.25458038,49.39291332,49.58959173,50.60605254,47.52478556,48.85321534,48.434593,48.597776,48.68542589,47.399,47.612,55.355,61.355,63.85910959,64.355,64.355
Bangladesh,,,,0.2,0.4,0.7,0.7,0.6,0.8,0.7,1,0.9,1,1.2,1.6,1.3,1.5,2.2,2.2,2,3.211034029,4.101493374,6.824691791,6.912831129,6.745815164,6.759570378,6.732880346,6.724166,6.408600667,5.683746159,5.046,5.063,4.863666667,4.197,4.197,4.197,4.197
Barbados,,,1,1,2,2,1.9,1.2,1.2,1,1.1,1,1.2,1.1,1.1,1.1,1.2,0.8,1.6,1.9,1.53,1.271,1,1,1.002232505,1,1.033724658,1.108493151,1.101,0.766,1.001,1.001,1.001,1.001,1.001,1.001,1.001
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,42,35,36,34,33,34,34,34,34.6879136,35.37199905,33.46922106,34.33128574,35.03104171,35.15458411,35.60207929,36.010884,35.29564,32.06293649,32.073,30.829,30.025,30.67333617,30.025,26.10993151,32.69166667
Belgium,8,8,9,10,11,11,6.1,5.6,8.2,11,11,9.1,10,9.8,13,12,11,11,11,12,10.21811749,12.3046,13.06085205,11.06034795,10.68759016,8.690591781,11.914,11.2241,11.218,12.60347397,12.70006849,10.53034521,11.601,12.936,14.03172397,14.73334315,14.73334315
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,2.257309589,2.99979726,3.510663934,3.98950137,4.251682192,4,3.239344262,3,1.817761644,2,2
Benin,,,,4,7,8,8,7,5,4,4,4,5.6,5.8,5.9,3,2,1.3,1,1,0.69,0.7,0.8,0.4,,,,,,,,,,,,,
Bolivia,32,26,30,28,27,26,23,24,24,25,26,26,28,30,31,35,38,39,44,42,40.43514866,44.85325283,47.22013419,42.920153,61.33812681,62.66461722,61.31639172,61.82554619,51.55739649,45.95940157,47.87201299,49.25423511,56.77736612,64.02211096,67.39566027,71.83547397,75.24386885
"Bosnia and Herzegovina",--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,-0.07291224,-0.059306,-0.097451,-0.093597831,-0.013,0.074,0.135,0.135,0.135,0.135,0.135
Brazil,245,283,348,460,614,734,740,768,751,790,821,838,824,839,957,990,1107,1172,1282,1428,1534.106897,1573.485514,1757.892245,1846.898841,1839.483428,2037.522428,2169.463638,2283.504544,2431.469218,2561.713007,2722.987806,2699.049667,2668.661349,2710.633147,2966.442049,3183.154364,3239.625836
Brunei,270,188,179,187,175,168,181,150,148,142,160,171,178,178,180,176,167,175,180,204,215.3677556,217.5836607,189.4065961,196.3677523,204.4311477,209.9590228,221.2444443,169.9666901,157.7644728,148.8576149,153.3279315,169.4270411,158.7350383,135.4708493,126.854411,126.9968767,121.027388
Bulgaria,3,3,3,3,4,6,-0.2,0.097892685,-1.5,4.7,3.5,0.03394317,0.4,0.6,0.2,1.1,1.6,0.9,2.2,2.6,1.962067956,1.16242705,2.648132431,3.128062775,3.661262372,3.356506319,3.377867284,3.12498,3.517014,3.340899024,3.589,3.447,3.581,3.581,3.581,3.581,3.581
"Burma (Myanmar)",30,27,30,30,32,30,24,17,14,16,14,16,15,14,14,10,8.4,9.6,12,10,12.74034129,10.48798473,15.60240868,15.687313,20.68386738,20.75072177,23.79111289,21.95458384,22.06017843,18.77626076,21.15576712,20.734,20.635,20.635,20.21034247,15.635,15.635
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.081,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
Cameroon,58,87,109,114,135,185,177,174,163,170,161,153,140,127,108,111,108,124,121,100,85.05965452,76.89132534,69.90075615,67.2181535,66.34701176,82.70864396,86.80747813,83.15673726,81.78026061,77.42024343,65.5242457,62.18227397,63.513,63.26916438,75.513,98.513,92.513
Canada,1816,1663,1639,1692,1810,1848,1863,1960,2057,2031,2040,2041,2126,2250,2341,2453,2501,2627,2700,2633,2753.144555,2816.361848,2953.699681,3113.64521,3139.357788,3096.284854,3292.077878,3448.523233,3348.246697,3318.828983,3441.730011,3596.913671,3855.923536,4073.071288,4394.264874,4511.270456,4593.937714
Chad,,,,,,,,,,,,,,,,,,,,,,,,36.06849315,170.5874317,176.6575342,157.9178082,144.2027397,127.1639344,119.4712329,122.5205479,114.9643836,104.4836066,100,121,129,119
Chile,46,52,54,50,50,48,44,43,38,36,35,32,29,30,29,26,26,19,18,18,16.3618895,17.17185788,17.14158417,16.93328619,15.75985106,14.92857534,12.89183836,10.87226301,12.79107924,13.50187671,18.5760411,19.23376712,18.43637158,17.15935616,15.61637534,14.30107945,12.46430275
China,2114,2012,2045,2120,2296,2505,2588,2680,2722,2749,2768,2836,2852,2903,2957,3060,3211,3285,3302,3317,3388.527319,3444.634864,3549.861536,3602.905986,3722.752498,3871.015626,3980.215068,4079.011233,4166.931967,4218.44863,4572.132274,4643.429616,4756.134317,4887.816712,5014.254795,5150.693151,4867.650273
Colombia,134,133,149,158,174,182,315,396,387,417,454,430,445,467,462,597,642,665,746,830,704.1159979,636.8241535,588.276088,554.6762955,541.9564408,540.6864981,548.3519821,546.1083874,603.6739808,690.2767009,805.7785953,938.1719918,968.5236503,1027.942507,1013.843047,1028.964041,911.9018197
"Congo (Brazzaville)",65,83,89,87,121,120,119,123,144,164,165,156,174,181,180,188,201,265,277,283,291.9073988,266.3502699,259.9620993,255.523256,242.9270367,235.8759665,247.2958301,213.6506397,239.8776588,274.4865242,311.913,298.912,291.892,269.892,270.892,264.892,304.892
"Congo (Kinshasa)",20,20,23,25,32,33,32,32,30,28,29,28,26,25,26,30,30,28,26,22,26.01703483,24.0170815,22.66575342,22,21.08469945,19.74794521,20,22.15616438,19.95765027,22,21,20.16164384,20,20,20,20,20
"Costa Rica",,,,,,,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.1,-0.3,-0.3,-0.3,-0.026944978,-0.0135,-0.000125612,0.07137655,0.477792393,0.729212069,1.022570716,1.877152462,1.855781495,2.63658,2.308455,1.22605855,0.390675648,0.4,0.4,0.4,0.4,0.4,0.4
"Ivory Coast",2,8,10,24,28,29,20,18,12,1.7,1.7,1.8,1.3,0.8,7.3,8.5,16,20,21,16,12.36466683,11.5406338,13.07470763,19.85158468,27.77690719,39.93576701,63.29671609,53.04377,59.93157332,58.47993635,44.53987671,40.2710411,38.60030055,37.685,36.685,33.685,30.685
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,41,43,48,42,38,39,40,33,33.41746741,32.40940407,31.22240889,31.330155,28.77785644,27.69090947,25.62869428,23.8358437,22.09883467,24.4447017,23.53856164,21.40205479,20.11533333,20.27926027,19.78063014,18.70117808,18.86396721
Cuba,6,9,11,13,16,19,17,17,13,13,12,12,16,19,24,26,31,33,35,41,43.87799094,51.46237994,48.54399415,56.2755183,59.21310021,53.45519264,52.24966867,51.63393,50.699126,46.34203871,51.52763759,53.753,50.84350273,48.767,48.767,48.767,48.60033333
Cyprus,,,,,,,0.019478958,-0.014733574,-0.011273702,0.022656951,0.046594227,-0.034491628,-0.1,-0.2,-0.1,-0.2,0.053523437,-0.3,-0.3,-0.4,-0.364030345,-0.35683596,-0.258762478,-0.191359224,-0.072853045,0.02,0.02,0.02,0.2,0.2,0.1,0.1,0.008469945,,,,
"Czech Republic",--,--,--,--,--,--,--,--,--,--,--,--,--,2.5,2.8,3.9,5.3,4.5,4.6,9.6,9.36242623,9.245460274,12.47534795,15.34588767,17.16675683,17.54448493,16.08936986,13.74411507,11.62656831,10.38968493,10.28301096,13.01232329,10.27346995,10.677,11.29312329,12.27152603,11.76924292
Denmark,5.3,15,34,44,46,58,76,97,99,117,121,144,163,174,186,187,210,233,241,303,365.1792705,348.9895836,373.4323589,378.4092247,392.7448962,380.7840247,345.7568137,315.2797123,290.467888,264.308074,249.4647479,226.1743452,207.1301831,180.7213096,170.1569315,161.6294795,145.9495161
"Dominican Republic",1,1,1,1,1,1,-0.2,0.043513383,0.037153263,0.090471067,-0.1,-0.2,-0.9,-0.5,-0.4,-1,-0.9,-1,-1,-0.4,-0.154269661,-0.094726503,-0.067024884,0.011947239,-0.448665921,-0.389247877,-0.308569076,-0.39215,-0.26603,0.034572743,0.061101486,-0.104,-0.076,-0.076,-0.076,-0.076,-0.076
Ecuador,207,214,214,240,261,284,295,175,303,281,286,301,324,349,370,396,398,389,377,374,396.3113705,412.5113081,392.7185922,411.3417693,529.0058174,532.7552964,536.3799345,511.42215,505.2687839,485.7068524,488.885654,498.9800199,503.3960996,525.9163984,556.1620394,542.8975014,548.224765
Egypt,613,616,691,753,848,915,826,911,873,899,901,907,883,898,904,929,934,870,848,873,793.3373379,748.0604841,742.5516913,744.0953804,700.0920713,682.7739458,662.7361678,658.8936126,691.0550785,701.3864202,693.9564247,699.6026438,703.0358197,702.8493836,703.3644521,713.2658219,678.4866393
"El Salvador",,,,,,,0.00263546,-0.047689205,-0.055283356,0.01508158,-0.061505171,-0.1,-0.043107022,-0.017101108,0.031990165,-0.054588587,-0.1,-0.3,-0.5,-0.6,-0.591263548,-0.669295753,-0.27776511,-0.105889806,-0.204290633,0.966124936,5.307875989,4.29737,4.182431,1.771551521,-0.516655297,-0.374,-0.311,-0.311,-0.311,-0.311,-0.311
"Equatorial Guinea",,,,,,,,,,,,0.1,1.6,4.5,5,5,17,52,83,102,167.5,181.4383562,212.5616438,206.4658767,368.2076503,375.4767123,362.8657534,368.5287671,359.203153,346.0160685,322.7103836,298.8880329,310.4,290.7972603,278,268,244
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,-0.08259328,-0.066255651,-0.024845869,2.4168,4.8584,7.3,4.4,3,4.747,5.133617438,5.530404007,6.137964572,6.592042909,6.9,7.28,7.400021918,7.6,9,10,11,11,13,13,16,16
Ethiopia,,,,,,,-0.3,-0.3,-0.3,-0.3,-0.3,-0.05196,-0.1,-0.2,-0.18,-0.16,-0.14,-0.12,-0.1,-0.08,-0.06,-0.04,-0.02,0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.03,0.03,0.03,0.03,0.03
Finland,-0.4,0.8,2,3.1,4.2,4.2,4.8,5.4,5.4,5.2,5.7,6.6,7.4,7.5,8.9,9.2,8.9,8.4,9.1,9,8.279691257,7.80039726,9.012838356,9.284446575,9.155180328,9.171235616,10.111,9.788742466,8.718,9.541216438,15.30334795,14.23089863,13.357,9.951,10.15361781,8.409757534,8.409757534
Czechoslovakia,2.1,2.1,2.1,2.1,-4.5,-4.3,-2.7,-2.2,-0.8,-0.2,0.8,2.1,2.2,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Serbia and Montenegro",--,--,--,--,--,--,--,--,--,--,--,--,23,23,27,25,25,23,21,21,18.74294896,18.15929525,17.16276823,16.55188671,16.41191419,15.58605891,--,--,--,--,--,--,--,--,--,--,--
"Soviet Union",11991,12150,12227,12302,12201,11935,12226,12390,12425,12026,11301,10313,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yugoslavia,88,88,89,87,84,90,87,90,87,77,72,68,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
France,83,92,86,89,93,106,107,111,119,116,112,113,114,112,116,110,105,97,89,93,93.20904372,90.13302877,86.21381233,90.23642603,89.10493251,84.25014863,89.1989863,74.63231644,77.166,76.31161027,76.54249658,75.8821274,65.70036612,62.32453425,60.61141507,61.30233562,61.04913553
Gabon,176,152,157,158,158,173,166,155,159,208,270,294,297,312,328,365,368,370,352,331,314.7917563,269.8023495,251.048166,241.1596041,238.7711151,266.0288323,236.8824414,243.896999,247.748441,241.9275436,245.5107123,240.9904247,229.65,219.65,219.65,212.9787671,210.4696721
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,2.9,2,1.8,1,1.2,2.7,2.2,2.2,1.990026984,2.10782512,1.462480402,2.780702262,1.979103122,1.977389479,0.994864936,0.98383,0.978676,0.993208545,1,1,1.007,1.007,1.007,0.806452055,0.407
Germany,--,--,--,--,--,--,--,--,--,--,--,148,132,137,139,138,138,134,139,142,150.9604208,146.6311103,154.3158856,160.0749925,147.3405383,177.5020068,193.1864247,145.4640274,154.6949672,157.2388733,145.8673308,161.1277397,163.1564372,163.7753322,159.4719021,160.2619336,158.7863516
"East Germany",-6.2,-6.6,-7,-5.6,3.9,0.6,1.1,1.8,2.2,2.5,4,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"West Germany",124,108,117,129,140,148,148,143,155,149,151,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ghana,2,2,2,2,2,1,0.2,0.09428577,0.0856578,-0.056671991,-0.041521985,0.2,1.2,1.8,1.4,4.1,6.6,5.2,5,6,7.131866035,7.183325133,7.433176945,7.47740982,8.573532222,7.399393153,7.081027617,7.69119,7.227306,6.887709062,8.464041096,77.68932877,79.20819126,98.76532877,105.8721781,103.2091644,99.21365574
Greece,1,10,24,29,31,30,24,25,24,21,19,19,20,15,14,12,11,12,9.6,3.3,7.650546448,8.016152055,6.63619863,5.419312329,5.238136612,5.746750685,6.584356164,5.138008219,6.612,6.416752055,8.479858904,7.578053425,8.957398907,8.829575342,9.269110959,9.986845205,12.08226402
