Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,3.871140438,4.421963319,4.855366647,5.17020533,5.198633067,4.667593134,4.3783932,4.306959141,4.388893684,4.285813122
Algeria,4.9625,4.812747616,4.474638137,5.076817962,4.474861278,3.300402621,3.799304149,4.331256256,4.463377968,4.613818943
Angola,,,,6.031582,5.237323398,4.5884,3.939394,3.513164609,,
Argentina,4.449545798,4.599427492,4.665537093,4.227460269,3.524318,4.071011081,4.387326374,4.080470677,3.955549355,4.153169911
Armenia,5.273193829,5.282795407,5.358779901,5.36228435,5.405000923,5.666867845,5.376292272,5.135226378,5.088003836,5.090872025
Australia,6.114477229,6.250748317,6.133536297,6.163063637,6.361269846,6.266272457,5.929320592,5.907563383,5.767788125,5.646382952
Austria,6.565409074,6.589976467,6.638682006,6.646571587,6.435027384,6.418254203,6.453255991,6.478242252,6.369799835,5.987675018
Azerbaijan,5.296547668,5.264666254,5.01035385,5.04828363,5.154481058,5.260458788,5.623826697,5.538118651,5.538118651,5.475005245
Bahrain,6.439251651,6.401805391,6.471686082,6.229777505,6.363134406,6.462552117,6.166335828,6.25726893,6.160251578,5.81543348
Bangladesh,3.58604504,4.173709127,4.184207785,4.39566945,4.70045817,4.532491484,4.430193732,4.280485134,4.046872796,3.911269912
Barbados,6.091663007,6.260156907,6.394454817,6.448927068,6.460772521,6.336729283,6.20013839,6.142076584,6.0741,6.006126575
Belgium,6.075903342,6.176501907,6.115754176,6.349977039,6.323376539,6.130919016,5.988724354,6.079608273,5.842834198,5.399205198
Belize,,,,,4.27593,,,,,
Benin,3.888665399,4.228569379,4.243619595,3.843251291,3.822192171,4.590807185,4.63446143,4.5218,4.409090996,4.192299962
Bhutan,,,,,,,5.863067,6.131005458,6.276666816,6.083588795
Bolivia,4.77384683,4.4423609,4.034834534,4.183366819,3.955157325,3.855279623,3.674046921,3.743685834,4.50429004,4.932120418
"Bosnia and Herzegovina",4.568337677,4.810885616,5.063718181,4.762206396,4.165931,5.1952362,6.037395,5.0238,4.010204315,3.923883558
Botswana,5.293942222,5.523784403,5.66423642,5.711050802,5.808117624,6.260479229,6.137262128,5.550223201,5.445241714,5.168790613
Brazil,3.299845531,4.066951384,4.230592341,3.938584213,3.966433857,4.038130713,3.995195187,3.861170131,3.776336635,3.66941659
Brunei,,6.432271,6.498207159,6.450273342,6.508705464,6.385166722,6.465494277,6.1344,5.8033,5.472222328
Bulgaria,3.447348097,3.75069081,3.740455757,3.949739791,3.881954483,3.87480628,3.832754934,3.978151734,3.893343335,3.708789783
"Burkina Faso",4.202532895,4.251241403,4.849350861,5.17360945,5.195774882,5.201692951,4.631040057,4.560235945,,
Burundi,3.95118048,3.739350385,3.462907677,3.908843556,4.165813583,3.930230483,4.027486659,3.78653455,3.78653455,3.314633118
"Cape Verde",,,,4.833349,4.705422977,4.54898033,4.410175528,4.257125177,4.500238419,4.491713142
Cambodia,4.298395312,4.860828118,4.872715544,4.886024359,4.637424793,4.93373668,5.069260765,4.531540788,4.389966409,4.392040936
Cameroon,4.477944837,4.69375616,4.362046566,5.181886482,5.032189402,4.713632655,4.585620773,4.631858626,4.630125371,4.283905526
Canada,5.580387951,5.91689765,5.958267864,5.768840705,5.669597918,5.766919966,5.458884545,5.271375812,5.39793081,5.420221116
Chad,2.910649323,3.053270969,3.457808163,3.786179313,3.76421533,3.492382952,3.296820209,3.454274769,3.412454205,3.136634783
Chile,6.074151669,6.154531921,6.278100418,5.842528839,5.568125004,5.641536639,5.400876,5.458801853,5.554613988,5.387800365
China,4.182097642,4.856214657,5.292315449,5.213210041,4.901827131,4.669054586,4.702294619,4.748941015,4.755323762,4.709174462
Colombia,3.272829117,3.332532122,2.658337485,2.460450015,2.732816852,2.798463874,2.805959716,2.79755339,2.831566453,2.869266573
"Congo (Kinshasa)",,,,,,,,,,4.33684206
"Costa Rica",4.964849158,5.162969957,5.161545021,4.65200575,4.092489221,4.854084288,5.269957065,5.185708292,5.183382935,4.98876707
"Ivory Coast",,2.344137,2.727239147,3.360035143,3.280137338,3.503769766,4.034143776,4.164429867,3.40559566,3.186516942
Croatia,4.782031302,5.127265876,5.324641923,5.300160676,4.91299435,5.212673159,5.524592239,5.419742138,5.2904547,5.108815679
Cyprus,5.888619222,6.335628055,6.318609444,5.984719413,5.596898657,5.708314424,5.719325115,5.697744863,5.60665545,5.050303261
"Czech Republic",5.510652066,5.92201581,5.940129931,5.781634132,5.509755161,5.379704214,5.002521403,5.041072519,5.572517497,5.671596506
Denmark,6.654910545,6.776157587,6.766620479,6.640627342,6.799392643,6.090119671,5.541755742,5.455451566,5.80923681,5.807030737
"Dominican Republic",4.419766573,4.348016831,4.0682599,4.06984872,4.105200338,4.326997276,4.22662549,4.011539007,4.035330879,3.998544976
Ecuador,4.370811564,4.604894192,4.353348993,4.283540946,3.845419083,3.612301,3.913948146,4.3005,4.686956406,4.629176387
Egypt,5.888654924,6.311100912,6.586546171,6.61730585,6.780717549,5.035904375,3.387146639,3.53851583,3.676621754,3.676621754
"El Salvador",2.307074343,2.049619021,2.260860915,2.218731847,1.920112607,1.824205984,2.458091251,2.689576546,2.364035071,1.890472632
Estonia,5.89974154,5.984891776,6.262523455,6.524422857,6.591907183,6.576338125,6.351068654,6.279150551,6.354421003,6.26439684
Ethiopia,5.411769832,5.605627752,5.477983282,5.717459879,6.024611425,6.210748488,5.762720035,5.435822548,4.964805905,4.286715443
Finland,6.727378471,6.718305408,6.744265243,6.703932867,6.581473746,6.69083873,6.570451563,6.582828901,6.773006222,6.748407685
France,5.854345788,5.856557093,5.780607525,5.8258397,5.670470372,5.828216638,5.503010158,4.870428117,4.987940726,5.13322503
Gabon,,,,,,6.031629,4.925451893,4.584026437,4.932234905,4.903667041
Gambia,5.922590738,5.921612862,6.011584304,5.800391662,5.527536667,5.797545461,5.896320016,5.68541149,5.778313307,5.516779001
Georgia,5.334770115,5.414498783,5.448614124,5.420067736,5.243846155,5.181142,5.214146779,5.796966976,6.166741357,5.770297392
Germany,6.451437666,6.16997514,6.213755832,6.277854086,5.885827706,5.97055463,5.779667551,5.538198702,5.321644927,5.026594695
Ghana,,5.724975,5.60831739,5.324630171,5.164848792,5.102079874,4.620194305,3.861805212,4.347056207,4.575000143
Greece,6.237693752,5.977863546,5.594229452,5.643026508,5.465085302,5.273874485,5.383299899,5.496496157,5.264097592,5.251247199
Guatemala,2.933606032,2.70530361,2.364442904,2.221264153,1.996380237,2.14506743,2.373232816,2.457362352,2.511244045,2.643284961
Guinea,,,,,,4.090459,4.134298272,4.110592294,4.110592294,
Guyana,3.45892912,4.172081298,4.37186206,4.743526998,4.721568012,4.476549874,4.636154909,4.348544563,4.189882585,
Haiti,,,,,3.081639,3.477933078,4.149708055,3.852566138,3.217264724,
Honduras,3.953325027,4.052942339,3.4888374,3.237772548,2.964689261,2.710623663,2.536125156,2.715695645,2.89335437,2.504364207
"Hong Kong",6.159031178,6.270039334,6.1752787,6.235628944,6.194773426,6.068979,5.763245563,5.836667062,6.013506097,6.013506097
Hungary,5.496540373,5.638928175,5.405086149,5.307722831,5.391271689,5.363151621,5.083922822,4.867270895,4.606222422,4.612140083
Iceland,6.729003082,6.762694175,6.81483845,6.824194483,6.767661025,6.514348252,6.394062133,6.519740589,6.627645359,6.547647743
India,5.071945701,5.178774185,5.46571303,5.30328537,4.966299594,5.04124727,4.775744431,4.020209855,3.883142182,4.27147473
Indonesia,5.748167173,5.426118392,4.998766498,4.710186168,4.23692335,4.140085957,4.131571989,4.229755266,4.096057821,4.082587494
Iran,,,,4.617822,4.782864931,4.896092543,4.408055592,3.806361499,4.205277463,4.32043517
Ireland,6.003506494,6.275643509,6.383651294,6.548293795,6.467183619,6.279088786,5.887988285,5.860133566,6.085879251,5.808974847
Israel,5.767932079,5.64565511,5.840178446,5.591788075,5.433864218,5.617777271,5.201622716,4.722356263,4.809018433,5.07476159
Italy,3.56744538,3.626267159,3.399016491,3.698891157,3.536426776,3.543488901,3.596070863,3.320572992,3.298068069,3.47058589
Jamaica,2.537387494,3.104191383,3.3646623,3.214748402,3.091805824,3.184074038,3.14672401,2.89220848,2.559872341,2.643021088
Japan,5.143208137,4.935892848,4.967033354,5.310225037,5.570107541,5.443677672,5.242071462,5.230625885,5.405864894,5.360422876
Jordan,6.494413687,6.582212769,6.725396161,6.63892616,6.246097244,6.20828899,6.332945,5.597367105,5.070984564,5.311872826
Kazakhstan,4.557618155,4.554730108,4.815448149,4.754262039,4.394766,4.933743444,5.153319262,4.724343778,4.909149524,5.169991884
Kenya,3.838448129,4.019156832,3.844554204,3.96045866,3.838512249,4.15195147,4.144726762,3.685333643,3.311127867,3.296804108
"South Korea",5.410411548,5.841329757,5.777943165,5.10571877,5.194835656,5.465052067,4.977178981,4.342603633,4.605289459,4.949736834
Kuwait,6.256163844,6.20552212,6.345398111,6.323267661,6.167828562,6.221399908,5.913204503,5.488864404,5.732918174,5.620447965
Kyrgyzstan,3.835665993,4.178022167,4.233516083,4.35810785,4.388894086,4.54406525,4.10498218,4.029072598,3.904967483,3.74365164
Laos,,,,,,,4.70144,4.74367927,4.881530346,4.951479236
