Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.13,1.29,1.1533,1.0167,0.88,0.77,0.81,1.83,2.08,1.02,2,1.63,1.53,2.19,2.11,2.27,2.69,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,5.32,5.65,5.51,5.26,5.2,5.39,5.63,5.71,5.52,5.73,5.65,5.57,5.32,5.5,5.7,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64,6.55,7.46,6.29,7.32,6.1,5,
Australia,3.69,3.84,3.15,3.62,3.35,3.59,3.46,3.76,3.96,3.85,3.92,4.06,3.91,4.06,4.47,4.5,4.03,4.31,4.44,4.34,4.51,4.87,4.41,4.34,4.45,4.76,3.82,4.46,4.25,4.62,4.49,4.63,4.96,4.34,4.68,4.66,4.45,4.74,4.65,4.22,4.38,4.53,4.66,4.51,4.54,4.43,4.24,4.54,4.58,4.64,4.47,4.3,4.48,4.56,4.4,4.78,4.7,,
Austria,3.85,4.26,4.48,4.33,4.49,4.46,4.52,4.82,5.18,4.46,4.72,5,4.82,5.42,5.27,5.18,5.47,5.21,5.1,5.04,5.38,5.35,5.39,5.31,5.11,6.01,5,6.41,6.11,5.74,5.63,6.12,5.77,5.72,5.74,5.96,5.99,6.56,6.14,6.6,6.42,5.7,6.15,5.59,6.33,6.55,6.58,5.85,6.48,6.17,6.12,5.82,6.29,6.51,5.93,6.51,6.6,6.7,6.3
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.635,3.08,3.98,3.0333,2.0867,1.14,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.48,3.08,3.33,2.96,4.64,3.96,3.62,1.81,2.6733,3.5367,4.4,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,3.02,3.055,3.09,3.125,3.16,3.29,2.91,3.355,3.8,,
Belgium,2.48,2.53,2.6,2.96,2.66,3.01,3.1,3.33,3.23,3.14,3.14,3.56,3.46,3.22,3.28,3.33,3.9,3.79,3.79,4,3.9,4.21,4.4067,4.6033,4.8,4.38,4.35,4.46,4.13,4.17,4.11,4.5,4.68,3.91,4.57,4.53,4.02,4.64,4.73,4.5,4.71,4.83,4.84,5.17,4.95,4.8625,4.775,4.6875,4.6,4.29,4.96,5.02,5.23,4.82,4.58,5.22,5.2,5,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,18.01,4.87,7.34,4.01,1.41,6.58,7.48,2.45,2.61,4.69,4.89,5.09,4.595,4.1,0.7,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,2.66,2.61,2.69,2.76,2.88,2.87,2.78,3.1,3.04,3.07,3.18,3.21,3.23,3.32,3.3,3.4,
Bulgaria,,,,,,,,,,,,1.58,1.79,2.24,2.24,2.29,2.43,1.85,2.24,2.13,2.3,2.24,2.44,2.36,2.92,2.56,2.92,3.16,3.09,3.07,3.53,2.98,3.31,2.95,3.5,3.34,3.23,2.91,3.11,3,3.15,3.81,3.54,3.5,3.47,3.89,3.73,3.39,4,4.48,4.25,4.08,4.42,4.69,4.3,4.19,4.2,4.7,
Canada,4.49,4.6,4.8,4.51,4.49,4.51,4.39,4.83,4.82,5.13,4.57,4.86,4.78,5.35,5.42,5.01,5.03,5.38,5.42,5.25,5.44,5.41,5.49,5.53,5.45,5.34,5.54,5.42,5.64,5.46,5.45,5.53,5.8,5.36,5.08,5.37,5.25,5.2,5.46,5.49,5.22,5.33,5.15,5.27,5.01,5.08,4.94,5,5.21,5.26,5,5.18,5.07,5.1,5.1,5.05,5,,
Chile,2.47,1.9,2.7,3.01,2.7,2.95,2.61,1.95,2.94,2.91,3.03,3.55,2.72,2.7623,2.8047,2.847,2.8893,2.9317,2.974,3.0163,3.0587,3.101,3.1433,3.1857,3.228,3.2703,3.3127,3.355,3.3973,3.4397,3.482,3.5243,3.5667,3.609,3.6513,3.6937,3.736,3.7783,3.8207,3.863,3.9053,3.9477,3.99,3.83,4.45,4.1,4.13,4.51,4.91,4.85,4.48,4.57,4.51,4.79,4.66,4.58,4.5,4.8,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.39,2.99,3.13,3.12,3,3.07,3.11,3,3.03,3.18,3.23,3.21,3.105,3,,
"Costa Rica",,,,,,,,,,,,3.79,4.04,4.044,4.048,4.052,4.056,4.06,4.064,4.068,4.072,4.076,4.08,4.084,4.088,4.092,4.096,4.1,4.104,4.108,4.112,4.116,4.12,4.124,4.128,4.132,4.136,4.14,4.144,4.148,4.152,4.156,4.16,3.76,4.66,4.13,4.64,3.26,3.58,4.72,4.16,3.55,3.53,2.53,3.34,3.7,3.3,3.8,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,3.77,4.01,4.53,4.14,4.4,4.13,4.07,4.29,3.33,4,4.61,4.09,4.63,4.86,4.5,4.61,4.73,4.39,4.85,5.04,5.07,5.57,5.93,5.46,5.01,5.4,5.4,5.4
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,3.91,3.83,3.95,3.15,3.88,4.19,3.7,4.17,3.74,4.2,3.7,3.5,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,6.64,5.92,6.63,6.35,7.15,6.74,6.61,6.6,7.22,6.74,6.93,6.87,6.65,6.92,7.14,6.81,7.27,6.99,7.25,7.89,6.98,7.06,6.78,6.93,7.5,6.6,7.2
Czechoslovakia,2.43,2.54,2.5,3.1,2.82,3.2,3.57,3.22,3.51,3.81,3.5,3.67,4.35,4.15,4.48,3.78,4.38,4.78,4.36,5.04,4.99,4.73,4.74,5.39,4.84,4.96,5.27,4.78,5.12,5.37,5.38,5.61,5.91,5.51,5.85,5.97,6.49,,,,,,,,,,,,,,,,,,,,,,
Denmark,4.28,4.74,4.17,3.88,4.69,4.69,4.11,5.47,5.43,5.44,5.51,5.82,5.55,4.45,5.73,5.98,5.79,6.43,6.16,5.66,6.32,5.98,6.05,6.06,7.64,7.26,7.04,7.25,7.41,7.81,6.25,6.38,6.59,6.45,7.13,6.75,6.68,6.31,6.35,6.2,6.57,6.06,5.84,6.36,7.15,6.71,6.81,5.95,6.09,7.01,6.37,6.17,7.07,7.24,6.62,6.57,6,6.5,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,1.44,1.38,0.81,1.35,1.61,1.515,1.42,1.66,1.39,1.432,1.474,1.516,1.558,1.6,1.8,,
