Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,404.626103,391.0932758,358.4924009,332.8838631,321.136024,310.293937,300.184935,291.500801,283.9392367,278.5599546,272.5974843,264.6711622,252.9911042,242.1713249,235.2325196,230.6059286,230.8468674,232.8978275,234.6795317,236.8984742,237.7890061,237.1241334,235.926154,233.5453562,230.2127463,226.2914555,221.0028135,214.5475375
Albania,788.0947099,761.9759051,738.6477214,719.59113,705.9709366,698.8354571,695.6461091,692.4070665,675.4963371,679.8149572,705.9502986,722.4473757,745.774979,772.9001368,801.9452135,830.0719042,861.3978262,899.2225097,939.7077633,978.2772077,1010.03804,1036.897165,1063.04329,1087.474525,1112.263721,1133.424796,1149.589741,1164.323506
Algeria,458.5085716,451.8290299,445.6645158,440.1972584,435.57184,431.8311195,429.0906797,427.0172132,425.4988545,424.3228718,422.9976669,420.2425428,415.9427077,411.8298815,409.7400796,411.560662,416.8770237,423.3528628,430.3324944,437.0207432,442.5980131,447.0356156,450.5917962,453.2704642,455.1466114,456.2690454,456.8471644,456.8540372
"American Samoa",212.871634,215.4533032,218.0414484,220.7117985,223.500382,226.2927121,229.3447866,232.5672575,235.8836268,239.230636,242.5091078,245.4877195,248.0029686,250.5928343,253.8135579,258.2005998,265.8412624,277.3134818,291.3298817,306.4984817,321.3666349,336.3012344,352.3013759,369.3259002,387.2919898,406.051953,425.6564119,445.952353
Andorra,484.1689761,474.2880876,469.6996633,468.9514461,468.9601287,468.7684035,468.0305567,467.5693462,467.8013567,468.6214098,471.4366404,473.1274676,473.1353206,466.2984483,459.6238313,456.8400037,459.9038886,468.0846245,478.2788771,491.1986325,501.8126146,503.992791,512.6990776,526.1805667,539.9343209,554.1462834,570.1810571,587.4490303
Angola,1029.057573,1017.689206,1006.026238,994.1601751,982.3012368,971.2530011,958.4909807,942.9076325,926.2257672,910.2694737,897.1696204,885.3720622,873.0453091,860.9589303,849.8714357,840.9615613,834.2348514,828.5085646,822.8362419,816.3635536,808.3551234,796.0385494,777.9331064,754.789684,727.4116239,696.6391765,662.8711606,626.5051173
"Antigua and Barbuda",98.37862389,97.73499349,97.19218362,96.75597606,96.4589317,96.33640517,96.60498506,97.30802769,98.21266884,99.08622304,99.67794025,99.74629571,99.45614086,99.13851873,99.14563838,99.85087759,102.2850257,106.7594854,112.5446434,118.8807083,124.9746579,130.8492584,137.0739719,143.6461128,150.5595603,157.811745,165.3955805,173.2942924
Argentina,326.8951787,326.1826137,325.6428302,325.5258588,325.9470452,326.9212758,328.4085227,330.1294249,331.806779,333.231796,334.196952,332.9574773,329.0474793,324.3030743,320.7655011,320.3775968,322.8761265,326.3306085,330.2402807,334.2012752,337.6580739,340.7082217,343.8007965,346.932787,350.0437438,353.1164704,356.2235225,359.3715958
Armenia,662.5308169,645.8589269,628.6408983,611.0015307,593.7353379,577.9317514,559.301356,536.9603015,514.6428835,497.0048916,489.2713165,487.5398065,485.5349673,483.9105624,484.2973386,488.5531015,499.8162818,518.3824565,540.0100063,561.2091713,578.6235164,592.6740251,606.6391911,620.3246407,634.0940762,648.5159177,663.0846819,677.2926179
Australia,909.4187737,887.3765973,866.4561427,846.7561226,828.793907,812.9558695,798.6457936,784.4664098,771.2692912,760.1508446,752.0180612,745.99915,740.2513874,735.4899317,732.617831,732.345768,734.102911,736.1328555,738.4636952,741.6155414,745.8106402,751.288375,757.823949,765.4561454,774.353245,784.3287243,795.3996813,807.3182054
Austria,712.4092814,691.4981222,671.9791212,653.6930975,637.7069298,624.795728,613.1118268,603.23366,594.0244757,585.3139116,576.8058977,565.356299,551.8945646,538.5106694,528.57413,525.2964556,526.6469656,529.5282894,533.1674091,537.5140781,542.2384641,546.9897082,552.6000955,558.6189567,565.1424989,571.9221178,578.5975596,586.085448
Azerbaijan,523.055973,502.26893,481.2785276,461.4238378,442.8844995,425.7708095,409.4660601,392.7223549,377.771891,366.7310797,361.2169653,360.0434345,359.0778171,359.0634729,360.5461281,363.8703986,374.8222858,394.9073879,419.740018,444.9253469,465.3619204,482.124945,498.1369571,513.6298915,528.8684899,543.4667895,557.6833106,570.6182222
