Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,57,60,63,46,53,46,47,42,66,70,68,71,73,62
Argentina,63,60,56,66,69,71,71,74,72,67,70,64,71,75
Armenia,47,62,54,54,52,48,55,50,53,57,60,58,61,68
Australia,,88,84,85,86,85,84,83,80,85,82,84,85,84
Austria,44,47.5,51,48,60,61,62,68,75,81,78,72,73,73
Azerbaijan,55,54,52,49,43,44,54,58,62,63,62,58,62,68
Bangladesh,80,85,86,86,81,79,74,74,72,79,81,80,79,86
Belarus,50,48,49,43,50,44,42,42,40,42,34,38,30,41
Belgium,,65,69,66,63,65,61,72,77,76,77,78,71,66
Benin,70,71.5,73,72,71,70,79,76,78,69,70,61,58,69
Bolivia,58,60,54,50,54,53,67,64,63,63,71,71,76,78
"Bosnia and Herzegovina",54,59,64,55,50,43,41,48,58,58,60,54,46,54
Botswana,65,72.5,80,75.5,71,59,65,63,74,80,79,82,79,80
Brazil,,76,76,70,77,75,76,79,73,81,84,83,79,83
Bulgaria,65,64,63,62,56,64,62,61,62,57,52,61,60,60
"Burkina Faso",80,88,82,82.5,83,84,92,92,73,80,77,71,75,77
Cambodia,33,22,28,26,46,51,45,58,59,60,62,65,61,64
Cameroon,68,63,68,79,72,86,69,76,72,72,67,63,63,69
Canada,88,87,91,89,88,90,91,89,91,88,88,92,91,90
Chad,47,58,65,49,44,64,70,72,80,76,63,64,62,73
Chile,65,66,61,63,64,60,70,67,76,71,71,69,72,69
China,,,,,52,41,51,53,50.25,47.5,44.75,42,48,55
Colombia,74,71,61,65,64,71,67,68,71,74,70,72,75,76
Comoros,,,,59,59,65,46,50.8333,55.6667,60.5,65.3333,70.1667,75,78
"Congo (Brazzaville)",,,63,64.6667,66.3333,68,65,59,52,68,64,50,52,62
"Costa Rica",69,67,65,64,62,71,81,77,73,72,65,74,80,79
"Ivory Coast",,,,89,86,83,80,77,83,76,76,62,61,71
Croatia,59,63,67,53,60,50,43,46,53,52,44,54,49,36
Cyprus,66,65,64,63,67,66,62,67,68,68,71,72,77,73
Denmark,,74,69,74,78,78,76,72,77,79,82,80,84,86
"Dominican Republic",57,67,54,55,52,53,60,52,54,49,59,60,66,69
Ecuador,77,64,62,59,68,67,71,81,78,75,78,79,82,80
"El Salvador",73,57,52,52,52,53,58,56,60,63,66,62,74,80
Estonia,41,43,40,35,39.5,44,44,43,45,31,35,33,42,45
Swaziland,,,,,,40,42,44,46,48,50,52,54,63
Ethiopia,,,,,,,83,70,68,67,58,68,62,71
Finland,59,61.5,64,64.5,65,65,68,69,73,74,73,79,81,75
France,,66,63,66,75,75,70,72,77,79,75,75,76,75
Gabon,,,,,,80,68,76,71,67,69,63,61,67
Gambia,,,,,,,,,,,,54,77,72
Georgia,48,51,58,60,61,70,63,64,65,60,57,61,77,75
Germany,,65,72,74,72,78,74,74,74,80,78,79,78,76
Ghana,70,75,58,54,77,56,55,49,55,48,51,43,65,62
Greece,,59,54.5,50,52,41,35,47,63,54,41,47,48,45
Guatemala,,62,59,64,63,65,71,70,75,70,75,76,83,79
Guinea,,,,,,84,79,66,70,66,72,63,69,73
Honduras,72,55,55,54,57,63,57,46,52,54,65,73,77,76
"Hong Kong",77,72.5,68,68,69,74,71,71.5,72,70,68,71,69.5,68
Hungary,,62,61,57.5,54,58,59,66,58,47,50,41,45,57
Iceland,,,79,77.5,76,74.5,73,71,75.5,80,82,84,82,80
India,,74,73,55,51,75,64,49,57,60,58,64,64,72
Indonesia,46,42,40,43,57,63,54,60,56,70,83,81,85,84
Ireland,76,80.5,85,85,83,83,87,82,87,87,84,86,86,90
Israel,,39,38,37,46,32,38,38,38,39,40,41,42,43
Italy,,70,63,71,56,66,71,70,72,73,69,68,69,77
Jamaica,51,53.6,56.2,58.8,61.4,64,67,70,74,76,78,80,80,80
Japan,,54,51,56,48,54,56.5,59,51,55,58,62,61,61
Kazakhstan,89,61,48,45,42,55,51,50,48,48,50,52,60,60
Kenya,65,63,49,54,53,62,70,76,80,71,80,80,79,84
Kosovo,48,56,64,54,61,61,51,49,48,59,58,63,73,75
Kyrgyzstan,44,53,55,48,46,61,55,56,61,72,56,65,73,66
Laos,,71,68,71.6667,75.3333,79,78.5,78,77.5,77,76.5,76,82,79
Latvia,60,59,51,47,47.5,48,49,54,57,39,43,48,47,50
Lesotho,,,,,,33,40,47,54,61,68,60,62.5,65
Liberia,,60,52,43.5,35,53,41,29,36,26,43,57,62,56
Lithuania,50,40,39,40,40,43,42,42,44,44,38,46,47,37
Luxembourg,,,78,79.5,81,77,80,62,85,87,86,85,82,85
Madagascar,80,75,70,72.3333,74.6667,77,69,70,69,71,67,69,69,73
Malawi,64,72,67,62,56,50,73,70,60,55,65,65,68,71
Malaysia,64,63,67,65,60,71,65,67,78,73,70.3333,67.6667,65,73
Mali,71,78.5,86,75,86,92,82,88,88,83,86,74,75,76
Malta,,,52,55.5,59,59,68,64,74,77,83,77,82,81
Mauritania,,63,55,66,54,62,67,42,44,35,20,27,29,35
Mauritius,,,,,,87,85.3333,83.6667,82,80.5,79,90,87,85
Mexico,,62,53,49,51,48,53,54,60,49,56,69,67,72
Moldova,54,43,34,38,44,41,40,41,44,44,39,41,42,57
Mongolia,,41,38,40.5,43,38,47,44,41,50,49,62,62,68
Montenegro,72,73.5,75,52,70,61,57,63,67,66,57,61,61,65
Mozambique,40,59,52,56,60,64,60.25,56.5,52.75,49,58,67,72,65
"Burma (Myanmar)",,,,,,,65,51,64.5,78,73,77,80,82
Namibia,,73,70.4286,67.8571,65.2857,62.7143,60.1429,57.5714,55,58.6667,62.3333,66,59,57
Nepal,82,92,82,82,79,67,72,77,72,84,86,88,86,88
Netherlands,,74,73,76,79,78,75,78,79,76,75,76,79,78
"New Zealand",87,86,87,86.5,86,86,87,89,88,89,89,90,88,88
Nicaragua,78,73,69,65,63,68,69,71,72,74,70,75,73,79
Niger,76,83,91,91,83,86,86,77,78,74,73,65,76,79
Nigeria,65,72,59,44,54,56,57,58,54,50,62,71,72,69
