Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,,,,,,,,,,,,83.4,85.22,87.04,88.86,90.68,92.5,92.45,92.4,92.35,92.3,92.25,92.2,,,,
"Burkina Faso",,,,,,,,,,65.4,67.575,69.75,71.925,74.1,76.3571,78.6143,80.8714,83.1286,85.3857,87.6429,89.9,,,,,,
Cameroon,,,,,,,,,,,,,,,84.1,,,,,,,,,,,,
"Central African Republic",,,,,,55.8,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,36.4,37.1909,37.9818,38.7727,39.5636,40.3545,41.1455,41.9364,42.7273,43.5182,44.3091,45.1,
"Ivory Coast",,,,,,,,,,63.3,64.7,66.1,67.5,68.9,70.3,71.7,73.1,74.5,75.9,77.3,78.7,80.1,81.5,,,,
Egypt,,,,,,12.7,13.14,13.58,14.02,14.46,14.9,15.8333,16.7667,17.7,20.5,23.3,25.1,26.9,28.7,29.1333,29.5667,30,30.4333,30.8667,31.3,,
Eritrea,,,,,,38.4,39.8714,41.3429,42.8143,44.2857,45.7571,47.2286,48.7,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,26.7,32.96,39.22,45.48,51.74,58,59.9364,61.8727,63.8091,65.7455,67.6818,69.6182,71.5545,73.4909,75.4273,77.3636,79.3
Gambia,,,,,,,,,,,,,,,,,,,,,,,,33.4,,,
Guinea,,,,,,,,,,22.1,21.5333,20.9667,20.4,19.8333,19.2667,18.7,19.0571,19.4143,19.7714,20.1286,20.4857,20.8429,21.2,,,,
Kenya,,,,,,,,,73.3,74.4273,75.5545,76.6818,77.8091,78.9364,80.0636,81.1909,82.3182,83.4455,84.5727,85.7,87.06,88.42,89.78,91.14,92.5,,
Mali,,,,,,,12.7,12.68,12.66,12.64,12.62,12.6,13.36,14.12,14.88,15.64,16.4,16.6714,16.9429,17.2143,17.4857,17.7571,18.0286,18.3,,,
Mauritania,,,,,,,,,,,,22.5,,,,,,,,,,,,,,,
Niger,,,,,,,,,49.2,54.1625,59.125,64.0875,69.05,74.0125,78.975,83.9375,88.9,87.8167,86.7333,85.65,84.5667,83.4833,82.4,,,,
Nigeria,,,,,,,,,,,,,,66.4,65.54,64.68,63.82,62.96,62.1,62.54,62.98,63.42,63.86,64.3,,,
Senegal,,,,,,,,,,,,,,,,74.8,75.45,76.1,76.75,77.4,78.05,78.7,79.3667,80.0333,80.7,78,81
"Sierra Leone",,,,,,,,,,,,,,,,,,,25.6,25.02,24.44,23.86,23.28,22.7,,,
Sudan,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,90.6,90.86,91.12,91.38,91.64,91.9,92.4167,92.9333,93.45,93.9667,94.4833,95
Togo,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,
Uganda,,,,,,,,,,,,,,,,,,,,,,82.6,,,,,
Yemen,,,,,,,,47.9,49.6188,51.3375,53.0563,54.775,56.4938,58.2125,59.9313,61.65,63.3688,65.0875,66.8063,68.525,70.2438,71.9625,73.6813,75.4,,,
