Country,2013,2014,2015,2016,2017,2018
Afghanistan,3,3,2,2,2,2
Albania,9,9,9,9,9,9
Algeria,7,7,7,7,7,7
Andorra,15,15,15,15,15,16
Angola,3,3,3,3,3,3
"Antigua and Barbuda",13,13,13,13,13,13
Argentina,13,13,13,13,14,14
Armenia,9,9,9,9,9,9
Australia,15,15,15,15,15,15
Austria,15,15,15,15,15,15
Azerbaijan,7,6,6,5,5,5
Bahamas,15,15,15,13,13,13
Bahrain,6,6,6,6,6,6
Bangladesh,9,9,9,9,9,9
Barbados,15,15,15,15,15,15
Belarus,5,5,5,7,7,7
Belgium,15,15,15,15,15,15
Belize,13,13,13,13,13,13
Benin,10,10,10,10,10,10
Bhutan,8,8,8,8,8,8
Bolivia,9,9,10,10,10,10
"Bosnia and Herzegovina",10,10,10,10,10,10
Botswana,11,11,11,11,11,11
Brazil,13,13,13,13,13,13
Brunei,8,8,8,7,7,7
Bulgaria,11,11,11,12,12,12
"Burkina Faso",8,8,8,8,9,8
"Burma (Myanmar)",5,5,5,5,5,5
Burundi,6,6,6,5,5,5
Cambodia,6,6,6,6,6,6
Cameroon,4,4,4,4,4,4
Canada,16,16,16,16,16,16
"Cape Verde",13,13,13,13,13,13
"Central African Republic",4,1,1,1,1,
Chad,3,3,3,3,3,3
Chile,15,15,15,15,15,15
China,6,6,6,6,6,6
Colombia,10,10,10,10,10,10
Comoros,6,6,6,6,6,6
"Congo (Brazzaville)",6,7,7,7,7,6
"Congo (Kinshasa)",1,1,5,5,4,4
"Costa Rica",13,13,13,13,13,13
Croatia,13,13,13,13,13,13
Cuba,6,6,6,6,6,6
Cyprus,14,14,14,14,14,14
"Czech Republic",15,15,15,15,15,15
Denmark,15,15,15,15,15,15
Djibouti,6,6,6,6,6,6
Dominica,15,15,15,15,15,15
"Dominican Republic",11,10,10,9,9,9
Ecuador,10,10,10,10,10,10
Egypt,8,8,7,7,6,6
"El Salvador",10,10,9,8,8,8
"Equatorial Guinea",3,3,3,3,3,3
Eritrea,2,2,2,2,2,2
Estonia,14,14,14,14,14,14
Ethiopia,5,5,5,5,4,4
Fiji,10,10,10,10,10,10
Finland,16,16,16,16,16,16
France,15,15,15,15,14,14
Gabon,5,5,5,5,5,5
Gambia,6,6,6,6,6,6
Georgia,10,10,10,10,10,11
Germany,15,15,15,15,15,15
Ghana,10,10,10,10,10,10
Greece,13,13,13,13,13,13
Grenada,13,13,13,13,13,13
Guatemala,8,8,8,8,8,8
Guinea,5,5,5,5,5,5
"Guinea Bissau",5,5,5,5,5,5
Guyana,9,9,9,9,9,9
Haiti,5,6,6,6,6,6
Honduras,9,9,8,8,8,8
"Hong Kong",13,13,13,13,13,13
Hungary,14,14,14,13,13,13
Iceland,16,16,16,16,16,16
India,10,10,10,10,10,10
Indonesia,9,9,9,9,9,9
Iran,4,4,4,4,4,4
Iraq,4,4,4,4,4,4
Ireland,15,15,15,15,15,15
Israel,11,11,11,11,11,11
Italy,14,14,14,14,14,14
"Ivory Coast",4,6,6,7,7,7
Jamaica,10,10,10,10,10,11
Japan,13,13,14,14,14,14
Jordan,8,8,8,8,8,8
Kazakhstan,8,8,8,8,8,8
Kenya,7,7,7,7,7,7
Kiribati,13,13,13,13,13,13
Kosovo,7,7,8,7,7,7
Kuwait,6,6,6,6,6,6
Kyrgyzstan,7,7,7,7,7,7
Laos,5,5,5,5,5,5
Latvia,12,12,12,12,12,13
Lebanon,9,9,7,7,7,7
Lesotho,9,9,9,9,9,9
Liberia,8,8,7,8,8,9
Libya,6,6,5,4,4,2
Liechtenstein,16,16,16,16,16,15
Lithuania,13,13,13,13,13,14
Luxembourg,16,16,16,16,16,16
"Macedonia (F.Y.R.O.M.)",11,11,10,10,10,10
Madagascar,7,7,7,8,8,8
Malawi,7,7,7,7,7,7
Malaysia,9,9,9,9,9,9
Maldives,8,8,8,7,7,7
Mali,4,4,4,4,4,4
Malta,15,15,15,14,14,14
"Marshall Islands",13,13,13,13,13,13
Mauritania,5,5,4,4,4,4
Mauritius,12,12,12,12,12,12
Mexico,10,10,10,10,10,10
Micronesia,14,14,14,14,14,14
Moldova,9,9,9,9,9,9
Monaco,14,14,14,14,14,14
Mongolia,12,12,12,12,12,12
Montenegro,12,12,12,12,12,12
Morocco,7,7,7,7,7,7
Mozambique,9,9,9,9,8,9
Namibia,9,9,9,10,10,10
Nauru,14,14,14,14,14,14
Nepal,7,7,7,7,8,8
Netherlands,16,16,16,16,16,16
"New Zealand",15,15,15,15,15,15
Nicaragua,9,10,10,10,10,10
Niger,6,6,6,6,6,6
Nigeria,6,6,5,5,5,5
"North Korea",3,3,3,3,3,3
"Northern Cyprus",12,12,12,12,11,11
Norway,16,16,16,16,16,16
Oman,5,5,5,5,5,5
Pakistan,6,6,6,6,6,6
Palau,13,13,13,13,13,13
Panama,12,12,12,12,12,12
"Papua New Guinea",8,8,8,8,9,9
Paraguay,10,10,11,10,10,10
Peru,10,10,10,10,10,11
Philippines,10,10,10,10,10,10
Poland,14,14,14,14,14,14
Portugal,15,15,15,15,15,15
"Puerto Rico",14,14,14,14,,
Qatar,4,4,4,4,4,4
Romania,12,12,12,12,12,12
Russia,7,7,6,7,7,7
Rwanda,7,7,7,7,7,7
"Saint Kitts and Nevis",14,13,13,13,13,13
"Saint Lucia",14,14,14,14,14,14
"Saint Thomas and Principe",10,10,10,10,10,11
"Saint Vincent and Grenadines",14,14,14,14,14,14
Samoa,12,12,12,12,12,12
"San Marino",16,16,16,16,16,16
"Saudi Arabia",2,2,2,2,2,2
Senegal,9,10,10,10,11,11
Serbia,13,13,13,13,13,13
Seychelles,11,11,11,11,11,11
"Sierra Leone",10,10,9,9,10,10
Singapore,12,12,12,12,12,12
Slovakia,14,14,14,14,14,14
Slovenia,13,13,13,13,13,14
"Solomon Islands",12,12,12,12,12,12
Somalia,1,1,1,1,1,1
Somaliland,6,6,6,6,6,6
"South Africa",11,11,11,10,10,10
"South Korea",12,12,13,13,13,13
"South Sudan",5,5,5,4,,
Spain,15,15,15,15,15,15
"Sri Lanka",8,8,8,8,8,8
Sudan,1,1,1,1,1,1
Suriname,10,10,10,10,10,10
Swaziland,4,4,4,4,4,4
Sweden,16,16,16,16,16,16
Switzerland,15,15,15,15,15,15
Syria,4,2,,,,
Taiwan,13,13,13,13,13,14
Tajikistan,4,4,4,4,4,4
Tanzania,9,9,9,9,9,9
Thailand,10,10,10,10,10,10
"Timor Leste",9,9,9,9,9,9
Togo,7,7,7,7,7,7
Tonga,12,12,12,12,12,12
"Trinidad and Tobago",13,13,13,13,13,13
Tunisia,9,10,11,11,11,10
Turkey,10,9,9,9,7,6
Turkmenistan,3,3,3,3,3,3
Tuvalu,14,14,14,14,14,14
Uganda,7,7,7,7,7,7
Ukraine,11,11,11,10,10,10
"United Arab Emirates",4,4,4,4,4,4
"United Kingdom",15,15,15,15,15,14
"United States",15,15,15,15,15,15
Uruguay,15,15,15,15,15,15
Uzbekistan,3,3,3,3,3,4
Vanuatu,11,11,11,11,11,11
Venezuela,7,8,8,8,7,7
Vietnam,8,8,8,8,8,8
"Western Sahara",4,4,4,4,4,4
Yemen,5,5,5,3,2,2
Zambia,8,8,8,8,8,8
Zimbabwe,4,5,5,5,5,5
