Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,6.241675244,6.091713287,5.65369018,5.334645348,5.237886564,5.153365071,5.092041352,5.075040522,5.088340395,5.14094276,5.178843617,5.20281404,5.187782731,5.183919029,5.217381207,5.221261605,5.267700907,5.338737538,5.395014663,5.456287468,5.487379509,5.491088382,5.49391097,5.481949285,5.46025379,5.433827454,5.383314691,5.311863791
Albania,35.80349006,40.71278252,45.29027595,49.25218762,52.26733986,53.96981084,54.818134,55.37846345,54.18686013,54.68543306,56.7478326,55.97086391,53.61209292,50.33769352,46.9844541,44.35770619,42.19285045,39.8010301,37.40111404,35.23593745,33.57540819,32.26440245,30.9638782,29.68085348,28.52703066,27.42792266,26.39528483,25.57504204
Algeria,4.907823116,4.897957056,4.891415901,4.890297509,4.896224128,4.90983751,4.926761925,4.943064368,4.965547152,5.000367501,5.050934465,5.116926631,5.193450009,5.28099818,5.379713909,5.488485777,5.647498999,5.877464963,6.148574096,6.42787919,6.680880769,6.909575499,7.135899734,7.358961673,7.579090579,7.79625669,8.012436478,8.226996168
"American Samoa",11.46647285,11.3596926,11.25915655,11.17485578,11.11379016,11.07554537,11.06470728,11.06445666,11.06854801,11.07106493,11.06498322,10.9953791,10.84006659,10.65971659,10.51772666,10.47995187,10.53890797,10.6281648,10.73783448,10.85580393,10.97166789,11.08824065,11.20866539,11.33232344,11.45797704,11.58307164,11.70886162,11.83383021
Andorra,19.67801694,19.66666049,19.82566596,20.25393268,20.48609227,20.67693252,20.86150319,21.07048702,21.31358332,21.54903639,21.84939091,22.13219217,22.38752487,22.41313447,22.39102875,22.41019804,22.72806064,23.26638442,23.89050284,24.59907577,25.18155296,24.97625087,25.34743723,25.98194285,26.64150133,27.28780401,28.0028259,28.7966164
Angola,8.715040193,8.610619276,8.499468857,8.381264286,8.259033835,8.143577405,8.013554411,7.861727476,7.702699136,7.553911989,7.435681265,7.330174871,7.22228167,7.125001491,7.049763369,7.011904125,7.027432699,7.086411661,7.163816962,7.235362318,7.277521706,7.296044618,7.313969758,7.331423925,7.3495822,7.369588284,7.389162599,7.405425455
"Antigua and Barbuda",13.17068622,13.24800021,13.33216562,13.42072165,13.51325264,13.6095198,13.74660226,13.95001935,14.20147513,14.4821541,14.77150485,15.07009935,15.39961124,15.76746847,16.18194927,16.65164126,17.24682876,17.98998555,18.81541384,19.65526856,20.43850847,21.17067779,21.90450165,22.63832422,23.36921276,24.09401263,24.80970738,25.51172431
Argentina,57.36758575,61.55632854,65.49147969,69.18219332,72.62058292,75.74676831,78.84329633,81.98975134,84.82198411,86.98733362,88.08694863,88.42787663,88.62725836,88.75362126,88.91007436,89.15408512,89.21719594,88.93778244,88.5521585,88.34454067,88.58784702,89.34136383,90.46100942,91.93310542,93.74282976,95.89047705,98.40343294,101.2701936
Armenia,10.20782299,10.25833724,10.29324086,10.32060767,10.35342938,10.40474627,10.4431198,10.44574941,10.42836555,10.40634848,10.39832599,10.32908375,10.16019587,9.970848095,9.847469936,9.883686251,10.11329654,10.46957703,10.8861069,11.29725677,11.64330826,11.92647635,12.19723217,12.45473685,12.70081971,12.94656968,13.18105136,13.39351066
Australia,17.19188782,17.06623248,16.96234092,16.87490074,16.81422066,16.78628538,16.78784525,16.79693518,16.81688961,16.85834852,16.92840697,17.02296551,17.11865789,17.215762,17.31973382,17.43200421,17.58818355,17.79401428,18.02796812,18.28012998,18.53399048,18.80421263,19.10809752,19.44509632,19.81702662,20.21798616,20.64563934,21.08918208
Austria,18.21068641,18.26549308,18.34214462,18.42888357,18.53209672,18.65347313,18.8056443,19.02523214,19.27924191,19.54742935,19.80782187,20.03736424,20.26687726,20.49744212,20.7515579,21.05574673,21.47422273,22.03991048,22.69101123,23.37307965,24.03176957,24.65960977,25.29766653,25.9353561,26.56652219,27.18390747,27.78707425,28.40292747
Azerbaijan,19.00018632,20.37472673,21.32538474,21.93910509,22.29123649,22.4297288,22.03200114,20.90402518,19.44424276,18.06733465,17.16573367,16.65459195,16.13793547,15.70538402,15.45064318,15.45172186,15.67798097,15.96591478,16.27236812,16.56170367,16.77487934,16.92410983,17.01932568,17.07018352,17.08959593,17.07169772,17.024736,16.93037263
Bahamas,51.58086252,52.62359855,53.66533801,54.69924177,55.76529563,56.86605982,58.06350112,59.4321254,60.95439944,62.61661399,64.40919958,66.72156799,69.65091253,72.74096536,75.52282619,77.51635751,78.8788229,80.1456233,81.39142451,82.70672126,84.18723724,86.051786,88.42607627,91.24655817,94.4393526,97.91834722,101.6482508,105.6092919
Bahrain,10.7299506,10.84408625,10.90721309,10.95158269,10.99383062,11.04358966,11.06693002,11.03556963,10.99064861,10.96361854,10.98051598,10.99795737,10.94032063,10.87960321,10.87214477,10.99824129,11.27044894,11.53573905,11.81228386,12.11752169,12.48364856,12.93159153,13.33462623,13.72119582,14.13889462,14.62808761,15.22328964,15.78030741
Bangladesh,3.711063015,3.693686202,3.689224161,3.696415532,3.713481544,3.737620971,3.77778301,3.837519143,3.906627677,3.975307529,4.032200927,4.076990952,4.118356906,4.158580374,4.200443983,4.246390337,4.295599533,4.3478392,4.407001085,4.47666453,4.558772092,4.664581645,4.802671983,4.970055095,5.162869155,5.378213717,5.614686686,5.868930974
Barbados,23.78372844,24.41944932,25.06407369,25.72621884,26.40656191,27.09757273,27.82849035,28.59922591,29.37597921,30.13570744,30.84811678,31.52432782,32.19697893,32.8732789,33.55427578,34.22535835,34.95450763,35.7704326,36.60011685,37.38023103,38.03372727,38.59600097,39.16319062,39.73055438,40.29408193,40.84312373,41.3651051,41.8503066
Belarus,11.5581571,11.47180847,11.42053895,11.39660358,11.39935152,11.42560419,11.54960812,11.80013694,12.10090255,12.37515986,12.54142144,12.56495463,12.49385327,12.40042431,12.35224287,12.40337169,12.56429474,12.78700544,13.04448353,13.30515778,13.53993875,13.7701892,14.03968556,14.34756892,14.68237196,15.04327902,15.42981645,15.84065558
