Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,79,80,81,80,,,,
Algeria,,,,,,,,,,,84,84,86,86,88,90,90,95,95,96,96,96.5,98,,,,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Angola,,,,,,,,,,,,,,,,,,,,,,15.30000019,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,82,,,,,
Armenia,88,88.02,88.04,88.06,88.08,88.09999847,86,85,84,84,87.59999847,84.69999695,84.09999847,87.30000305,88.90000153,89.40000153,91.30000305,94.09999847,97,97.09999847,97,97.5,96.59999847,,,,
Austria,,,,,,,,,,,88.90000153,89.19999695,89.59999847,90.5167,91.4333,92.35,93.2667,94.1833,95.09999847,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,41.59999847,42,42.20000076,42.40000153,44.59999847,44.79999924,45,45.20000076,45.70000076,46.29999924,48.40000153,
Bahrain,4.599999905,4.52,4.44,4.36,4.28,4.199999809,4.199999809,4.199999809,4.199999809,4.099999905,4.400000095,4.5,4.5,4.699999809,4.800000191,4.800000191,4.900000095,4.900000095,,,,,,,,,
Belgium,,,,,,,,,,,95.19999695,96.69999695,97,96.90000153,97.5,94.59999847,98.5,100,100,100,,,,,,,
Belize,,,,,,,,,,57.29855347,57.38550949,58.02349854,57.81110001,57.61309814,57.43119812,57.26739883,57.12369919,57.00260162,56.9070015,56.84000015,57.32509995,57.40200043,57.55049896,,,,
Bermuda,,,,,,,,,,,,,,,,10,10,10,10,10,,,,,,,
Bolivia,,,,,,,71.38783264,72.36289215,76.43089294,71.29511261,76.15628815,73.25492096,71.40000153,73.07137299,74.4207,75.76999664,77.43117523,79.70690155,74.78568268,65.20146179,67.1727,69.14395142,80.75384521,82.29959869,83.85567474,84.7202301,
"Bosnia and Herzegovina",56,54.0458,52.0917,50.1375,48.1833,46.2292,44.275,42.3208,40.3667,38.4125,36.45833206,38.28125,41.92708206,43.75,43.51981354,44.74758911,44.86376953,45.67636108,46.54005051,49.2691803,51.20346451,53.17926025,55.1725235,57.16995239,59.18701172,59.354702,
Botswana,,,,,,,,,,,,87,89.9333,92.8667,95.80000305,95.9,96,,,,,,,,,,
Brazil,,,,,,,,,,,,64.69999695,65.30999756,66.09999847,66,66.5,64.30000305,64.90000153,65.09999847,66.09999847,65.09999847,66.90000153,79.90000153,,,,
"British Virgin Islands",,26.5,28.69,30.88,33.07,35.26,37.45,39.64,41.83,44.02,46.21,48.40000153,,,,,,,,,,,,,,,
Brunei,99,99,99,99,99,99,99,99,99,99,99,99,99,99.18,99.36,99.54,99.72,99.90000153,99.90000153,99.90000153,,,,,,,
Bulgaria,98.69999695,98.69999695,98.69999695,98.69999695,98.69999695,98.69999695,98.68,98.66,98.64,98.62,98.59999847,98.90000153,98.90000153,98.90000153,98.90000153,98.90000153,98.90000153,99,99,99,99,99.19999695,99.30000305,99.30000305,,,
"Cape Verde",65.19999695,66.49,67.78,69.07,70.36,71.65,72.94,74.23,75.52,76.81,78.09999847,79.1286,80.1571,81.1857,82.2143,83.2429,84.2714,85.30000305,84.7333,84.1667,83.59999847,84.5,85.40000153,84.40000153,83.69999695,83.40000153,
Cameroon,,,,,,,,,,,,,,,,,,43.90000153,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,30,,,,,,,
Chile,89.30000305,88.8333,88.3667,87.90000153,89.3,90.69999695,90.80000305,91.59999847,93,99.19999695,99.59999847,99.69999695,99.69999695,99.80000305,99.69999695,99.80000305,99.80000305,99.80000305,99.80000305,,,,,,,,
"Hong Kong",99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,,,,,,,,
Macau,,,,,,99.59999847,99.59999847,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,92.61399841,93.08999634,91.16999817,91.94,92.70999908,95.51999664,96.09999847,97.62000275,,,,,,
"Costa Rica",,,,,,,,,,,,,,,,,,,94.69000244,95.19999695,90.73000336,91.84999847,92.69000244,94.60401917,95.07258606,94.91223145,
Croatia,,,,,,,,,,,,,,,,,74,76,78,80,86,85.5,,,,,
Cuba,81.59999847,83.5,85.4,87.3,89.2,91.09999847,92.09999847,93.80000305,95.5,95,94.19999695,91.09999847,91.19999695,91.19999695,91.59999847,91.60418701,92.09999847,92.36000061,92.40000153,94.51268768,92.73000336,92.30000305,93.5,,,,
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
"Czech Republic",,,,,,,,,,,87.09999847,87.30000305,89.80000305,89.80000305,91.59999847,91.59999847,92.40000153,92.30000305,92.30000305,92.80000305,92.80000305,93.5,93.59999847,93.69999695,,,
Denmark,,,,,,,,,,,,95,97,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,69.25,68.95999908,71.65000153,71.75,69.37999725,71.81999969,72.66999817,74.52999878,,,,
Egypt,,,,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,
Estonia,,,,,,,,,,,70,71,72,72,72,72,72,74,80,80,81.59999847,81.69999695,81.69999695,82.19999695,,,
Finland,,,,,,,,,,,,,,,,,,,,,,91,92,,,,
France,,,,,,,,,,,,99.40000153,99.3429,99.2857,99.2286,99.1714,99.1143,99.0571,99,99,99,,,,,,
Gambia,27,27,27,27,27,27,27.6,28.2,28.8,29.4,30,30,30,50,50,50,,,,,,,,,,,
Georgia,,,,,,,,,,,80,78.8,77.6,76.4,75.2,74,72.8,71.6,70.40000153,72.30000305,74.30000305,74.90000153,75,,,,
Germany,,,,,,,,,,,,99.09999847,99.1333,99.1667,99.19999695,99.19999695,99.19999695,99.19999695,99.2333,99.2667,99.30000305,,,,,,
Greece,,,,,,,,,,,85,87,88,89,90,91,92,94,,,,,,,,,
Guatemala,,,,,,68.40000153,69.2857,70.1714,71.0571,71.9429,72.8286,73.7143,74.59999847,74.6333,74.6667,74.7,74.7333,74.7667,74.8,74.8333,74.8667,74.90000153,,,,,
Hungary,,,,,,90,91.98,93.96,95.94,97.92,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,100,100,100,100,100,100,100,,,
Iceland,,,,,,,,,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,
Iraq,,,,,,,,,,,,,,,,73.69999695,74.7,75.7,76.7,77.7,78.69999695,84,85,87,88,86.80000305,
Ireland,,,,,,,,,,,,,90,87.6667,85.3333,83,84,85,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,70,,,,,,,,,,,
Kenya,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,,,,,,,,
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Lebanon,,,,,,,,,,,,,,,,75.59999847,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,76,76,76,76,76,76,76,76,76,76,76,,,,
Luxembourg,,,,,,,,,,,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,,,
Malaysia,,,,,,,,,,,,,,,,,,90.5338974,91.84999847,92.9063797,94.19999695,94.40000153,94.69999695,95.09999847,95.30000305,95.5,
Mali,,,,,,,,,,,,,,60.09999847,63.79999924,66.09999847,67.40000153,63.40000153,71.69999695,73.09999847,,,,,,,
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
"Marshall Islands",,,,,,,,,,,,,,,,,32,,,,,,,,,,
Mauritius,95.19999695,95.55,95.9,96.25,96.6,96.95,97.3,97.65,98,98.35,98.69999695,99,99,99,99,99,99,99.5,99.5,99.5,99.69999695,99.69999695,99.69999695,,,,
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Morocco,,,,,,,,,,,62.70000076,65.19999695,66.25,67.30000305,57.90000153,70.90000153,71.90000153,73.40000153,76.30000305,76.5,77.5,79.5,80.19999695,81.5,83,,
Netherlands,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
"New Caledonia",,,,,,,,,,,,,,,,,,,,90.69999695,91.56,92.42,93.28,94.14,95,,
Norway,,,,,,,,,,,89.19999695,88.59999847,89,89,89,90,90,90,90,89,88,89,89,89,,,
Panama,,,,,,,,,,,70,71,74,75,82,83,84,88.40000153,89,91,67.19999695,70,71.90000153,73.59999847,75.19999695,77.5,
Paraguay,,,,,,,,,,,,52.5,53.29999924,58.79999924,57.90000153,60.59999847,65.5,69.09999847,68.90000153,73.59999847,75.19999695,74.80000305,76.90000153,79.19999695,81.09999847,81.90000153,
Peru,,,,,,,,,,,,,,66.09876251,70.46928406,70.09342194,71.6463623,72.02455139,72.42945099,74.11764526,,,,,,,
Philippines,73,73.6375,74.275,74.9125,75.55,76.1875,76.825,77.4625,78.09999847,81.40000153,79,79.5,80,80.1,80.19999695,,,,,,,,,,,,
Poland,72,72.9,73.8,74.7,75.6,76.5,77.76,79.02,80.28,81.54,82.80000305,84.5,84.80000305,85.40000153,85.80000305,86.09999847,86.30000305,86.59999847,87,87.19999695,87.5,87.59999847,87.90000153,88,,,
Portugal,,,,,,,,,,,,,,,,91.5,91.30000305,92.09999847,94,96.90000153,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,42.09999847,,,,
Romania,,,,,,,,,,,,,54.20000076,53.2,52.2,51.2,50.2,49.20000076,53.09999847,54.90000153,55.70000076,56.5,56.79999924,61.90000153,,,
Rwanda,,,,,,,,,,,,,,,,70.30000305,71.08,71.86,72.64,73.42,74.19999695,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,95,95,96,,
Serbia,,,,,,,,,,,65.04000092,66.22000122,67.41000366,68.83000183,69.87000275,71.13999939,72.41999817,73.3690033,77.27400208,77.83899689,77.66300201,78.24500275,80.14700317,81.94400024,83.68099976,82.87999725,
"Serbia and Montenegro",,,,,,,,,,,,,,,72,,,,,,,,,,,,
Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Slovakia,,,,,,,,,,,,,83.90000153,84.19999695,84.69999695,85.40000153,86.30000305,86.59999847,86.30000305,86.30000305,86.59999847,86.90000153,87,87.40000153,87.69999695,,
"South Africa",,,,,,,,,,,68,70.80000305,72,73.90000153,77.90000153,81.09999847,83.09999847,85.80000305,88.40000153,90.59999847,92.69999695,93.5,93.80000305,,,,
Spain,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,,,,
"West Bank and Gaza",,,,,,,,,,84.80000305,87.8,90.8,93.80000305,91.90000153,97.90000153,95.90000153,95.3,94.7,94.09999847,94.09999847,93.95,93.80000305,96.59999847,,,,
Sudan,,,,,,,,,,,,,59.79999924,59.525,59.25,58.975,58.70000076,56.35,54,59,60,60.5,,,,,
Suriname,,,,,,,,,,,,,,,66.73999786,66.8787,67.0175,67.1562,67.295,67.4337,67.5725,67.7112,67.84999847,,,,
Sweden,,,,,,,,,,,84.90000153,84.98,85.06,85.14,85.22,85.30000305,85.30000305,85.30000305,85.5333,85.7667,86,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,99.19999695,,,,
"Macedonia (F.Y.R.O.M.)",90,90,90,90,90,90,90.75,91.5,92.25,93,93,93,93,94,94,94,95,95,95,,,,,,,,
"Trinidad and Tobago",,,,,,,,,,73,74.19999695,75.40000153,76.40000153,77.8643,79.3286,80.7929,82.2571,83.7214,85.1857,86.65,88.1143,89.5786,91.0429,92.5071,93.9714,95.4357,96.90000153
Tunisia,58.20000076,60.84,63.48,66.12,68.76,71.40000153,72.40000153,73.09999847,74,74.59999847,75.19999695,76.69999695,77.90000153,79.40000153,79.80000305,80.59999847,81,81.40000153,81.90000153,82.30000305,82.59999847,82.80000305,83,,,,
Turkey,,,,,,69.90000153,70.7,71.5,72.3,73.1,73.90000153,74.80000305,76.09999847,76.59999847,78.5,79.59999847,81.69999695,81.5,98.59999847,98.30000305,98.30000305,98.30000305,98.30000305,,,,
Venezuela,,,,,,,,,,,83.69999695,84.80000305,85.80000305,87,89.30000305,90,90.90000153,91.59999847,94,95,,,,,,,
Vietnam,,,,,,,,,,,,,17.62000084,18.62,19.62000084,21.795,23.96999931,25.395,26.81999969,28.085,29.35000038,30.66,31.96999931,,,,
Yemen,,,,,,,,,,14,14.30000019,14.39999962,14.80000019,15.89999962,16.70000076,16.89999962,17,18,18.20000076,18.20000076,18.60000038,18.60000038,18.5,,,,
