Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,3652.87,3705.03,3760.98,3820.75,3884.35,3951.8,4023.12,4098.29,4177.33,4260.23,4346.99,4437.67,4532.37,4631.21,4734.37,4842.02,4952.72,5066.25,5185.16,5313.01,5451.44,5599.71,5753.95,5908.69,6056.67,6191.33,6315.72,6427.91,6510.97,6543.07,6511.41,6411.29,6255.68,6072.08,5898.42,5764.97,5674.75,5627.94,5647.58,5760.23,5981.15,6327.36,6785.76,7304.03,7809.33,8250.19,8603.32,8885.66,9134.96,9408.62,9746.78,10162.5,10637.8,11145,11642.5,12101.6,12511.5,12884.2,13239.2,13606,14005.5,14444,14912.7,15398.3,15881.1,16346.9,16791.6,17220.2
Albania,614.944,626.391,639.986,655.265,671.93,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.09,868.781,894.554,920.028,945.045,969.657,994.053,1018.52,1043.29,1068.41,1093.77,1119.35,1145.07,1170.84,1196.7,1222.7,1248.9,1275.4,1302.29,1329.02,1355.56,1382.78,1411.96,1443.67,1478.75,1516.05,1551.9,1581.29,1600.82,1609.05,1607.42,1598.87,1587.79,1577.49,1568.64,1560.61,1553.8,1548.37,1544.34,1542.45,1542.65,1543.08,1541.16,1535.17,1524.37,1509.65,1493.07,1477.52,1465.12,1456.5,1451.04,1448.29,1447.35,1447.49,1448.68,1451.04
Algeria,4360.65,4454.82,4551.93,4653.61,4761,4874.74,4994.93,5121.17,5252.65,5388.27,5527.05,5668.59,5813.44,5963.24,6120.33,6286.27,6462.01,6646.95,6839.17,7035.93,7235.41,7437.12,7642.21,7852.43,8070.28,8297.71,8534.65,8780.91,9038.14,9308.31,9592.49,9891.02,10202.4,10523.4,10849.6,11177.4,11504.9,11831.5,12156,12477.5,12795.1,13108.6,13416.5,13714.8,13998.6,14264.8,14512.7,14744.1,14962.6,15173.3,15380.5,15585.6,15790.2,15999.2,16218.6,16452.9,16703.3,16970,17255.1,17560.7,17887.2,18236,18604.4,18984.4,19365,19738.1,20100.1,20451.8
Angola,2341.38,2398.31,2457.21,2516.45,2574.85,2631.7,2686.81,2740.46,2793.31,2846.38,2900.6,2956.55,3014.09,3072.26,3129.66,3185.52,3239.55,3292.9,3348.03,3408.2,3475.92,3552.33,3637.19,3729.92,3829.31,3934.59,4045.04,4161.24,4285.2,4419.64,4566.09,4726.26,4898.49,5076.93,5253.51,5422.85,5581.98,5733.49,5884.26,6044.24,6220.39,6416.27,6629.27,6852.91,7077.58,7296.96,7508.65,7716.68,7928.91,8156.46,8407.38,8684.47,8985.54,9307.61,9645.61,9995.79,10357.5,10731.8,11119.2,11520.4,11936,12366.1,12809.8,13265.6,13731.4,14205.7,14688.1,15178.9
"Antigua and Barbuda",23.452,24.274,24.986,25.621,26.204,26.746,27.27,27.781,28.282,28.78,29.275,29.769,30.265,30.773,31.323,31.893,32.504,33.144,33.795,34.429,35.042,35.605,36.121,36.586,36.974,37.292,37.533,37.69,37.758,37.735,37.605,37.387,37.094,36.726,36.319,35.886,35.442,35.002,34.624,34.422,34.447,34.705,35.194,35.894,36.782,37.834,39.068,40.45,41.858,43.149,44.196,44.955,45.452,45.787,46.093,46.473,46.96,47.507,48.101,48.703,49.287,49.842,50.382,50.914,51.449,51.986,52.51,53.045
Argentina,8323.38,8513.04,8702.79,8891.24,9077.41,9260.8,9441.36,9619.47,9795.93,9971.78,10148.1,10325.5,10504.1,10683.3,10861.9,11039.4,11215.5,11391.1,11569.6,11755.2,11951,12158.2,12375.6,12601.1,12831.1,13063.2,13296.7,13531.9,13768.5,14006.3,14245.1,14484.3,14723.6,14963.7,15205.4,15449.4,15695.7,15943.5,16191.7,16438.5,16682.5,16923.6,17161.6,17396,17626.2,17851.9,18072.6,18288.7,18501.8,18713.7,18926.1,19139.7,19354.2,19569,19783.4,19996.6,20208.3,20419.1,20630.2,20843.5,21060.1,21280.5,21503.8,21728.5,21952,22172.6,22389.5,22603.2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.88,1754.81,1721.34,1693.33,1672.64,1657.79,1647.24,1638.21,1628.67,1618.68,1609.09,1599.56,1589.71,1579.38,1568.17,1556.31,1545.07,1536.23,1530.96,1529.75,1532.01,1536.58,1541.73,1546.2,1549.57,1552.1
Aruba,19.657,19.758,20.097,20.684,21.479,22.455,23.538,24.68,25.794,26.8,27.635,28.252,28.66,28.909,29.092,29.266,29.451,29.625,29.799,29.992,30.182,30.402,30.639,30.885,31.064,31.148,31.111,30.989,30.833,30.749,30.806,31.044,31.455,31.918,32.222,32.302,32.056,31.574,31.1,30.994,31.493,32.694,34.485,36.628,38.788,40.708,42.3,43.614,44.759,45.858,47.019,48.249,49.506,50.706,51.716,52.454,52.894,53.085,53.107,53.11,53.2,53.405,53.704,54.063,54.419,54.742,55.02,55.278
Australia,4056.88,4165.84,4263.74,4357.3,4451.53,4549.63,4652.96,4761.14,4872.25,4983.33,5091.57,5195.76,5297.44,5401.45,5514.4,5640.53,5782.13,5936.15,6094.9,6247.6,6386.52,6509.24,6618.1,6716,6807.79,6897.33,6985.16,7070.99,7156.8,7244.88,7336.99,7433.58,7534.84,7641.83,7755.62,7876.56,8005.54,8141.38,8279.89,8415.39,8543.76,8663.77,8776.41,8882.54,8983.91,9082.07,9177.6,9270.94,9363.62,9457.49,9554.32,9653.88,9757.26,9868.97,9994.71,10138.1,10301.3,10481.9,10673.7,10868.2,11058.6,11243,11422.1,11596.6,11768.2,11937.9,12105.5,12270
Austria,3716.48,3712.97,3712.12,3713.44,3716.61,3721.48,3728.07,3736.58,3747.34,3760.76,3777.15,3796.53,3818.48,3842.03,3865.9,3889.1,3911.14,3931.93,3951.32,3969.3,3985.8,4000.84,4014.15,4024.99,4032.4,4035.82,4034.99,4030.47,4023.52,4015.9,4008.98,4003.32,3998.9,3995.97,3994.57,3994.79,3996.47,3999.83,4005.75,4015.37,4029.28,4048.3,4071.59,4096.13,4117.75,4133.62,4142.29,4145,4144.85,4146.4,4152.87,4165.47,4183,4203.46,4223.71,4241.6,4256.18,4268.37,4279.99,4293.72,4311.3,4333.53,4359.31,4386.14,4410.52,4430.01,4443.66,4452.36
