Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,2.7,2.9,3.1,3.3,3.5,3.7,3.9,3.3333,2.7667,2.2,1.8333,1.4667,1.1,1.225,1.35,1.475,1.6,,,,
Algeria,,,,,,,,,,,,6.8,6.7714,6.7429,6.7143,6.6857,6.6571,6.6286,6.6,6.2375,5.875,5.5125,5.15,4.7875,4.425,4.0625,3.7,3.3375,2.975,2.6125,2.25,1.8875,1.525,1.1625,0.8,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,
Argentina,,,,0.6,0.5571,0.5143,0.4714,0.4286,0.3857,0.3429,0.3,0.55,0.8,1.05,1.3,2,2.3,2.3,3.9,4.5,4,4.2,4.5,5.4,8.2,11.7,8.9,6.3,4.8,3.8,3.3,2.9,2.8,2,1.5,1.6,1.7,1.8,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,16.9,17.45,18,15.7,13.2,9.6,6.1,4.9,5.4,2.8,3.6,4.9,4.5,4,4.1,3.5,3,
Australia,,,,,0.7,0.725,0.75,0.775,0.8,0.75,0.7,0.65,0.6,0.6333,0.6667,0.7,0.7333,0.7667,0.8,0.7833,0.7667,0.75,0.7333,0.7167,0.7,0.8,0.9,0.8,0.7,0.6,0.5,0.4,0.4,0.4,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.3,0.3,0.6,0.4,0.4,0.3,0.2,0.2,,
Azerbaijan,,,,,,,,,,,,,,,,,,,8,7.35,6.7,6.05,5.4,4.75,4.1,3.6143,3.1286,2.6429,2.1571,1.6714,1.1857,0.7,,,,,,,,
Bangladesh,,,,,,,32,30.25,28.5,30.3333,32.1667,34,34.0667,34.1333,34.2,32.8,31.4,30,28.6,28.28,27.96,27.64,27.32,27,25.98,24.96,23.94,22.92,21.9,21.16,20.42,19.68,18.94,18.2,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,11.5,10.3,7.6,3.8,2.6,2.1,0.8,0.5,0.2,0.2,0.1,0.1,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
Belize,,,,,,,,,,,,,,,,,10,9.9,10.85,11.8,15.2,13.5,12.1,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,36.8375,37.075,37.3125,37.55,37.7875,38.025,38.2625,38.5,38.75,39,39.25,39.5,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,22.575,17.95,13.325,8.7,7.62,6.54,5.46,4.38,3.3,,,,
Bolivia,,,,,,,,,,,,,,7.7,8.9429,10.1857,11.4286,12.6714,13.9143,15.1571,16.4,19.25,22.1,26.1,20.2,21.2,16.75,12.3,17.5,15.1,12.8,10.4,10.1,8.45,6.8,8,6.6,6,6.1,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2667,0.2333,0.2,0.1667,0.1333,0.1,0.1,0.1,0.1,0.1,,,,,
Botswana,,,,,,,,,32.6,31.875,31.15,30.425,29.7,28.975,28.25,27.525,26.8,26.4222,26.0444,25.6667,25.2889,24.9111,24.5333,24.1556,23.7778,23.4,22.1571,20.9143,19.6714,18.4286,17.1857,15.9429,14.7,,,,,,,
Brazil,,,,,19.7,19.1,24.3,23.6,20.1,8.9,15.1,18.3,16.8,16.7,17,17.3,16.6,13.9,11.2,12.1,12,10.9,11.4,11.55,11.7,10.5,11.1,9.8,8.7,7.3,7.2,6,5.7,5.4,5.1,4.3,4.5,3.3,3.9,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,1.5,1,0.9,1.5,2,1.8,1.8,1.4,,
"Burkina Faso",,,,,,,,,,,,,,,,,,64.9,63.95,63,62.05,61.1,57.48,53.86,50.24,46.62,43,42.6,42.2,41.8,41.4,41,40.6,38.92,37.24,35.56,33.88,32.2,,
Burundi,,,,,,,,,,,,,,,,58.4,59.3,60.2,61.1,62,62.9,63.8,62.6875,61.575,60.4625,59.35,58.2375,57.125,56.0125,54.9,54.6571,54.4143,54.1714,53.9286,53.6857,53.4429,53.2,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,13.7,12.75,11.8,10.85,9.9,8.95,8,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,34.7,31.64,28.58,25.52,22.46,19.4,19.9667,20.5333,21.1,21.6667,22.2333,22.8,22.2286,21.6571,21.0857,20.5143,19.9429,19.3714,18.8,,
Canada,,,,,0.5,0.4333,0.3667,0.3,0.2333,0.1667,0.1,0.125,0.15,0.175,0.2,0.2,0.2,0.2,0.2333,0.2667,0.3,0.3,0.25,0.2,0.2,0.2,0.2,0.2,0.1667,0.1333,0.1,0.1333,0.1667,0.2,0.2333,0.2667,0.3,,,
"Central African Republic",,,,,,,,,,,,,,,,71.1,69.1091,67.1182,65.1273,63.1364,61.1455,59.1545,57.1636,55.1727,53.1818,51.1909,49.2,49.46,49.72,49.98,50.24,50.5,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,44.8875,42.875,40.8625,38.85,36.8375,34.825,32.8125,30.8,,,,,
Chile,,,,,,,,,,,8.2,8,7.8,7.6,6.3,5,5,5,4.35,3.7,3.65,3.6,3.95,4.3,4.2,4.1,4,3.4667,2.9333,2.4,2.4667,2.5333,2.6,2.1,1.6,1.25,0.9,1.1,1.3,
