Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,1.1,1.3167,1.5333,1.75,1.9667,2.1833,2.4,1.9667,1.5333,1.1,0.8667,0.6333,0.4,0.575,0.75,0.925,1.1,,,,
Algeria,,,,,,,,,,6.5,6.4143,6.3286,6.2429,6.1571,6.0714,5.9857,5.9,5.5625,5.225,4.8875,4.55,4.2125,3.875,3.5375,3.2,2.8625,2.525,2.1875,1.85,1.5125,1.175,0.8375,0.5,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,,,,,,
Argentina,,0.5,0.5545,0.6091,0.6636,0.7182,0.7727,0.8273,0.8818,0.9364,0.9909,1.0455,1.1,2,2.4,2.3,4.1,4.6,4.1,4.6,4.8,5.7,9.4,14,9.8,7.1,5.4,4.1,3.5,3,3,2,1.5,1.6,1.8,1.7,,
Armenia,,,,,,,,,,,,,,,,,,,,,16.9,18.1,19.3,15.1,11.4,7.9,4.5,3.3,3.6,1.5,1.6,2.5,2.7,1.7,2.4,2.3,1.9,
Australia,,,1,1,1,1,1,0.925,0.85,0.775,0.7,0.75,0.8,0.85,0.9,0.95,1,0.95,0.9,0.85,0.8,0.75,0.7,0.85,1,0.88,0.76,0.64,0.52,0.4,0.35,0.3,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.4,0.5,0.7,0.5,0.4,0.3,0.3,0.2,,
Azerbaijan,,,,,,,,,,,,,,,,,7.3,6.5333,5.7667,5,4.2333,3.4667,2.7,2.3857,2.0714,1.7571,1.4429,1.1286,0.8143,0.5,,,,,,,,
Bangladesh,,,,,38.5,36.55,34.6,37.7,40.8,43.9,44,44.1,44.2,41.925,39.65,37.375,35.1,34.82,34.54,34.26,33.98,33.7,31.86,30.02,28.18,26.34,24.5,23.3,22.1,20.9,19.7,18.5,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,11.3,10.3,7.1,3.1,2,1.4,0.3,0.4,0.1,0.1,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,,,
