Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,19.90526,17.62805,16.96818,15.3501,13.7319,12.11382,11.55814,14.84326,16.0238,17.20433,19.47308,11.96146,11.683,11.4045,11.1261,10.8476,10.5692,10.2907,10.0123,9.7338,9.4553,9.1769,8.8984,8.62,8.3415,8.0631,7.7846,7.5061,7.22769,,,,,,,,,,,,
Albania,,,,,,21.58619,22.22249,21.84876,22.125,22.3913,22.60677,22.80474,22.74525,22.87314,22.8345,23.03529,22.95321,20.01636,15.96477,17.56116,18.15357,19.14312,18.8734,19.21831,19.9741,21.04087,20.9017,21.98123,21.67022,21.17837,20.52241,20.26414,20.08508,19.64409,19.10484,18.0777,18.87546,18.50724,18.20031,18.2537,
Algeria,,,,,,,,,,,,,,,,,,,20.26871,22.30187,21.60703,25.76494,25.13353,26.6444,28.15536,26.86972,28.08063,27.9944,27.90808,26.27948,28.91075,24.21049,26.79915,25.19973,23.80581,25.80431,25.36019,,,,
Andorra,,,,,,,,,12.74834,12.8418,12.9352,13.0287,13.1221,13.2156,13.309,13.4025,13.4959,13.5894,13.6828,13.7762,13.8697,13.9631,14.0566,14.15,14.2435,14.3369,14.4304,14.52381,14.83146,14.68539,13.90052,12.44762,12.79,13.33511,13.08696,12.89305,13.29609,13.67978,14.08721,13.70391,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.06511,31.54112,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,14.85185,15.4452,16.03846,16.8269,17.61538,13.69697,13.93939,13,12.34211,13.13158,10.41463,11.41463,10.81579,10.46512,10.7381,10.09091,14,,,,
"Antigua and Barbuda",28.33333,22.90698,31.53846,26.35,25.434,24.5179,23.6019,22.6858,21.7698,20.8537,19.9377,19.0216,18.1056,17.1895,16.2735,15.3574,14.4414,13.5253,12.6093,11.6933,10.7772,9.8612,8.9451,8.0291,7.113,6.19697,7.1514,8.1058,9.0602,10.0146,10.969,11.9234,12.87778,11.27273,10.3405,9.40824,8.52448,20.93548,,,
Argentina,19.43457,19.51832,19.53382,19.6559,19.77802,19.5464,20.73927,20.77486,20.34754,19.96782,19.10489,18.06957,18.38805,17.90407,17.4809,17.0577,16.6346,16.2114,15.7883,15.3651,15.5743,15.7834,15.99262,21.43752,23.79198,23.8307,23.86941,23.71277,21.65935,19.62456,19.29073,18.53316,17.65757,19.92434,,,,,,,
Armenia,,,,,,11.63107,11.572,11.5128,11.4537,11.3946,11.3355,11.2764,11.2173,11.1582,11.09904,10.07843,9.7665,9.4545,9.1426,8.8306,8.5187,8.2068,7.8948,7.5829,7.27091,7.62922,7.25404,7.95262,8.32081,8.67364,9.25901,9.46229,9.49101,9.78508,10.06521,9.83875,9.47919,9.39831,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,25.82857,26.5,25.59821,23.72951,21.52593,20.11348,19.59028,20.58621,20.66667,19.16084,18.66897,19.50694,18.92517,19.55102,,,
