Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,3.59,3.7625,3.935,4.1075,4.28,,,,,,,
Albania,,,,,,,1.8,2.275,2.75,3.225,3.7,4.175,4.65,5.125,5.6,,
Algeria,,,,,,,,,,,0.52,,,,,,
Argentina,,,,,,,6.9,6.16,5.42,4.68,3.94,3.2,,,,,
Armenia,,,,3.5,,,,,,,,,,,,,
Australia,,,,,,,,,,,10.3,10.2667,10.2333,10.2,,,
Austria,,,,,,,,,3.5,3.9143,4.3286,4.7429,5.1571,5.5714,5.9857,6.4,
Azerbaijan,,,,,3.5,,,,,,,,,,,,
Bahamas,,,,4.7,4.868,5.036,5.204,5.372,5.54,,,,,,,,
Bangladesh,,,,,3.3,,,,,,,,,,,,
Barbados,,,,,,,8.3,,,,,,,,,,
Belarus,,,,,,,,1.07,,,,,,,,,
Belgium,,,,,,,,,5.1,5,4.9,4.8,4.7,4.6,,,
Belize,,,,,,8.45,,,,,,,,,,,
Bermuda,,,,,,,,,,10.9,,,,,,,
Bhutan,,,,,,,,,,4.2,,,,,,,
Bolivia,,,,,,,,4.5,3.9617,3.4233,2.885,2.3467,1.8083,1.27,,,
"Bosnia and Herzegovina",,,,,,,,2.8,2.5,2.2,1.9,1.6,,,,,
Brazil,,,,,,2.6,2.5909,2.5818,2.5727,2.5636,2.5545,2.5455,2.5364,2.5273,2.5182,2.5091,2.5
Bulgaria,,,,,,,,,2.5,2.75,3,3.25,3.5,,,,
"Burkina Faso",,,,,,,2.9,,,,,,,,,,
Cambodia,,,,3.5,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,12.7,13.715,14.73,
"Cape Verde",,,,,8.1,7.3875,6.675,5.9625,5.25,4.5375,3.825,3.1125,2.4,,,,
Chile,,,,,,,,,,,,,7.47,9.65,11.83,,
"Hong Kong",,,,,,,,,0.4,,,,,,,,
Macau,,,,0.67,,,,,,,,,,,,,
Colombia,,,,,,,,,2.27,2.47,2.67,2.87,3.07,3.27,,,
"Costa Rica",,,,,,,1.02,1.455,1.89,2.325,2.76,,,,,,
Croatia,,,,,,,,,,,,,5,5.9667,6.9333,7.9,
Cyprus,,,,,,,,,,4.4,3.6667,2.9333,2.2,,,,
"Czech Republic",,,,,,,,,,,,,,8.9,11.4,,
Denmark,,,,,,,,,,,5.4,5.9,6.4,6.9,,,
"Dominican Republic",,,,,,,,,0.31,,,,,,,,
Ecuador,,,,,,,,0.7,0.695,0.69,0.685,0.68,0.675,0.67,,,
Egypt,,,,,,,6.24,,,,,,,,,,
"El Salvador",,,,,,0.39,0.5722,0.7544,0.9367,1.1189,1.3011,1.4833,1.6656,1.8478,2.03,,
Estonia,,,,4.6,4.88,5.16,5.44,5.72,6,,,,,,,,
Fiji,,,,,5.08,,,,,,,,,,,,
Finland,,,,,,,,,,,4.6,5.15,5.7,6.25,6.8,,
France,,,,,,,,,,,8.4,9.075,9.75,10.425,11.1,,
Georgia,,,,,,1.1,1.5,1.9,2.3,2.7,,,,,,,
Germany,,,,,,,,,,,,,4.5,5.0333,5.5667,6.1,
Greece,,,,,1.7,,,,,,,,,,,,
Greenland,,,,7.6,,,,,,,,,,,,,
Guatemala,,,,,,4.8,,,,,,,,,,,
Guyana,,,,,,,,,3.5,3.77,4.04,,,,,,
Haiti,,,,,,1.41,1.43,1.45,1.47,1.49,1.51,,,,,,
Honduras,,,,,1.5,0.83,,,,,,,,,,,
Hungary,,,,,,,,2.3,2.2038,2.1075,2.0113,1.915,1.8188,1.7225,1.6263,1.53,
