Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,0.78,0.995,1.21,1.425,1.64,1.855,2.07,2.285,2.5,,
Algeria,,,,,,,,,0.01,,,,,,
Argentina,,,,,,,1,0.91,0.82,0.73,,,,,
Armenia,,,,0.1,,,,,,,,,,,
Australia,,,,,,,,,2.1,2.1,2.1,2.1,,,
Austria,,,,,,,0.9,0.8286,0.7571,0.6857,0.6143,0.5429,0.4714,0.4,
Barbados,,,,,0.4,,,,,,,,,,
Belarus,,,,,,0.06,,,,,,,,,
Belgium,,,,,,,0.9,0.82,0.74,0.66,0.58,0.5,,,
Belize,,,,0.85,,,,,,,,,,,
Bermuda,,,,,,,,1.3,,,,,,,
Bolivia,,,,,,0.6,0.56,0.52,0.48,0.44,0.4,0.36,,,
"Bosnia and Herzegovina",,,,,,,0.63,,,,,,,,
Brazil,,,,0.7,0.7273,0.7545,0.7818,0.8091,0.8364,0.8636,0.8909,0.9182,0.9455,0.9727,1
Bulgaria,,,,,,0.6,0.52,0.44,0.36,0.28,0.2,,,,
Canada,,,,,,,,,,,,1.1,1.28,1.46,
"Cape Verde",,,0.23,0.2263,0.2225,0.2188,0.215,0.2113,0.2075,0.2038,0.2,,,,
Chile,,,,,,,,,,,1.21,1.47,1.73,,
"Hong Kong",,,,,,,0.25,,,,,,,,
Colombia,,,,,,,0.72,0.716,0.712,0.708,0.704,0.7,,,
"Costa Rica",,,,,0.31,0.4975,0.685,0.8725,1.06,,,,,,
Croatia,,,,,,,,,,,0.5,0.6,0.7,0.8,
Cyprus,,,,,,,,1.2,0.9,0.6,0.3,,,,
"Czech Republic",,,,,,,,,,,,0.1,0.2,,
Denmark,,,,,,,,,0.9,0.9,0.9,0.9,,,
"Dominican Republic",,,,,,,0.3,,,,,,,,
Ecuador,,,,,,0.2,0.18,0.16,0.14,0.12,0.1,0.08,,,
Egypt,,,,,0.02,,,,,,,,,,
"El Salvador",,,,0.41,0.4167,0.4233,0.43,0.4367,0.4433,0.45,0.4567,0.4633,0.47,,
