Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,2.92,,,,,,
Argentina,,,,,,,0.19,,,,,,,,
Armenia,,,,,,,0.28,0.22,0.16,,,,,,
Australia,,,,,,,,,,3.4,3.3667,3.3333,3.3,,
Austria,,,,,,,,,,,0.53,0.515,0.5,,
Bangladesh,,,0.4,,,,,,,,,,,,
Barbados,,,,,,0.23,,,,,,,,,
Belgium,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,,
Belize,,,,,0.3,,,,,,,,,,
Bulgaria,,,,,,,,0.44,0.4633,0.4867,0.51,,,,
Chile,,,,,,,,,,,,,,0.58,
"Congo (Kinshasa)",,,,0.17,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,0.15,0.16,
"Dominican Republic",0.14,,,,,,,,,,,,,,
"El Salvador",,,,,0.14,,,,,,,,,,
Estonia,,,,,,,,1.53,,,,,,,
Finland,,,,,,,,,,0.6,0.505,0.41,,,
France,,,,,,,,,,,,,0.52,,
Georgia,,,,,,0.58,0.775,0.97,1.165,1.36,,,,,
Germany,,,,,,,,,0.2,0.2667,0.3333,0.4,,,
Haiti,,,,,,0.2,,,,,,,,,
Hungary,,,,,,,,,,,,,,,0.13
Italy,,,,,,,,,,,,,0.8,,
Jamaica,,,,,,1,,,,,,,,,
Kazakhstan,,,,,,1,,,,,,,,,
Kyrgyzstan,,,,,,0.8,,,,,,,,,
Latvia,,,,,,,,,,,,,,,0.5
"Macedonia (F.Y.R.O.M.)",,,,,0.5,,,,,,,,,,
Maldives,,,,,,,,,,,,1.46,,,
Mauritius,,,,,,,,,1.29,,,,,,
Mexico,,,,,,,,0.1,0.1933,0.2867,0.38,,,,
"New Zealand",,,,,,0.42,0.76,1.1,,,,,,,
Pakistan,,,,,,0.7,0.9833,1.2667,1.55,1.8333,2.1167,2.4,,,
Philippines,,,,,,,0.05,,,,,,,,
Russia,,,,,,,,,,2.29,2.304,2.318,2.332,2.346,2.36
Serbia,,,,,,,,,,,,,,5.15,
Singapore,,,,,,,,,,0.33,,,,,
Slovakia,,,,,,,,,,,,,,,0.3
Slovenia,,,,,,,,,,,,,0.37,,
"South Africa",,,,,,,,0.5,,,,,,,
Sweden,,,,,,,0.23,0.28,0.33,0.38,0.43,0.48,0.53,,
Tajikistan,,,,,,0.54,,,,,,,,,
Turkmenistan,,,,,,,0.32,,,,,,,,
"United States",,,,,,,,,,,,,,5.41,6.01
Uruguay,,,,,,,,,,,0.18,,,,
Uzbekistan,,,,,,0.8,,,,,,,,,
