Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,40.7,40.1,39.5,38.9,38.3,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,61.7474,60.5947,59.4421,58.2895,57.1368,55.9842,54.8316,53.6789,52.5263,51.3737,50.2211,49.0684,47.9158,46.7632,45.6105,44.4579,43.3053,42.1526,41,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,37.9,35.7,33.5,31.3,29.1,27.5,25.9,24.3,22.7,21.3125,19.925,18.5375,17.15,15.7625,14.375,12.9875,11.6,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,17.82,17.94,18.06,18.18,18.3,18.98,19.66,20.34,21.02,21.7,19.9,18.1,16.3,14.5,12.7,10.9,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,25.05,25.7,26.35,27,27.65,28.3,26.8286,25.3571,23.8857,22.4143,20.9429,19.4714,18,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8,66.3,65.8,65.3,64.8,64.3,63.8,63.3,62.8,62.3,61.8,61.4,61,60.6,60.2,59.8,59.4,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,37.8308,37.6615,37.4923,37.3231,37.1538,36.9846,36.8154,36.6462,36.4769,36.3077,36.1385,35.9692,35.8,35.625,35.45,35.275,35.1,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,40.9,41.3833,41.8667,42.35,42.8333,43.3167,43.8,44.175,44.55,44.925,45.3,44.6667,44.0333,43.4,41.75,40.1,38.45,36.8,38.2,36.7,34.25,31.8,31.05,30.3,22.7,27.7,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,57.2,54.3,51.4,51.35,51.3,51.25,51.2,48.7,46.2,43.7,42.925,42.15,41.375,40.6,39.3333,38.0667,36.8,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,13.1333,13.0667,13,12.9333,12.8667,12.8,12.15,11.5,10.85,10.2,9.55,8.9,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22.92,21.84,20.76,19.68,18.6,18,17.4,16.8,16.2,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,34.2,34,33.8,33.6,33.4,32.32,31.24,30.16,29.08,28,26.025,24.05,22.075,20.1,19.1,18.1,17.1,16.1,,,
Brazil,,,,,,,,,,,,,,,,,,,,21.1,20.2,19.3,18.4,17.5,16.6,15.7,14.8,14.1818,13.5636,12.9455,12.3273,11.7091,11.0909,10.4727,9.8545,9.2364,8.6182,8,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,50.5111,48.9222,47.3333,45.7444,44.1556,42.5667,40.9778,39.3889,37.8,35.6,33.4,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,46.4333,46.4667,46.5,46.5333,46.5667,46.6,45.85,45.1,44.35,43.6,42.7,41.8,,,,,,,
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,33.35,35,36.65,38.3,39.95,41.6,43.25,44.9,42.8667,40.8333,38.8,36.7667,34.7333,32.7,30.35,28,25.65,23.3,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,34,34.2231,34.4462,34.6692,34.8923,35.1154,35.3385,35.5615,35.7846,36.0077,36.2308,36.4538,36.6769,36.9,38.8,40.7,39.58,38.46,37.34,36.22,35.1,34.5667,34.0333,33.5,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,47.6333,47.7667,47.9,48.0333,48.1667,48.3,47.9667,47.6333,47.3,46.5667,45.8333,45.1,,,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,31.9333,30.5667,29.2,27.8333,26.4667,25.1,24.2,23.3,22.4,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,22,21.42,20.84,20.26,19.68,19.1,18.7,18.3,17.9,17.5,16.8667,16.2333,15.6,14.9667,14.3333,13.7,13.8167,13.9333,14.05,14.1667,14.2833,14.4,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,45.3833,44.2667,43.15,42.0333,40.9167,39.8,38.6833,37.5667,36.45,35.3333,34.2167,33.1,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,28.66,29.22,29.78,30.34,30.9,31.46,32.02,32.58,33.14,33.7,,,,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,23.9,22.26,20.62,18.98,17.34,15.7,14,12.3,10.6,8.9,11.05,13.2,12.74,12.28,11.82,11.36,10.9,10.4333,9.9667,9.5,9.0333,8.5667,8.1,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,23.1,23.325,23.55,23.775,24,24.225,24.45,24.675,24.9,25.4,25.9,23.575,21.25,18.925,16.6,15.9333,15.2667,14.6,13.9333,13.2667,12.6,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,29.22,29.64,30.06,30.48,30.9,29.3,27.7,27.4333,27.1667,26.9,26.6333,26.3667,26.1,26,25.9,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,35.7,33.5,31.3,33.8,36.3,34.32,32.34,30.36,28.38,26.4,25.0667,23.7333,22.4,23.95,25.5,27.9667,30.4333,32.9,31.35,29.8,28.25,26.7,25.15,23.6,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,45.7125,46.825,47.9375,49.05,50.1625,51.275,52.3875,53.5,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,57.7,56.2,54.7,53.2,51.7,50.8,49.9,49,48.1,47.2,46.3,45.32,44.34,43.36,42.38,41.4,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,27.6333,26.8667,26.1,25.3333,24.5667,23.8,23.0333,22.2667,21.5,20.7333,19.9667,19.2,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,34.64,35.58,36.52,37.46,38.4,35.5,32.6,29.7,29.9,30.1,28.5,26.9,25.3,23.6667,22.0333,20.4,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,34.5833,36.0667,37.55,39.0333,40.5167,42,41.1667,40.3333,39.5,38.6667,37.8333,37,32.2,32.775,33.35,33.925,34.5,34.15,33.8,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26.4333,26.8667,27.3,27.7333,28.1667,28.6,27.825,27.05,26.275,25.5,24.55,23.6,25.9,23.62,21.34,19.06,16.78,14.5,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,38.1833,40.2667,42.35,44.4333,46.5167,48.6,45.025,41.45,37.875,34.3,33,31.7,30.4,29.1,,,,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,56.25,55.7,55.15,54.6,51.1,53.2,55.3,54.7571,54.2143,53.6714,53.1286,52.5857,52.0429,51.5,50.8,50.1,49.4,48.7,48,47.3,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,15.5,16.1,16.7,17.3,17.9,18.5,19.0667,19.6333,20.2,18.66,17.12,15.58,14.04,12.5,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,36.28,35.06,33.84,32.62,31.4,30.2167,29.0333,27.85,26.6667,25.4833,24.3,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,37.8,36.7333,35.6667,34.6,33.5333,32.4667,31.4,31.6833,31.9667,32.25,32.5333,32.8167,33.1,31.5,29.9,28.3,26.7,25.1,23.5,23.6,23.7,23.8,23.9,24,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,46.7444,45.6889,44.6333,43.5778,42.5222,41.4667,40.4111,39.3556,38.3,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,28.7833,28.7667,28.75,28.7333,28.7167,28.7,27.52,26.34,25.16,23.98,22.8,21.3,19.8,18.3,16.8,15.3,13.8,12.3,
Jamaica,,,,,,,,,,,,,,,,,,,,,,17,16,14.1,13.9,11.7,13.8,10.9,13.3,7.3,10.2,10,9.3,7.7,6.1,6.2,6.3,5.6,9.4,8.15,6.9,7,7.1,7.05,7,,,,,
