Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,4.235245277,4.696074351,4.764837434,4.810566719,4.765380664,4.452997219,4.0684465,3.674662994,3.816012238,4.263413558,4.344688892
Algeria,4.327380952,4.324441352,4.56966646,4.728890173,3.836356626,3.033634521,3.430355213,3.706968878,3.54183378,3.572433409,3.977553368
Angola,,,,3.693691,3.824788142,3.78,3.735294,2.879643001,,,
Argentina,3.205464615,3.377944486,3.277727111,2.829162944,2.545560105,2.222948081,2.468684645,2.93333032,3.217938104,3.422663326,3.679949045
Armenia,4.205032124,4.103450968,4.212990222,4.1954346,4.150471645,3.991021377,4.084790195,4.301582372,4.451598819,4.684888198,4.553525448
Australia,5.413758863,5.515481073,5.40777667,5.297562716,5.587574485,5.652924171,4.8072556,4.517205118,4.930708432,4.901103442,4.859028816
Austria,5.882789375,5.868707926,5.584234091,5.520447969,5.063839416,4.883072358,4.804970409,4.520902435,4.540037061,4.839434551,4.926825047
Azerbaijan,3.89312291,4.120484572,3.885857,3.528374792,3.753024067,3.896977526,4.251597236,4.372271494,4.372271494,4.354067198,4.576845169
Bahrain,5.696138773,5.505131662,5.572512961,5.843352804,5.967032002,5.353075393,4.881495366,4.867843525,4.928387108,5.027485614,5.027485847
Bangladesh,4.197871433,4.263496118,4.276034018,4.1076587,4.189857967,4.200380806,4.369274525,4.66753038,4.50865032,4.545175574,4.788729668
Barbados,4.321839775,4.459614016,4.29469824,4.279296221,4.474634339,4.464357668,4.78620618,5.06182123,4.8419,4.62205823,
Belgium,5.547025173,5.609905078,5.753617474,5.871962658,5.614211683,5.390506315,5.039881214,4.671782544,4.521963916,4.970056897,4.690770149
Belize,,,,,3.337744,,,,,,
Benin,4.285660626,4.466988028,4.568559353,4.156340057,4.03047695,3.300017192,3.401774992,3.4431,3.484375,3.199324656,3.562148094
Bhutan,,,,,,,4.034493,4.15103713,4.124037714,3.994805671,4.219714642
Bolivia,3.574672149,3.273340927,3.144643814,3.557655184,3.62831885,3.403594676,3.614506995,3.650028631,3.648148123,3.950235835,
