Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,0.8,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,0.59,,,,,
Argentina,,,,,,,,,,,,,1.3,1.3,,,,
Australia,,,,,,,,,,,,,1.5,1.525,1.55,1.575,1.6,
Austria,,,,,,,,,,,,,,,,,,8.9
Bolivia,,,,,,,,,,2.6,2.4783,2.3567,2.235,2.1133,1.9917,1.87,,
Brazil,,,,,,,,2.1,,,,,,,,,,
Bulgaria,,,,,,,,,,,5.2,5.1,5,4.9,4.8,,,
Canada,,,,,,,,,,,,0.2,0.225,0.25,0.275,0.3,0.325,0.35
Chile,,,,,,,,,,,,,,,1.53,1.365,1.2,
"Hong Kong",,,,,,,,,,,,,,,0.02,0.02,,
Colombia,,,,,,,,,,,0.52,0.522,0.524,0.526,0.528,0.53,,
"Costa Rica",,,,,,,,,,,,,1.15,,,,,
Croatia,,,,,,,,,,,,,,16.2,16.475,16.75,17.025,17.3
Cyprus,,,,,,,,,,,,,,,4.2,,,
"Czech Republic",,,,,,,,,,,,,,,,12.3,18.3,
Ecuador,,,,,,,,,,1.5,,,,,,,,
"El Salvador",,,,,,,,,1.42,1.4625,1.505,1.5475,1.59,1.6325,1.675,1.7175,1.76,
Finland,,,,,,,,,,,,,2.3,2.175,2.05,1.925,1.8,
Germany,,,,,,,,,,,,4.3,4.6667,5.0333,5.4,,,
Greece,0.3,0.3667,0.4333,0.5,0.5667,0.6333,0.7,,,,,,,,,,,
Guatemala,,,,,,,,2.9,,,,,,,,,,
Hungary,,,,,,,,,,13.1,12.0988,11.0975,10.0963,9.095,8.0938,7.0925,6.0913,5.09
Indonesia,,,,,,,,,,,,,,,0.84,0.6233,0.4067,0.19
Israel,,,,,,,,1.9,2.1225,2.345,2.5675,2.79,,,,,,
Italy,,,,,,,,,,,,,,,3.85,13.8,,
Jamaica,,,,0.1,,,,,,,,,,,,,,
Latvia,,,,,,,,,,6.5,6.675,6.85,7.025,7.2,,,,
Lithuania,,,,,,1.2,3.33,5.46,7.59,9.72,11.85,,,,,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,10,,,,,,,
Malta,,,,,,,,,,,0.9,,,,,,,
Mexico,,,,,,,,,,,,6.8,3.55,0.3,,,,
Moldova,,,,,,,,,,,,,,0.5,,,,
Morocco,,,,,,,0.18,,,,,,,,,,,
"Burma (Myanmar)",,,,,0.13,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,10.1,8.18,6.26,4.34,2.42,0.5,
"New Zealand",,,,,,,,,,,1.7,,,,,,,
Norway,,,,,,,,,,,,,,,,,4.5,4.3
Pakistan,,,,2,1.9455,1.8909,1.8364,1.7818,1.7273,1.6727,1.6182,1.5636,1.5091,1.4545,1.4,,,
Panama,,,,,,,,,,,,,,,,,,0.75
Peru,,,,,,,,,2.98,2.5575,2.135,1.7125,1.29,,,,,
Poland,,,,,,,,,,,,,3.3,2.75,2.2,,,
Portugal,,,,,,,,,,12,9.72,7.44,5.16,2.88,0.6,,,
Romania,,,,,,,,,,,,,2.1,1.6333,1.1667,0.7,,
Slovakia,,,,,,,6.1,5.05,4,,,,,,,,,
Spain,,,,,,,,,,,,,,1.2,1.05,0.9,,
Sweden,,,,,,2,2.078,2.156,2.234,2.312,2.39,2.468,2.546,2.624,2.702,2.78,,
Tunisia,,,,,,,,,,,,,,,,0.52,,
Turkey,,,,,,,,,,,,,,5.1,,,,
"England and Wales",,,,,,,,,,,,,,,,,0.5,0.38
Scotland,,,,,,,,,,,,,,,0.8,0.7,0.6,
"United States",,,,,,,,,,,,,,,,,2.6,3.1
Uruguay,,,,,,,,,,,,,,1.3,1.6,1.9,2.2,
Venezuela,,,,,,,,,,,,,,2.13,,,,
