Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,16.80868912,17.0174,17.2261,17.43479919,19.12657928,22.922,26.71748924,33.22000885,13.50133991,15.9511,18.40089035,19.15854073,20.458,21.7574,23.0568,24.3562,25.6556,26.955,28.2544,29.55384064,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02439117,93.2943,94.5643,95.8343,97.1042099,96.88066101,95.4808,94.0810318,92.96962738,94.5824,96.1952,97.80805969,95.13124084,94.08692932,92.8441391,98.04717255,103.6188431,94.52274323,107.8213196,106.3675613,
Algeria,,,41.31351852,43.27793884,45.64691925,51.24160004,57.37762833,60.53860092,63.15657043,63.01573944,62.53686905,66.4061203,67.80970764,70.23879242,74.53536224,87.99771118,72.28838348,74.22572327,75.24156952,78.11456299,77.01406097,76.18299866,79.41789246,79.18219757,78.42812347,79.89817047,83.04563141,83.28188324,82.8146,82.34738159,79.73542786,85.9233017,87.85536957,89.62773895,91.37671661,93.25202942,83.82813263,94.58865356,113.1773682,91.96723938,95.70555878,97.77239227,101.7010422,106.2238312,108.6427383,105.7990189,
Angola,,,,,,,,,,,,45.05036926,39.69403839,38.7786,37.8632,36.9477,36.0323,35.1169,34.2014,33.286,32.3706,31.45512009,32.0864,32.7177,33.3489,33.9802,34.6114,35.2427,35.874,36.5052,37.1365,37.7678,38.399,39.0303,39.6616,40.2928,40.9241,41.5554,42.18664169,41.63848877,42.7725296,49.72512817,,,,,
"Antigua and Barbuda",,,,,,82.93412781,82.25235748,83.1546,84.0568,84.959,85.8612,86.7634,87.6656,88.5678,89.47,90.3722,91.2744,92.1766,93.0788,93.981,94.8832,95.7854,96.68756104,97.0514,97.4153,97.7792,98.143,98.5069,98.8708,99.2346,99.5985,99.9623,100.3262,100.6901,101.0539,101.4178,101.7817,102.1455,102.509407,95.54579926,102.3884277,99.74732208,100.5891,101.4309,102.272728,84.84252167,
Argentina,70.72267151,71.5741272,72.8205,74.0669,75.31321716,78.72013855,78.63903809,79.7524,80.8658,81.9792,83.0927,84.2061,85.3195,86.4329,87.5463,88.6597,89.7731,90.8865,91.9999,93.1133,94.2267,95.3401,96.4535,97.5669,98.68029785,96.1488,93.61728668,92.17890167,100.0850296,98.21705627,98.49373627,98.08421326,102.0276337,99.92209625,98.56243896,96.68479156,99.13020325,101.8495026,105.0619736,104.9862518,104.8092194,104.4178619,103.2247696,100.8773727,101.8076477,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,105.9922409,101.5724,97.1526,92.73274231,92.9309,93.1292,93.3274,93.5256,93.72377777,89.42333984,100.0672607,92.07588959,92.21211243,98.62464142,100.1311035,99.9798,99.8284,99.677,99.5257,99.3743,99.223,99.07164001,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6191177,97.21595001,94.33551025,94.75524139,90.15509033,90.55989838,88.19796753,93.12735748,95.58824158,95.13303375,96.30606842,94.78610229,95.3589,95.9317,96.5044632,101.1103363,,
Austria,,95.11309814,96.99954224,97.19644165,97.3508,97.5051,97.6595,97.8138,97.9682,98.1225,98.2769,98.4312,98.5856,98.7399,98.8943,99.0486,99.203,99.3573,99.5117,99.666,99.8204,99.9747,100.1291,100.2834,100.4378,100.5921,100.7465,100.9008,101.055191,101.0132828,100.7954,100.5776,100.3597488,101.1183472,98.89528656,98.72441864,100.4927216,102.9147797,100.5970078,99.05760193,98.56881714,96.89769745,96.76053619,97.86506653,99.23864746,101.2342606,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,95.79737854,91.2384491,89.76319122,81.62098694,98.98126984,95.16493225,92.17310333,89.51351166,95.1685791,97.58601379,92.69615173,95.59542847,93.43061829,91.6054306,98.13037109,90.73683167,91.77172089,89.51445007,92.80683136,91.99118805,88.08940887,98.12570953,103.2802124,
