Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,41.56082,38.7287,35.8965,33.0644,24.79956,24.7472,24.6949,24.6425,24.5902,24.5378,24.4855,24.43312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,18.04459,16.5134,14.9822,13.451,11.9198,10.38862,10.2828,10.1769,10.07102,8.7361,7.4012,6.06632,6.56252,6.2376,4.77129,2.13564,1.21663,1.33296,1.28747,4.27987,11.15617,6.82146,
Algeria,,,31.29955,29.44665,29.78485,27.06859,28.82859,27.46026,26.07763,25.12923,24.10829,23.35953,20.64507,16.32312,13.24759,6.59056,9.6815,9.21103,11.72773,10.16645,9.80684,9.74941,11.38828,9.87327,11.84952,10.14199,9.61668,8.7886,7.96054,8.54419,5.43627,6.51526,5.48306,6.53776,6.79687,9.08036,7.98875,7.04767,6.0044,4.96103,5.44744,7.23248,3.79021,6.587,6.19955,6.40149,5.15005,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.34941,28.76888,29.7519,30.73491,
Angola,,,,,,,,,,,,75.66208,74.5252,73.3883,72.2514,71.1145,69.9775,68.8406,67.7037,66.5668,65.42992,65.8177,66.2054,66.5932,66.981,67.3687,67.7565,68.1442,68.532,68.9198,69.3075,69.6953,70.083,70.4708,70.8585,71.2463,71.6341,72.0218,72.40958,68.12715,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74923,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67793,,,,,,,,,,
Argentina,36.3795,34.9753,33.571,32.16682,37.85671,34.29469,34.3836,34.4725,34.5614,34.6503,34.7392,34.8282,34.9171,35.006,35.0949,35.1838,35.2727,35.3616,35.4505,35.5395,35.6284,35.7173,35.8062,35.8951,35.984,36.0729,36.16183,24.1585,12.15524,5.00705,9.21361,10.16535,19.2179,4.91173,13.19316,5.50086,5.16083,2.59491,6.22962,4.71555,6.87359,3.72221,5.43207,4.00689,4.71017,2.52399,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23876,3.70578,1.31884,1.49231,2.2945,2.5348,2.775,3.01526,4.01623,5.76102,7.7773,9.7935,0.71766,5.29163,6.41646,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39336,4.13138,5.95132,6.13673,5.7259,6.34032,5.59706,6.61414,13.51297,8.58668,6.88112,6.1757,5.4703,4.7648,4.0594,,,,
