Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,41.22332001,39.10538864,40.38314056,38.3216095,37.21537018,37.30693054,35.75746918,35.8073,35.8572,35.907,35.9569,36.0067,36.0566,36.1065,36.1563,36.2062,36.256,36.3059,36.3557,36.40557861,41.20964813,43.6969,46.1842,48.67153168,57.91294098,51.4605,45.008,38.5556,32.10314941,33.18571091,34.4915,35.7972,37.103,38.4087,39.7145,41.0203,42.32601929,42.77030182,43.72982025,42.83639145,44.41709137,43.51914978,44.6774292,45.71171188,45.0202,44.32876968,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75761032,22.6944,22.6311,22.56784058,21.7524395,21.6239,21.49541092,21.0779,20.6604,20.2428,19.8253,19.40780067,20.17793083,19.70207977,19.86916924,19.48298073,19.12103081,18.9229393,18.61557007,
Algeria,,40.00059128,40.4915,40.9824,41.4733,41.96421814,40.945961,39.50841141,37.58110809,36.76105881,35.80453873,35.24855042,33.74068069,32.32614136,30.56192017,29.63072968,27.84272957,27.28203964,27.17892075,27.95505905,27.78717041,27.69467926,28.1692009,27.41847038,27.36828041,27.27589035,27.32221985,27.34590912,27.7683,28.19075966,28.39620018,27.84251976,27.59291077,27.5329895,26.51107025,25.43721008,24.48384094,23.93164063,23.23052025,22.9998703,23.32802963,23.26902962,23.15942001,23.26104927,23.66406059,23.83613014,
Andorra,,,,,,15.38731956,14.6797,13.9722,13.2646,12.557,11.8495,11.1419,10.4343,9.726759911,9.8821,10.0375,10.1929,10.3483,10.5037,10.659,10.8144,10.9698,11.1252,11.2806,11.436,11.5913,11.7467,11.9021,12.0575,12.2129,12.3682,12.5236,12.67901039,12.07579994,12.65281963,11.47472,10.48910046,10.2476902,10.02678967,10.33255959,9.640179634,9.845270157,9.582369804,9.330280304,9.519909859,9.937950134,
Angola,,44.38687897,42.84183884,40.89138031,32.32685089,32.2173,32.1077,31.9981,31.8885,31.779,31.6694,31.5598,31.45022011,36.82133102,31.77186966,29.81775093,31.27300072,33.39831924,32.57672882,33.42115021,32.6489,31.87672997,27.18103027,29.6097,32.0384,34.4671,36.8958,39.3245,41.75323868,41.6709,41.5886,41.5063,41.424,41.3417,41.2593,41.177,41.0947,41.01240158,42.5371,44.0618,45.5865097,42.5430603,,,,,
"Antigua and Barbuda",,,25.11017036,25.3005,25.49090958,23.78042984,21.64122009,26.04295921,24.53865051,24.50513077,24.2306,23.9562,23.6817,23.4072,23.1327,22.8582,22.5838,22.3093,22.0348,21.7603,21.4858,21.2113,20.9369,20.6624,20.3879,20.1134,19.8389,19.5645,19.29,19.0155,18.74101067,19.1357,19.5304,19.925,20.3197,20.7144,21.109,21.50371933,17.12888908,16.2244606,15.0656004,14.51202965,13.84502983,14.0458,14.24650002,14.33428001,
Argentina,19.24521065,19.00164986,18.77662086,18.96393013,19.10150909,18.22059059,18.0705204,18.45776939,18.487,18.51625061,20.23057938,20.23262024,20.32280922,20.2989,20.27508926,19.97818947,20.00797081,19.45186043,19.25795937,18.9704,18.6829,18.3953,18.1078,17.8203,17.53273964,17.1331,16.73336983,16.66847038,19.92696953,21.77840996,20.05203056,18.02998924,17.59600067,17.7741,17.95223045,17.4437294,17.18490028,16.36027908,17.22969055,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,17.6707592,18.6516,19.6324,20.61326027,19.8097,19.0060997,15.96615028,15.99950027,16.07076073,18.2074,20.34410095,20.34332085,18.83720016,20.26240921,21.19732094,21.24160957,19.30760002,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23044014,19.05966949,18.94779015,19.06977081,18.43017006,18.45108986,18.07760048,18.16433907,17.41750908,17.29187965,17.0859108,16.82253075,15.08609009,14.78868961,,,,
Australia,,25.11652946,24.20741081,23.59209061,21.64595985,20.82811928,20.04911041,19.46907043,19.33709908,18.87360001,18.7984,18.72319031,17.6846,16.6459,15.6072998,16.1855,16.76362991,16.59771919,16.63184929,16.75532913,16.6735,16.59161949,16.56896019,16.58238983,17.3657,18.14896965,18.0720005,17.88298988,17.8757,17.87578011,,,,,,,,,,,,,,,,,
Austria,,21.43598938,21.53882027,21.26926041,20.63154984,20.27133942,19.02794075,17.7081,16.3882103,17.08713913,15.96325016,14.54666996,13.96850967,13.2592001,12.6862402,12.16606998,10.48048973,10.3629303,10.52307034,10.73233032,10.85945034,10.81472969,10.84969044,11.42039013,11.90392971,11.68605995,12.4537096,12.22126961,12.14873028,13.45715046,13.3941,13.3311,13.26801014,13.18159962,13.13389015,12.40884018,12.23291969,11.86203003,11.62932014,11.36314011,11.02830982,10.89398003,10.82489014,10.70429993,10.71765995,10.58415031,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,19.78412056,19.81668091,19.57589912,18.85770035,18.98288918,20.16770935,20.00307083,19.28070068,18.77910995,18.68573952,17.12014961,16.18519974,15.26138973,14.27143955,13.4483099,12.49600029,11.6155901,11.29601002,11.0834198,11.04222012,11.16444969,11.92302036,12.14857006,12.62333012,13.49787045,
Bahamas,,45.4625206,42.84154129,37.4706,32.0997,26.72872925,24.5030899,22.53211021,23.7357,24.9393,26.14286041,26.05393028,28.39878082,21.00579071,19.53355026,21.08519936,18.5897007,18.9022,19.2147,19.5272,19.8398,20.1523,20.4648,20.7773,21.08982086,22.34007072,20.265,18.19,16.1149,14.03989983,14.9707,15.9016,16.83242989,16.8046,16.77673912,16.0802,15.38372993,15.33967018,15.78783035,12.99477959,14.14529991,,,,,,
Bahrain,,,,21.33157921,24.16193008,22.94623947,21.94569016,22.73332977,20.72751999,20.39446068,19.6337204,18.80131912,19.38575935,18.35416985,18.41065025,19.18948936,20.0735302,20.12663078,20.99238014,21.92193031,20.92186928,21.5384903,21.61879921,20.80253983,20.82486916,20.45503044,19.9338,19.4126,18.8914,18.3702,17.8491,17.3279,16.8067,16.2855,15.7643,15.2431,14.7219,14.2007,13.6795,13.1583,12.6371,12.11590004,11.7683897,11.85093975,11.66884041,11.73163986,
Bangladesh,46.48234177,42.9759407,47.00790024,50.0437088,51.55862045,50.69200134,50.29924011,47.18294144,44.15567017,43.92033005,53.55662918,55.27225113,53.3381,51.4040184,46.95204163,46.973629,47.83636093,48.0750618,57.86589813,60.39131165,63.00498962,61.9406,60.8762,59.8119,58.7475,57.6831,56.6188,55.5544,54.49,53.4257,52.3613,51.2969,50.2325,49.1682,48.1038,47.03942871,47.53900909,44.75494003,43.72919083,45.75843811,42.97475815,40.21147919,39.1904,38.1692,37.1481,36.12701035,
Barbados,,,,,,,,,27.97392082,27.38779068,25.6241,23.8605,22.0968,20.33311081,23.46772957,21.22518921,20.5155,19.8059,19.0962,18.38657951,17.8002491,17.4842,17.1680603,17.2543,17.3406,17.4269,17.5132,17.5995,17.6858,17.77203941,17.56999016,17.03586006,15.90347004,15.80410957,15.76766014,15.14568043,14.8439,14.54218006,13.45641994,14.14249992,13.00745964,13.08662987,14.8877,16.6888,18.48995972,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,20.4653492,20.09810066,19.58642006,19.76086998,19.5971,19.4334,19.26959038,19.53285027,18.20680046,17.43862915,16.66111946,15.93861961,15.44266033,16.03553009,16.02404976,15.96700954,15.3271904,15.14091015,14.96615982,14.96366978,14.90909004,15.36215973,16.47603035,17.57007027,
Belgium,,19.76148987,19.5922,19.4229,19.25363922,19.3126,19.37154007,19.22805023,19.41801071,19.00156021,19.49122047,18.13735008,18.19319916,18.3726,18.55194092,16.82337952,16.52609062,15.93,15.3338,14.7377,14.1416,13.5455,12.9493,12.35321999,12.1304903,12.1059,12.0813,12.0567,12.032,12.0074,11.98281002,12.13166046,11.94293022,11.87882996,11.57306957,11.49040031,11.28316975,11.20271015,11.1789999,11.14093971,11.03429031,11.18924046,11.2028904,11.14291954,11.23946953,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,23.3149395,22.81694031,21.7838,20.75065994,23.23185921,23.62340927,22.93852997,22.88272095,22.61591911,22.63612938,22.24334908,21.89920998,21.56274986,22.57320976,22.39466095,20.43642044,
Benin,,41.36824036,44.25986099,47.28752136,45.79663086,51.83346939,53.42927933,48.33615875,46.41921997,56.04299164,54.58195114,47.52639008,38.94586182,37.76214981,35.2865181,33.47893906,33.01836014,33.32516098,33.43122101,34.90710068,30.54640961,36.15586853,39.84577942,45.49681091,48.34246063,49.89694977,51.99517822,49.97689056,52.56747055,53.39559174,52.64957809,53.52288055,52.96324921,62.17050171,51.58300018,46.82889938,43.62337875,44.0882,44.55300903,44.86809158,46.39179993,44.20066833,44.14979172,43.72853851,45.92348862,45.04478073,
Bermuda,,23.41934967,21.34985924,20.89830971,20.76589966,21.28923035,19.4869,17.6844902,20.26959038,22.75190926,22.84733009,19.01922989,18.03988075,17.85713959,17.5,17.46925926,17.01,16.5508,16.0915,15.6323,15.1731,14.7138,14.2546,13.7954,13.3361,12.87689018,12.5922,12.3075304,11.5436,10.7797,10.0158,9.251870155,8.959850311,8.903280258,8.589289665,8.336250305,8.250439644,8.0271,7.8037,7.5803,7.356910229,8.944439888,9.82750988,7.193719864,6.721310139,10.41959953,
Bhutan,20.7316494,20.22559929,22.13888931,22.9746,23.81040955,23.9896,24.1688,24.34799004,24.07247925,25.24860954,28.7067,32.1648,35.62285995,35.45159149,38.5335083,37.9969,37.46025848,37.15879822,36.57633972,33.9269,31.2774,28.62796021,29.5837,30.53953934,33.0158,35.49206924,36.7542,38.0163,39.27845001,41.70401001,41.14699936,39.48254013,37.3748,35.267,33.1593,31.05150986,29.18213081,29.5305,29.87891006,27.70220947,25.89606094,25.37845039,23.98590088,28.67592049,26.65626907,32.347,38.03778076
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72372055,23.9872,23.2506,22.514,21.7775,21.0409,20.3043,19.5678,18.8312,18.0946,17.3581,16.6215,15.88492966,15.58668995,17.69617081,17.94440079,18.10836983,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.09921074,16.82053947,17.16400909,
