Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0.65,0.65,3.46,80.41,80.54,86.06,97.18,354.46,411.02,384.25,366.34,323.33,321.59,305.07,290.24,248.84,215.81,182.98,126.05,83.99
Albania,158.78,180.91,197.7,191.66,181.27,196.69,193.03,217.45,221.67,208.06,189.57,173.58,175.75,151.69,144.95,112.91,102.09,87.81,63.33,47.15
Algeria,50.15,38.11,47.65,55.65,52.68,48.61,47.13,48.76,44.69,52.86,46.7,44.1,44.6,41.75,53.33,46.74,42.75,42.19,41.26,31.41
Andorra,77.57,99.44,99.03,111.39,101.24,111.77,101.53,107.28,109.39,103.02,99.25,93.04,91.25,84.09,84.71,68.96,63.18,56.03,40.52,28.57
Angola,62.37,54.19,76.54,108.32,77.6,59.44,106.91,89.07,95.68,91.1,77.1,58.41,46.35,43.37,61.64,46.91,42.99,37.08,26.52,18.91
"Antigua and Barbuda",75.59,76.75,74.76,75.65,65.84,72.33,82.81,82.65,88.98,85.41,81.83,71.84,66.43,62.19,63.38,61.51,57.81,48.3,38.21,28.11
Argentina,168.11,168.99,188.78,207.98,211.38,215.28,232.98,216.71,223.82,212.87,200.98,176.33,149.83,125.48,127.39,98.91,81,66.34,50.14,34.13
Armenia,228.14,202.43,215.78,220.93,213.48,265.22,251.1,227.69,231.53,223.26,176.76,125.79,105.04,90.3,112.65,97.65,64.34,78.21,57.46,40.87
Australia,125.88,127.65,125.3,134.86,124,139.58,150.16,154.19,157.39,153.62,144.81,137.07,128.4,122.24,122.73,106.32,98.02,91.62,68.19,49.69
Austria,122.03,121.54,120.81,127.56,127.75,126.55,135.6,139.82,146.45,142.31,134.14,121.88,116.45,108.91,114.52,102.05,91.62,82.5,60.33,39.69
Azerbaijan,218.88,212.43,193.74,216.9,207.92,187.05,189.28,199.39,290.07,333.54,332.46,247.58,188.15,155.25,198,155.69,134.31,124.77,96.72,76.89
Bahamas,188.55,189.71,156.93,164.89,146.33,150.04,155.38,160.89,171.87,172.19,170.23,179.18,180.79,174.44,173.58,147.88,138.57,122.65,87.89,67.07
Bahrain,59.04,59.17,60.81,76.41,68.76,62.61,71.22,75.29,73.47,66.7,58.68,51.61,47.31,44.79,53.01,42.8,36.81,42.35,35.45,29.28
Bangladesh,107.84,101.68,74.96,84.17,81.23,87.79,95.64,101.61,103.12,99.69,101.7,98.62,98.28,93.47,94.97,81.18,76.72,66.88,47.64,32.52
Barbados,90.72,87.35,95.69,101.37,97.29,103.22,108.43,115.09,124,123.97,116.67,108.38,104.16,97.12,101.77,83.92,85.76,74.56,58.55,43.59
