Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,,,,,,,,,,,,,,,,,,,,,,,69.6,,
"South Africa",,,,,,,,,,,,,,,,,,,,84.8,83.2,86.5,85.1,85.0,88.2
Austria,,,,,46.4,44.9,48.7,48.8,51.0,54.4,56.3,57.9,56.7,59.7,57.6,58.4,61.6,59.3,61.6,64.1,61.6,65.9,64.7,62.7,66.4
Belgium,87.0,89.5,89.3,88.8,91.2,90.3,90.6,90.6,89.6,93.9,92.8,90.7,93.4,90.8,89.7,88.6,89.2,88.6,88.2,89.4,88.4,89.0,88.2,90.1,88.5
Canada,83.6,84.3,84.6,84.0,84.6,84.2,84.8,85.9,86.3,87.7,87.7,88.1,87.8,87.6,87.1,87.0,87.1,87.5,88.4,88.5,89.1,89.0,89.3,89.7,90.1
Chile,,76.5,76.9,77.3,76.25,75.2,77.2,79.2,78.7,78.2,77.8,77.4,77.0,76.6,76.2,75.8,77.6333,79.4667,81.3,82.7,84.1,84.75,85.4,85.9,85.7
"Czech Republic",,,,,,,81.4,81.6,85.6,85.2,83.9,85.0,85.3,85.5,87.4,87.0,87.1,87.9,88.6,89.8,88.2,90.3,90.5,90.6,91.2
Denmark,80.9,81.7,83.2,81.1,87.3,83.9,88.4,85.4,84.6,80.6,81.4,84.7,83.9,87.2,88.7,88.2,85.8,74.5,84.7,85.6,86.2,83.1,78.5,87.3,86.2
Estonia,,,,,,,60.0,69.4,72.5,73.9,78.4,70.8,74.2,62.9,75.4,77.5,71.5,56.1,65.1,67.9,60.3,63.2,56.6,56.4,59.7
Finland,,,,,54.3,52.0,54.6,56.6,58.7,62.3,62.9,63.1,63.4,69.8,68.8,69.2,72.0,65.8,68.1,69.6,69.2,70.0,74.5,74.3,76.9
France,66.2,67.2,67.2,68.8,70.9,72.6,73.2,73.5,74.1,74.4,74.5,73.5,71.7,74.1,75.1,75.3,78.2,78.9,77.0,80.7,80.6,81.1,80.1,82.0,83.6
Germany,83.2,83.4,82.2,83.6,85.6,85.3,84.7,85.7,87.6,87.9,87.8,87.7,88.2,88.5,89.0,89.4,89.3,90.9,91.8,91.5,92.2,92.1,91.5,91.8,91.8
Greece,52.9,53.9,56.1,57.7,58.8,59.4,57.7,60.3,56.0,55.8,56.4,57.5,57.1,60.5,60.8,60.5,62.3,62.7,62.2,61.0,61.1,60.3,58.2,58.4,58.7
Hungary,,,,,,64.0,67.6,68.8,72.4,74.6,75.0,75.3,82.1,82.4,82.5,80.6,82.5,81.3,80.3,81.4,81.4,78.5,80.0,77.6,80.1
Iceland,,,,,66.1,69.4,65.2,53.4,58.9,69.7,68.7,69.8,69.4,76.7,69.2,72.7,76.8,54.5,49.0,58.1,65.6,61.9,50.0,50.0,56.7
Ireland,75.9,75.2,76.4,75.5,75.1,76.7,78.3,79.2,78.3,81.4,82.5,81.1,80.3,83.0,84.9,83.7,83.6,73.1,76.4,78.2,81.3,82.6,80.2,75.7,72.6
Israel,,,,,83.5,86.9,87.7,86.9,86.0,87.9,88.5,88.0,89.3,90.3,90.6,88.3,90.6,90.6,91.3,89.5,91.5,93.7,,,
Italy,69.8,69.7,70.2,72.4,73.3,73.9,74.8,75.6,77.8,77.9,77.1,79.9,78.7,83.9,83.7,84.4,84.4,84.9,85.2,85.8,86.6,87.8,87.8,87.2,87.5
Japan,,,,,,,,,,,,,,,,,,,,,80.6,80.0,80.6,78.3,78.7
Luxembourg,81.6,75.0,79.5,75.0,76.9,88.6,90.0,80.0,83.0,86.0,91.2,86.7,75.5,77.8,86.5,84.0,82.4,57.1,63.5,35.2,50.0,61.6,62.7,57.1,52.3
Mexico,,,,,,,,,,,,,,,78.1,79.0,79.9,80.7,80.7,81.6,83.7,83.4,83.3,83.5,82.5
Netherlands,85.1,72.7,76.6,77.6,75.4,68.2,67.5,65.8,68.4,69.9,69.8,65.3,71.1,70.5,66.9,70.1,78.2,76.4,72.2,69.8,71.5,72.3,82.0,84.9,83.7
"New Zealand",,,,,,,,,,,,,,,,,,,,80.9,83.5,84.1,83.1,83.7,82.2
Norway,,,,,67.7,68.3,69.8,70.2,67.0,66.1,71.9,69.9,70.9,73.7,78.1,81.5,81.1,78.1,79.5,79.5,83.6,83.6,86.3,84.0,84.4
Poland,,,,,,,,,,35.0,31.7,33.7,37.9,38.6,36.9,39.0,41.5,42.6,45.0,48.0,49.3,49.3,51.2,52.3,50.6
Portugal,36.9,47.1,48.9,51.0,52.7,50.9,46.9,46.9,49.3,51.4,51.5,52.4,50.7,51.1,52.8,53.1,54.5,50.5,52.7,52.2,54.3,55.5,58.5,60.7,63.9
Slovakia,,,,,,,,86.2,83.0,86.0,83.3,86.3,87.3,84.0,87.3,89.8,90.0,82.0,87.9,85.7,87.2,88.8,86.3,88.5,86.9
Slovenia,,,,,,51.9,51.0,48.6,56.1,53.8,53.4,49.6,59.6,56.7,60.2,63.9,54.1,55.8,54.4,62.5,65.7,59.1,67.5,68.9,70.4
Spain,69.3,69.8,71.5,71.4,72.7,74.2,75.5,76.8,76.4,75.6,76.7,77.5,77.5,78.1,79.1,79.3,80.5,82.6,84.0,84.4,84.8,84.1,86.2,86.6,86.5
Sweden,,,,,78.0,76.2,73.7,73.2,78.1,84.1,82.8,82.0,81.9,83.1,84.1,83.6,84.7,81.7,83.9,86.2,87.3,86.6,84.4,85.1,86.2
Switzerland,,,,,,65.1,65.6,66.7,59.8,64.2,72.4,72.6,74.1,74.4,78.1,79.2,79.9,43.2,60.6,63.5,62.8,65.0,68.6,69.0,72.9
Turkey,,,,,,,,,,,,,,,,25.7,25.2,34,42.8,43.0,42.4,43.6,40.7,44.0,46.1
"United Kingdom",80.8,81.1,82.3,82.5,84.1,84.0,85.3,85.7,87.6,87.5,88.0,89.0,88.9,89.2,88.7,88.1,88.5,88.9,90.3,90.8,91.3,90.4,91.0,90.7,91.2
"United States",87.3,88.0,86.8,81.7,81.7,82.8,82.5,84.2,84.6,83.8,84.4,84.6,86.8,86.8,87.8,87.3,85.7,86.0,87.4,87.6,87.4,88.2,88.8,88.9,88.0
