Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,16.06678661,14.98848889,13.17553304,13.49985786,15.63347895,15.91868954,14.94279682,14.24310299,13.44284501,12.88485571,11.79384121,10.76608529,9.546584668,10.16058739,10.20312017,9.171583661,8.630969088,7.821065925,6.828255188,6.17957718,5.863801654,5.360722921,4.96188005,4.833447219,4.67672611,4.469301787,4.292450082,4.169083152
Albania,0.994442859,1.119861003,1.155187502,1.202680328,1.206171587,1.249685494,1.259096335,1.217245421,1.005387827,0.90393444,0.771427103,0.514604499,0.401260179,0.31022995,0.241294355,0.210691036,0.183119218,0.158058758,0.154551928,0.137001665,0.130762047,0.129079835,0.126075186,0.123716192,0.122313223,0.120590049,0.118560765,0.117767321
Algeria,0.997844972,0.970363314,0.951548309,0.943348278,0.957178038,0.979011927,0.943645784,0.930718867,0.904447581,0.884886836,0.841996413,0.699457919,0.586544559,0.505972516,0.453031608,0.406967687,0.371217477,0.342610591,0.313532282,0.287189538,0.268369458,0.253745386,0.240588856,0.237249638,0.233388426,0.224046028,0.211216401,0.19898593
"American Samoa",3.575518499,3.534088647,3.483119808,3.438983016,3.393357305,3.346109213,3.324409751,3.300830219,3.230828562,3.158832467,3.220493792,3.155839071,2.964214883,2.845285081,2.722596072,2.567523842,2.346268422,2.116131217,2.085751702,2.076833016,2.11764208,2.22153395,2.336795107,2.513989966,2.626479488,2.63136018,2.62446526,2.639914988
Andorra,0.065148082,0.065637707,0.068195262,0.070996056,0.076858698,0.080671153,0.084289489,0.08765479,0.090626446,0.095556363,0.101957241,0.107159231,0.113044811,0.112851512,0.114250676,0.115963681,0.117786799,0.122294499,0.127265653,0.135027372,0.139703672,0.144773224,0.150734528,0.155982651,0.159833446,0.163121287,0.16605176,0.16943578
Angola,137.2000774,136.165248,133.9935215,132.845131,131.6554415,129.6470668,119.1974267,109.7141777,102.3533867,94.82315603,87.87493846,81.9180982,75.38146934,69.15024742,68.27161075,62.43812663,56.38713367,50.83844114,45.17692348,39.07226264,35.02377566,30.56183188,27.10469852,23.81509221,21.04252606,19.15278621,17.16454465,15.71588761
"Antigua and Barbuda",4.659413427,4.594708058,4.477643399,4.261322817,4.140345124,3.92705333,3.776912433,3.53543747,3.266832309,3.091871515,3.024382408,2.893349984,2.799764488,2.693981096,2.621168943,2.490569619,2.345021083,2.285897471,2.256168756,2.206629045,2.242281366,2.243068591,2.19226781,2.242859293,2.505066885,2.555930493,2.506259004,2.509783325
Argentina,3.116295964,2.977420173,2.838340119,2.696090902,2.603196852,2.70918741,2.878415649,3.2040378,3.516870987,3.678819517,3.661284993,3.738911036,3.958439576,3.893459278,3.528544531,3.194366055,3.008288865,2.97370424,2.740982871,2.627114514,2.525935643,2.422191743,2.3238997,2.259151631,2.178419726,2.181830263,2.222953594,2.222043187
Armenia,0.722380599,0.728878921,0.779486605,0.774891481,0.704256095,0.698425795,0.651017011,0.59443807,0.582647209,0.551200299,0.511059656,0.469951347,0.401406586,0.323875936,0.209521102,0.142999481,0.091967357,0.080810909,0.065034291,0.057561355,0.055690743,0.049591831,0.043866654,0.033565095,0.038709429,0.041167476,0.040718843,0.041903291
Australia,0.179770551,0.180422622,0.190188497,0.202166087,0.216715327,0.223081959,0.234507685,0.240763611,0.253247392,0.258625721,0.266184789,0.268479652,0.28181702,0.284358527,0.296034481,0.294408385,0.302989472,0.315361592,0.322271086,0.329958599,0.342264659,0.348885604,0.35289762,0.353625145,0.377997807,0.389531429,0.391594918,0.397632457
Austria,0.012848439,0.012422784,0.012364334,0.012088514,0.012093793,0.012083415,0.011591326,0.01146173,0.011396771,0.01153276,0.011934724,0.012364783,0.013195123,0.014085361,0.014523124,0.015518893,0.015832152,0.016182752,0.016031906,0.016096289,0.016548136,0.016657235,0.016381197,0.016243149,0.016650381,0.016659905,0.016980667,0.01713392
Azerbaijan,1.68409657,1.581022529,1.502722179,1.386007082,1.303971086,1.164819116,1.046214444,0.946595341,0.84446706,0.735908317,0.630078316,0.548347633,0.519196333,0.499212987,0.478871707,0.462286053,0.435619986,0.39839061,0.384313741,0.371907556,0.361756966,0.348486334,0.334882022,0.321545175,0.309333627,0.30108138,0.288158277,0.27910886
Bahamas,1.772591923,1.666450075,1.636001065,1.600167212,1.597275995,1.493261934,1.475276445,1.322856714,1.230706274,1.167402875,1.124631873,1.050343929,1.014493267,0.971167477,0.93561899,0.877806376,0.834707253,0.791194891,0.780766785,0.751655871,0.733810982,0.720331081,0.696253556,0.702782446,0.744605595,0.766922191,0.779083085,0.795345391
Bahrain,0.536975872,0.568874641,0.592140655,0.601305707,0.603779453,0.613091616,0.608089713,0.614269386,0.614627714,0.559078371,0.49670527,0.468882062,0.444779795,0.434001205,0.401544283,0.354777746,0.31668525,0.285768887,0.266603257,0.242067694,0.230167908,0.217084636,0.192343744,0.170444157,0.155788353,0.164609282,0.170676071,0.178225451
Bangladesh,45.84221001,41.35905963,37.75877613,33.89827763,32.50374722,29.99202267,26.46085184,23.8336595,21.69749746,20.00396936,18.3875363,17.22112104,15.76275469,14.10413864,12.57900127,10.63660974,9.350620283,8.614734072,7.783212422,6.949077084,6.201726211,5.256419666,4.46670237,3.846538729,3.348248256,2.986556201,2.727135428,2.530594375
Barbados,3.365653999,3.43443592,3.36990997,3.195324546,3.16944362,2.949457294,2.830822923,2.725478584,2.549685451,2.38254396,2.255783632,2.08704663,2.056840671,1.984216791,1.924942589,1.833654296,1.686342054,1.599521279,1.544959641,1.456904518,1.425948322,1.390963912,1.352753885,1.364597199,1.432517135,1.479104257,1.518374279,1.560296093
Belarus,0.297256473,0.288135007,0.2760296,0.278343998,0.263213026,0.265521748,0.254151478,0.249677741,0.242616541,0.246191527,0.230937963,0.223546052,0.195864692,0.176661995,0.167661039,0.159981047,0.150284532,0.144628642,0.120694632,0.122225009,0.139291953,0.145496762,0.145486953,0.159010455,0.159363288,0.146453935,0.143469179,0.141852745
Belgium,0.228430948,0.261204961,0.358557037,0.411356633,0.469892586,0.510257206,0.524932609,0.596576717,0.621365633,0.732203928,0.888311234,0.989662602,1.085471262,1.177089374,1.197451371,1.253925718,1.284563342,1.363194237,1.434820424,1.500035844,1.562165363,1.651637204,1.736945381,1.794673489,1.788950538,1.88233076,1.831224966,1.832620914
Belize,8.946712246,8.290043857,7.601923033,6.973212605,6.448015746,5.774845851,5.623652889,5.367264979,5.01014987,4.737505856,4.515844376,4.219256118,3.975276562,3.788652255,3.567273688,3.313843004,3.058418155,2.917020683,2.796417257,2.672833491,2.578162673,2.483955147,2.360620884,2.37873767,2.563373997,2.609502876,2.548433846,2.52683248
Benin,54.61157472,51.69164789,48.89220692,46.10595274,43.70625946,41.32154354,38.07111378,35.20965403,32.6311605,30.29476332,28.33005995,26.79643991,26.3758497,24.71704258,23.46819866,21.58227294,20.24377284,19.09078654,18.11959343,17.58816948,17.24217912,16.99920969,17.04534032,16.20040483,14.78767335,13.82058559,12.42311077,11.4067846
