Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,1.673958621,1.751600018,1.96595078,2.681253051,3.048897681,2.864204665,2.632551375,2.35740095,2.335062566
Algeria,2.679776119,2.905,2.619175056,2.528074746,2.444060812,1.987171235,1.794963792,2.283902685,2.786525803
Angola,,,,,2.97065,2.409395934,2.2476,2.085714,1.823266272
Argentina,1.472385468,1.459415183,1.45459001,1.451445039,1.503113615,1.607135895,1.522151946,1.493217175,1.551059206
Armenia,1.73550214,1.819674282,1.981883158,2.172672072,2.3199425,2.436408334,2.784567807,3.022714631,2.916627564
Australia,4.442302061,4.682600961,5.054101018,4.917816967,4.645623289,4.504062,4.031301143,3.757218944,4.124879356
Austria,4.128542344,4.667858186,4.773694611,4.2057112,4.034290817,3.718578362,2.982407763,3.320985685,3.71362698
Azerbaijan,2.461335089,2.629592883,3.367488541,3.6832762,3.465907188,3.358663467,3.296463441,3.400207081,3.447478465
Bahrain,2.705751906,3.247718004,3.781458563,3.906829718,4.067732361,4.422911448,4.220261,3.843222528,3.956912153
Bangladesh,1.422878724,1.395702176,1.474928508,1.793468946,1.97394425,1.954425756,1.944428974,1.935031311,1.814118941
Barbados,4.175438596,4.398245614,4.726400102,4.686850465,4.595447654,4.653024662,4.443213868,4.186961005,3.894315276
Belgium,3.274587883,3.631122113,3.899402421,3.473844194,3.374776844,3.478901989,3.514014665,3.935922515,4.230990156
Belize,,,,,,1.795604,,,
Benin,1.624571647,2.266212284,2.723322977,2.627319684,2.516797388,2.444594332,2.280496323,2.285832795,
Bhutan,,,,,,,,4.16865,4.126648174
Bolivia,1.346575429,1.52925422,1.526458742,1.597040683,2.0407628,2.694939008,2.981082789,3.170319901,3.341491721
"Bosnia and Herzegovina",1.731757883,1.633305101,1.526268903,1.559745829,2.140951351,2.567502,2.5967741,2.620724,
Botswana,3.722524781,3.77490331,4.394288641,4.647608503,4.375496725,4.328560424,4.256168267,3.87113686,3.59308934
Brazil,1.554193062,1.430301944,1.558332139,1.575859091,1.766059745,2.072901412,2.026146776,1.868541277,1.713577958
Brunei,,,4.3567,4.413123507,4.629284,4.754638139,4.855001926,4.937410656,
Bulgaria,1.748297626,1.839335976,1.897969263,1.887821247,2.118141187,2.290101764,2.500952278,2.37585797,1.897786434
"Burkina Faso",2.29787234,2.260720826,2.436075269,2.52217946,2.35790255,2.112065277,2.222982995,2.388514729,2.554127813
Burundi,1.810126582,1.97253976,1.948474153,1.803243493,1.856306937,1.738442148,1.739823424,2.287158366,2.339885918
"Ivory Coast",,,1.470528,1.526950157,1.590103196,1.748782365,2.217055386,2.616859042,3.17536912
Cambodia,2.130673759,2.557153269,2.695978188,3.01763797,3.340503685,3.568082503,3.679181942,3.118764147,2.558479415
Cameroon,1.650311709,1.715613932,2.003308362,2.118168964,2.137565375,2.22311888,2.138894679,2.094791945,2.648366947
Canada,3.290792284,3.690338111,4.320149973,4.249386418,4.246608811,4.351221344,4.377036846,4.545482869,4.827551543
"Cape Verde",,,,,4.212211,4.301409853,4.007042099,3.631286396,3.583958001
Chad,1.691237876,1.694080689,1.831620464,1.89934366,1.927264397,2.113583946,2.190552997,2.169926948,2.3746615
Chile,3.734359665,3.6568858,3.426912475,3.353680454,3.791825748,4.101510068,3.997724571,3.781148163,3.721933685
China,3.041104705,3.136175475,3.596955237,4.049999299,4.256080498,4.214473574,4.067925966,4.058523786,4.07004344
Colombia,1.967483826,2.102489265,2.318301426,2.187490194,2.161898562,2.421774998,2.250737868,2.036981786,1.988523783
"Costa Rica",1.984821762,2.569664623,3.458255682,3.816722968,3.6299808,3.203746545,2.89420387,2.804468333,3.00641909
Croatia,2.306746524,2.51229783,2.355379921,2.173047856,2.174667146,2.0830405,2.085995637,2.182236964,1.988890342
Cyprus,3.089879249,3.529307029,4.192237764,4.356819738,4.18390281,3.953837026,3.489545607,3.252086825,3.183173426
"Czech Republic",2.049383541,1.906606885,1.833284338,1.8312682,1.891061105,1.730731818,1.580856797,1.543140143,1.73041625
Denmark,6.007756716,5.994584694,6.207581448,6.107445036,5.418381808,5.403062747,4.68666907,4.516287447,4.704062483
"Dominican Republic",1.430841226,1.600878823,1.558510289,1.6831114,1.766311059,1.689600384,1.634223131,1.664829557,1.955494851
Ecuador,1.262331691,1.38412598,1.463090989,1.646967216,1.796940198,2.328080231,2.612911,3.148211995,
Egypt,2.683673469,2.842396667,3.141859184,3.521728566,3.63041605,2.986509848,2.789156299,2.764078228,2.497825302
"El Salvador",2.454347283,2.330698154,2.078959982,2.190517531,2.15145161,1.865374214,1.734551389,2.323000764,3.024738946
Estonia,3.024126419,3.185624856,3.333411719,3.227540636,3.280164905,3.868494517,3.888808727,3.499237239,3.60560031
Ethiopia,2.236056617,2.596679717,2.729325709,2.857269551,3.164458989,3.263033898,3.214646688,3.076190684,2.913776341
Finland,5.552659455,5.705466933,5.862553419,5.503070362,5.081949315,4.950520287,5.12785037,5.499411547,5.687719229
