Country,2009,2010,2011,2012,2013,2014,2015,2016
Albania,1.427736877,1.303914616,1.104791104,1.204342194,1.17625115,1.128172607,1.342289501,1.351959388
Algeria,2.379510754,2.661786196,2.591116487,2.02971605,2.327465972,2.699868608,2.744808694,2.966289531
Angola,,1.399599,1.550229531,1.6084,1.666667,,,
Argentina,2.038329693,2.052516872,1.991071474,1.739258054,1.703484005,1.727983787,1.935687292,2.12671102
Armenia,1.930832999,2.21549555,2.530926598,2.618243978,2.602050979,2.598609934,2.599288683,2.744325033
Australia,4.074787927,4.369715836,4.329328792,4.2754258,4.1423502,3.959064996,3.901557701,3.962731056
Austria,5.543423756,5.293526929,5.291033676,5.26458167,5.21875134,5.285422962,5.28648244,5.315557188
Azerbaijan,3.95629175,3.878594512,3.88296593,3.940627902,3.933939125,3.814345095,3.814345095,4.152112532
Bangladesh,2.331451665,2.4511501,2.504047321,2.47817899,2.44086489,2.394536123,2.498085567,2.652525226
Belgium,5.613995036,5.480735144,5.356719939,5.191058823,4.960330534,4.917749767,4.892593079,4.877153805
Benin,1.753999147,1.926900777,1.930712,1.631586592,1.371893831,1.4552,1.538461566,1.560276455
Bolivia,1.721480003,1.727400153,2.52795031,3.02211705,2.811053912,2.537238295,2.155222821,1.914675537
"Bosnia and Herzegovina",1.507410514,1.701068855,1.768778,2.4701567,3.044012,2.5169,1.989795923,2.047285848
Botswana,3.862649288,3.475911404,2.964177536,3.052212377,2.86387705,2.788145815,3.008610542,3.237713536
Brazil,1.833901545,1.938579385,1.947962127,1.791379108,1.762329033,1.735351137,1.748540758,1.890281009
Brunei,,,2.184252594,2.070859444,,,,
Bulgaria,2.94479915,3.130737817,2.988956537,3.043575263,3.050095155,3.03142921,3.123609575,3.051192394
"Burkina Faso",1.985093154,1.75361015,1.844577154,1.995644237,1.819005785,1.834464859,,
Cambodia,1.634045091,1.624036912,1.840350611,2.274515972,2.040966574,1.637892601,1.648260102,1.622794151
Cameroon,2.16220113,2.269060286,2.317118058,2.461699755,2.45178191,2.780563659,2.74655722,2.355573067
Canada,5.228150015,5.287287547,5.254370667,5.031443283,4.954261406,4.842342647,4.732886472,4.831622444
Chile,2.063070799,2.247906757,2.28932023,2.615618161,2.667372425,2.462886049,2.350726228,2.389643036
China,4.127718803,4.346908004,4.618124124,4.597063724,4.704072619,4.848325188,5.022855046,5.072709227
Colombia,1.526052899,1.520831942,1.729922454,1.599776809,1.451641876,1.479036139,1.402922082,1.40340911
"Congo (Kinshasa)",,,,,,,,1.538461566
"Costa Rica",1.265889716,1.5831432,1.724627068,1.699613047,1.744607931,1.868269979,1.832931301,1.758891809
"Ivory Coast",1.969326075,2.111425345,2.045308104,2.076948298,2.142041017,2.821536062,2.661483236,2.672014696
Croatia,3.446368927,3.30193096,3.2273123,3.224917473,3.096994827,2.8552009,2.662048953,2.727035329
"Czech Republic",4.346022377,4.582675943,4.534252984,4.567551435,4.586887896,4.511019044,4.532148946,4.551149186
Denmark,5.363959788,5.4282377,5.505193985,4.822519822,4.474008123,4.51412693,4.634862346,4.702656227
"Dominican Republic",1.5325517,2.049729271,2.520647397,2.699045103,2.60907011,,,
Ecuador,1.021900808,1.14513695,1.955203489,2.340455,2.998819921,,,
Egypt,3.326237821,3.36885015,3.17452604,3.143044613,2.729377395,2.362464047,2.606803923,2.606803923
