Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,49,40,41,39,34,24,22,24,39,41,56
Algeria,723,630,376,352,386,345,385,304,292,773,681,673,610
Andorra,,,,,2,2,-,1,2,5,3,6,1
Argentina,,,3154,3264,3276,3367,3431.6667,3496.3333,3561,3625.6667,3690.3333,3755,3484
Armenia,3,9,15,7,5,15,15,11,10,14,15,18,30
Austria,,687,678,700,710,693,779,875,975,883,922,839,826
Azerbaijan,49,25,44,35,34,25,35,16,28,19,31,32,
Bahamas,,,87,72,135,118,109,78,107,96,,,
Bahrain,19,27,25,17,21,36,,,,,,,
Bangladesh,,,11291,11682,,,,,,,,,
Barbados,,84,77,75,72,62,68,63,70,53,58,54,63
Belarus,432,386,483,353,336,240,218,143,119,96,140,141,
Belgium,2850,2944,3029,3217,3290,3231,3152,3308,3397,3405,3345,3070,2865
Belize,,,48,44,39.3333,34.6667,30,21,27,28,26,44,
Bermuda,36,43,35.8,28.6,21.4,14.2,7,2,6,3,6,1,
Bhutan,,,,,,28,51,45,55,60,58,,
Bolivia,,,1137,1306,1633,1821,2221,2891,2572,3460,,,
"Bosnia and Herzegovina",,,39,40,44,35,29,46,35,41,35,27,36
Botswana,,,,,,,1754,1865,1800,1878,1956,2034,
Brazil,,,,23675,25709,28158,33912,41180,41294,49524,49929,,
Brunei,24,26,24,28,,,,,,,,,
Bulgaria,611,529,403,310,225,262,246,211,157,187,164,148,119
Burundi,,,,,,587,683,692,646,1014,953,1144,
"Cape Verde",,,,,,,,120,110,133,108,92,106
Cameroon,451,555,592,580,447,469.5,492,574,583,565,882,853,454
Canada,531,587,565,570,528,490,471,581,549,499,,,
Chile,,,,2865,2942,3349,3403,3139,3590,3275,3190,2856,2754
"Hong Kong",70,92,99,96,107,105,136,112,91,121,105,,
Macau,,,,,,21,21,26,25,27,24,33,30
Colombia,,1188,2627,3347,3380,3384,3591,3235,3686,5240,5362,7042,13388
"Costa Rica",,,,1311,1337,1357,1602,1613,1641,1430,1703,,
Croatia,213,165,142,187,162,188,129,141,122,126,274,335,258
Cyprus,32,41,39,29,19,34,27,36,38,25,18,14,20
"Czech Republic",646,687,596,530,637,529,480,586,675,669,589,669,598
Denmark,472,562,475,527,492,396,352,954,853,869,839,837,1051
"Dominican Republic",,,,,,,,,,1591,942.5,294,
Ecuador,1488,1246,1499,1484,1742.3333,2000.6667,2259,2116,1962,2067,1733,1442,
Egypt,20,21,44,48,63,87,74,91,102,,,,
"El Salvador",,,,,574,564,362,358,326,394,385,367,2248
Estonia,107,121,179,153,122,160,124,81,91,143,135,147,161
Finland,573,595,593,613,739,915,660,818,1039,1009,975,1009,1052
France,10408,10506,9993,9784,10132,10277,9842,10108,10406,10885,11171,12157,12956
Georgia,52,62,141,167,156,100,84,82,71.75,61.5,51.25,41,
Germany,8766,8831,8133,8118,7511,7292,7314,7724,7539,8031,7408,7345,7022
Greece,231,240,177,182,185,232,213,215,172,167,149,134,122
Grenada,,,23,22,30,31,45,24,36,19,36,18,35
Guatemala,,363,314,289,318,385,401,496,569,655,684,614,
Guinea,,,,,92,,,,,,,,
Guyana,,,,,,,62,117,240,269,269,295,321
Vatican,,,,,,,-,-,-,-,-,-,-
Honduras,,,,,,,,,1794,1042,1033,819.5,606
Hungary,535,267,264,206,215,214,228,246,196,192,248,318,380
