Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,2.327586207,2.431679429,2.627494851,2.59087693,2.628046003,2.227053716,1.86920285,1.902640257,2.67418958,3.706193632
Algeria,2.836734694,2.786927104,2.265258806,2.130785996,2.422595574,2.307406971,2.006347745,2.205822793,2.777127468,3.021373098
Angola,,,,2.510565,2.098196164,1.6741,1.25,1.171561292,,
Argentina,4.405405405,4.464865314,4.059968421,3.621069166,3.640827105,3.636747216,3.473272268,3.264370629,3.015247407,3.200242974
Armenia,3.068493151,3.148699048,3.066078038,3.20467615,3.603889391,3.629886187,3.532499138,3.324415045,3.556902721,4.025134343
Australia,6.223684211,6.138044455,5.75189929,5.530080295,5.709430785,5.803168771,5.528639368,5.513014933,5.747883164,5.905896032
Austria,5.796296296,5.617016796,4.947191509,4.657120183,4.662985384,4.671729367,4.522958074,4.448711221,4.554715452,4.833396621
Azerbaijan,3.25,3.387231805,3.48994455,3.688516658,3.91981531,3.712237427,3.695384486,3.726208115,3.726208115,3.993977451
Bahrain,5.723404255,5.429090029,5.132787721,5.352691894,5.788806354,5.497646766,5.271279508,5.447864479,5.577238453,5.475779535
Bangladesh,4.287234043,4.29418579,4.367970962,4.41306055,3.748030494,2.987953413,3.046148729,3.236435325,3.418751109,3.539518921
Barbados,5.226415094,5.327357241,5.161837023,5.110742169,5.280548008,5.196937701,5.15211542,4.971395289,4.7681,4.564788997
Belgium,5.844444444,5.705509632,5.087693332,4.766967497,4.969275747,4.997380397,4.931611145,4.878122253,4.938198416,5.173275945
Belize,,,,,2.834896,,,,,
Benin,3.515873016,3.727230828,3.793968811,4.325737644,4.352247339,3.124445831,2.700561173,3.1637,3.626865625,3.605105352
Bhutan,,,,,,,3.559575,3.840999709,4.214235966,4.438185054
Bolivia,4.308823529,3.953594665,3.626667134,3.915747097,3.951677066,3.948593283,3.885831981,3.692914172,4.214205869,4.724245598
"Bosnia and Herzegovina",4.141176471,3.947092151,3.879125762,3.570341901,3.264204,3.5027918,3.698,3.4135,3.129032373,3.215150724
Botswana,4.797101449,4.833330629,4.354747451,4.405758663,4.596560039,4.346864535,4.284344879,4.423702307,4.422902374,4.526787569
