Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,6992,6853.8,6715.6,6577.4,6439.2,6301,6156,6011,5866,5721,5576,5461.6,5347.2,5232.8,5118.4,5004,5034.6,5065.2,5095.8,5126.4,5157,5278,5399,5520,5641,5762,5560.2,5358.4,5156.6,4954.8,4753,4527,4301,4075,3849,3623,3506.4,3389.8,3273.2,3156.6,3040,2937,2834,2731,2628,2525,2459.6,2394.2,2328.8,2263.4,2198,2103,2008
Albania,17376,16922.4,16468.8,16015.2,15561.6,15108,14766,14424,14082,13740,13398,13117.2,12836.4,12555.6,12274.8,11994,11761.6,11529.2,11296.8,11064.4,10832,10600.8,10369.6,10138.4,9907.2,9676,9604.4,9532.8,9461.2,9389.6,9318,9407.8,9497.6,9587.4,9677.2,9767,9747.6,9728.2,9708.8,9689.4,9670,9742,9814,9886,9958,10030,10120.4,10210.8,10301.2,10391.6,10482,10453.5,10425
Algeria,998.3,973.42,948.54,923.66,898.78,873.9,850.9,827.9,804.9,781.9,758.9,739.06,719.22,699.38,679.54,659.7,641.2,622.7,604.2,585.7,567.2,551.34,535.48,519.62,503.76,487.9,476.18,464.46,452.74,441.02,429.3,421.54,413.78,406.02,398.26,390.5,385.36,380.22,375.08,369.94,364.8,359.96,355.12,350.28,345.44,340.6,334.82,329.04,323.26,317.48,311.7,302.95,294.2
Andorra,20520,19458,18396,17334,16272,15210,14515.4,13820.8,13126.2,12431.6,11737,11315.8,10894.6,10473.4,10052.2,9631,9318.8,9006.6,8694.4,8382.2,8070,7758.6,7447.2,7135.8,6824.4,6513,6282,6051,5820,5589,5358,5270.4,5182.8,5095.2,5007.6,4920,4824.4,4728.8,4633.2,4537.6,4442,4297.2,4152.4,4007.6,3862.8,3718,3770.2,3822.4,3874.6,3926.8,3979,4229,4479
Angola,27150,26697.4,26244.8,25792.2,25339.6,24887,24414.8,23942.6,23470.4,22998.2,22526,21977.6,21429.2,20880.8,20332.4,19784,19196.8,18609.6,18022.4,17435.2,16848,16363.8,15879.6,15395.4,14911.2,14427,14046.4,13665.8,13285.2,12904.6,12524,12169.6,11815.2,11460.8,11106.4,10752,10444,10136,9828,9520,9212,8916.8,8621.6,8326.4,8031.2,7736,7497,7258,7019,6780,6541,6236,5931
"Antigua and Barbuda",923.5,906.54,889.58,872.62,855.66,838.7,825.72,812.74,799.76,786.78,773.8,767.14,760.48,753.82,747.16,740.5,743.24,745.98,748.72,751.46,754.2,767.2,780.2,793.2,806.2,819.2,819.32,819.44,819.56,819.68,819.8,799.82,779.84,759.86,739.88,719.9,705.88,691.86,677.84,663.82,649.8,643.06,636.32,629.58,622.84,616.1,609.64,603.18,596.72,590.26,583.8,575.05,566.3
Argentina,41159,40569,39979,39389,38799,38209,37638.2,37067.4,36496.6,35925.8,35355,34803.6,34252.2,33700.8,33149.4,32598,32122.4,31646.8,31171.2,30695.6,30220,29770,29320,28870,28420,27970,27583,27196,26809,26422,26035,25718.4,25401.8,25085.2,24768.6,24452,24186.6,23921.2,23655.8,23390.4,23125,22884.2,22643.4,22402.6,22161.8,21921,21699.8,21478.6,21257.4,21036.2,20815,20498,20181
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2252,2296.8,2341.6,2386.4,2431.2,2476,2490.8,2505.6,2520.4,2535.2,2550,2560,2570,2580,2590,2600,2601.8,2603.6,2605.4,2607.2,2609,2591.5,2574
Australia,46020,45032.4,44044.8,43057.2,42069.6,41082,40228.6,39375.2,38521.8,37668.4,36815,36375.8,35936.6,35497.4,35058.2,34619,34211.4,33803.8,33396.2,32988.6,32581,32096,31611,31126,30641,30156,29735.4,29314.8,28894.2,28473.6,28053,27757.6,27462.2,27166.8,26871.4,26576,26303.4,26030.8,25758.2,25485.6,25213,24861.4,24509.8,24158.2,23806.6,23455,23058.8,22662.6,22266.4,21870.2,21474,21000.5,20527
Austria,10866,10795.4,10724.8,10654.2,10583.6,10513,10462.2,10411.4,10360.6,10309.8,10259,10245,10231,10217,10203,10189,10199,10209,10219,10229,10239,10229.6,10220.2,10210.8,10201.4,10192,10142.6,10093.2,10043.8,9994.4,9945,9894.8,9844.6,9794.4,9744.2,9694,9670.2,9646.4,9622.6,9598.8,9575,9532,9489,9446,9403,9360,9326,9292,9258,9224,9190,9141.5,9093
