Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,15000,15000,15000,15000,15000,15000,15000,15000,15100,15100,15000,15200,15000,16600,17000,19800,19000,18200,17900,17900,17700,17600,17000,18000,17600,15000,14000,14000,13300,13300,13400,13500,13600,13800,13900,14000,14000,14000,14000,14000,14000,14000,21000,17000,20000,20000,20000,20000,21600,20500,20500,21000,22960,25009
Albania,4185,3598,3091,3729,3718,12347,16006,22032,21701,19510,15768,15300,13300,15500,15500,15500,15500,15500,15500,16300,16600,15600,15500,14300,15000,14000,14000,12000,9000,12000,11047,9470,10313,10923,12029,12398,11534,11398,11400,11400,11000,10600,10456,10700,10134,9523,8200,9800,9100,9000,9500,9300,9100,9600
Algeria,23000,25000,22300,26700,28400,25480,32050,40010,42710,41900,44030,50200,53470,59700,70080,69490,74910,72940,77220,76010,82900,73740,76790,71900,97480,96660,107440,97600,104060,102430,118720,107260,95780,75300,87740,85420,67180,68640,64890,72690,65790,72580,88660,93144,99717,98825,79339,91841,105121,121996,131903,138666,161156,156176
"American Samoa",608,608,608,619,615,615,619,615,541,607,607,608,608,603,603,603,603,598,525,641,671,691,691,681,614,554,494,454,423,495,357,482,576,680,777,929,988,867,1215,1427,1822,1986,2942,2765,2519,2559,2654,2716,2795,2895,2822,2764,2770,2993
Angola,368000,418000,421700,423100,443260,471260,472260,472260,472400,473400,473400,473400,453400,423400,403400,383400,383500,383500,363500,363500,363500,363500,373500,394500,424500,434500,444500,424500,427750,415528,435524,470000,463000,430947,526804,546000,554178,605169,548679,607160,690101,734849,922088,942507,1022410,982452,1083586,851714,1088237,1142442,1335397,1278926,1437243,1030754
"Antigua and Barbuda",41,44,47,49,50,54,62,66,84,113,139,160,106,61,68,81,50,82,113,93,98,63,132,32,38,50,58,67,56,55,60,58,56,55,53,54,55,56,57,58,57,65,73,85,89,96,100,104,106,108,110,110,115,119
Argentina,258821,199884,221250,234221,263063,221887,230470,265943,273628,259790,246200,206050,179110,182820,171650,167610,168760,170900,164700,169070,162900,157920,151940,159550,152455,154404,145324,155075,138225,114826,122073,117719,137087,141257,124516,135400,144742,149974,147000,114612,122000,124500,110199,110100,105600,108200,109500,108064,107639,103517,95887,91721,89304,88024
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28969,30800,31800,32600,32645,32900,32736,31963,34202,31752,30474,32286,35690,34299,33012,31612,34298,31998,28326,28665,31243,30680,31552
Australia,37344,38409,46229,41450,35781,39141,40482,43012,46151,43579,38884,40698,36900,34364,37847,33694,34112,36314,34935,36985,36051,36453,37647,38268,38724,36131,37062,40227,38048,41084,40254,40232,39377,40852,38158,42196,41533,43208,42098,43012,40900,38893,36999,37320,38687,36668,35515,39631,34272,38121,33976,35532,34918,31408
Austria,171624,168744,160653,157537,144555,136599,133833,130243,112572,109924,105303,100943,84193,82304,69101,73312,60198,56902,58048,52569,49639,45654,40594,41322,37719,34854,34128,33115,32395,31760,33421,33036,31090,29738,27036,26335,23476,22854,23180,23737,23123,22523,21122,21924,22186,21920,22675,22800,22222,21973,22851,21800,21100,21400
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,19000,18000,16000,21168,27006,32793,37977,52487,55178,57365,59338,65795,70690,66847,67110,68856,65554,65798,65187,66004,65315,61658
Bahamas,123,127,133,137,143,147,151,154,157,159,162,163,164,167,170,172,175,178,176,182,184,185,181,191,183,183,181,170,173,160,128,125,125,127,118,114,196,185,93,243,193,253,263,275,315,349,357,392,421,448,470,494,517,540
Bahrain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,6,6,7,7,7,5,6,5,8,8,9,11,9,8,9,10,10,4,2,1,1,1,3,1,1,1,2,1,1,1,2,6,8,3,3,2,2
Bangladesh,92847,94847,98871,99442,101442,104800,129100,142900,154169,158141,159335,143469,143258,140636,160421,167479,147967,161870,169577,168837,170035,173890,176155,175460,172765,164250,157920,174433,163515,168627,173868,176532,174901,176010,177200,177585,177174,177989,286115,284093,288259,275656,282091,306566,361401,407292,378609,433578,426697,466071,490570,455013,471042,487600
Barbados,2436,2348,2304,2256,2123,2055,2145,2217,1810,1984,2017,1920,1236,813,1173,952,1171,1385,1102,1047,657,749,795,803,778,687,889,642,735,735,592,653,605,554,1020,850,632,529,372,329,325,193,336,187,221,226,231,113,148,205,65,124,164,160
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779000,749000,697000,725000,719000,700000,695000,661000,661000,636000,550000,526291,506610,461646,433922,412553,396341,382981,366766,341086,332035,305429,307943
Belgium,72347,68337,61394,53302,49708,54974,57607,50002,45009,48969,44366,38553,44473,41991,37492,39299,42703,36582,37572,39262,35600,37607,35514,37079,41784,40798,45393,47000,48000,48271,50853,58189,48120,51591,55846,61403,55510,59400,66612,,,,,,,,,,,,,,,
Belize,100,100,110,120,130,140,145,129,76,78,80,85,87,81,100,120,130,140,140,145,145,150,150,150,150,160,160,160,324,180,324,345,332,210,235,138,126,254,304,356,399,357,360,191,179,179,121,151,171,183,186,188,143,212
Benin,151652,160334,158256,155028,170520,159167,149660,151437,184760,196554,173467,168588,155338,152551,136600,157750,160318,196743,196398,172213,179976,180191,176988,186771,185519,190668,175029,214607,218577,218815,236207,238245,253030,265683,285680,309895,327876,343232,359400,388648,407246,454272,416157,411192,414067,380889,385096,460772,437453,505862,400361,458827,489956,522167
Bermuda,105,113,106,121,132,103,97,89,83,77,65,64,56,54,52,50,50,60,79,83,64,76,72,66,65,64,57,53,53,52,46,47,40,34,34,34,43,53,58,63,58,53,58,48,43,48,54,54,54,56,57,57,60,60
Bhutan,3840,4060,4170,4280,4370,4480,4590,4690,4850,4960,5040,5200,5280,5390,5490,5570,5650,5730,5810,5970,6100,6113,6360,6634,6600,6600,7750,5160,5200,5299,6388,6559,6622,6563,6434,5897,4879,4995,5539,6070,6500,7197,7231,6440,8816,9727,9308,8647,8022,5935,9245,7488,6392,7470
Bolivia,134250,136344,139681,137730,143045,138745,134020,120565,125750,130550,133100,148490,152860,158205,168240,171310,168605,188105,195930,202075,217070,202789,136002,212021,229754,211433,211755,215174,201421,182468,200540,196853,195891,194687,184554,184159,184861,189262,183718,182779,181072,184504,184542,184808,187304,186975,190688,192353,229185,225681,229765,237487,237655,246090
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,38200,36400,53000,41000,37500,49107,48783,43736,45129,43362,42649,43282,41352,40670,41291,40412,36704,36217,37127,36787,35351,34175
