Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,14.19723034,16.07471085,18.01448059,18.70822906,19.01458931,19.07868958,20.43078041,21.48487091,22.47039986,25.2012,27.9319,30.66267014,14.74108982,15.9497,17.15827942,18.26297951,16.39887047,17.1612,17.9235096,19.042,20.1605,21.27897072,22.3733,23.46763992,35.2324295,32.15373993,30.9706,29.7875,28.6044,27.4213,26.2382,25.05512047,22.2189,19.38272095,30.16868019,29.3488102,43.25262833,43.13066864,55.71414948,62.3743515,70.2937088,69.55000305,72.01013184,72.24777985,70.74720001,70.66893005,
Albania,,,,,,,88.60254669,89.4717,90.34075928,91.78243256,94.86260223,96.08666229,91.14875031,84.54947662,84.96916962,89.13645172,92.54705048,91.34155273,91.97212219,92.20301056,94.13928223,94.87686157,77.60674286,68.96154785,68.49359131,69.48094177,68.61434174,71.01335907,72.4005,73.78772736,73.16078949,74.34783173,74.8938,75.4397,75.98561859,78.70159912,79.38844299,81.94142151,84.02813721,84.50826263,88.82131958,92.29099274,94.78173828,98.63839722,100.0258484,98.83409882,
Algeria,,14.09794998,16.69309998,18.24902916,19.68335915,21.01477051,23.89345932,27.64706993,31.85123062,34.49805832,36.49962997,38.66384125,41.71846008,45.1992,48.68000031,52.05480957,56.55942154,59.5637207,60.55815125,67.63778687,66.47670746,63.90370178,62.91947174,62.4012413,62.64522171,61.81626129,61.62387085,60.50083923,62.7103,64.91969299,63.24998093,66.34989166,69.39264679,70.72852325,73.92672729,75.26274872,76.2753067,67.60121918,75.36347198,92.61829376,95.55390167,98.10101318,,,,,
Andorra,,15.27777958,13.40540981,14.01968002,14.10702038,24.43438911,23.36515045,26.7338,30.1025,33.4711,36.8398,40.2084,43.5771,46.9457016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,7.341599941,8.230349541,8.9058,9.5813,10.2568,10.9323,11.6078,12.2833,12.9588,13.6343,14.3098,14.98532963,13.48571014,13.4881,13.4905,13.4928,13.4952,13.4976,13.4999,13.5023,13.5047,13.5071,13.5094,13.5118,13.5142,13.5165,13.5189,13.52128029,13.7136898,15.17739964,17.52673912,18.40576935,19.7791,21.1525,22.5259,23.8993,25.2727,26.64603043,28.34313965,34.18098831,35.08129883,,,,,
"Antigua and Barbuda",,,99.05917358,91.1096,83.15998077,73.1550293,77.6832,82.21130371,80.4717865,83.3966,86.3215,89.2463,92.1712,95.096,98.0209,100.9457,103.8705,106.7954,109.7202,112.6451,115.5699,118.4948,121.4196167,116.5866,111.7536,106.9205,102.0875,97.2545,92.4214,87.5884,82.75536346,85.9357,89.1161,92.2964,95.4768,98.6571,101.8375,105.0178223,114.7357178,109.0148926,105.6981506,106.578949,97.94280243,99.8732,101.8036118,101.6418304,
Argentina,41.70874023,42.9305687,44.9921608,46.96091843,49.45893097,50.62018967,52.07086945,51.89990997,51.88898849,52.09627151,52.80498886,53.65385818,56.24245071,57.73862076,62.12580872,66.40538788,66.87020874,67.3431778,67.60296631,68.4596,69.3162,70.1728,71.0295,71.8861,72.7427,73.5993,74.45594788,71.82186127,79.11483002,89.73613739,93.6207428,94.49977112,93.71282196,92.59927368,91.71060944,89.76351166,88.58358002,88.52377319,89.64450073,93.43562317,97.12748718,98.55615234,100.7710419,102.4999619,103.3639984,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.97811127,87.2566,87.5351,87.8136,88.0921,88.3706,88.6491,88.92755127,86.2588501,89.85733795,89.5582,89.2592,88.9601,88.661,88.3619,88.06278229,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.00126648,94.9099884,95.73950195,97.85075378,96.7141571,97.2363205,95.71273041,97.95648193,100.995018,91.4189682,94.4188385,93.47659302,94.41153717,110.2637787,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,133.3190918,132.1199036,142.7814331,148.177063,149.8497925,152.0667267,157.1102753,161.5886383,155.3577271,155.6652374,157.0852203,151.5496063,150.105423,127.4698105,125.999649,128.0494537,131.4839325,134.4217072,136.3878326,139.0953827,141.2353363,141.2540131,,
Austria,,93.39425659,93.9299,94.4656,95.0013,95.5369,96.07260132,96.3338,96.595,96.8562,97.1174,97.37864685,95.4132309,96.70452118,96.55551147,97.35962677,101.614357,102.9536819,103.3262177,103.1128387,105.7974014,107.0601501,109.0981674,110.2507935,110.4322815,110.0473099,108.7423782,107.7458725,100.5501099,100.8267899,100.8532715,101.131073,101.5832138,102.2083817,102.4403076,102.9459076,102.4730377,101.7868881,101.6002502,101.9607315,100.826973,100.1014328,99.71993256,100.8822708,101.5699387,102.3906174,
Azerbaijan,,,,,,,,,,,,95.58408356,96.2236,96.863,97.5025,98.142,98.78147125,96.5363,94.2911,92.0459,89.8007,87.55548859,89.23239899,89.79634094,87.35977173,81.53131104,71.74626923,69.41381073,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,83.97801208,83.31014252,81.586,79.86184692,80.67700958,88.69596863,89.8773,91.0586,92.24,93.4213,94.60266876,94.95935822,90.8547,86.75003052,79.8993,73.04857635,75.6363,78.22398376,82.088,85.9521,89.81610107,88.3177,86.81932068,89.46231079,91.51711273,93.75829315,93.65971375,92.01593018,90.23361969,,,,,,
Bahrain,,58.50886917,54.26908112,54.69155121,56.70415878,60.15800858,61.53554916,63.39710999,68.47634125,73.62477875,63.86980057,71.20098877,76.11727905,90.32594299,89.46012878,95.84327698,99.62162781,96.3625412,92.93939972,90.04544067,85.94824219,97.38831329,95.21047974,98.65310669,102.2855835,104.1243591,101.7333603,93.64093018,92.75195313,91.48191833,95.23493958,94.54995728,89.16332245,89.17801666,90.66697693,91.46253967,92.12995148,90.2708,88.41172791,89.88670349,92.24143982,96.39167023,90.79814148,95.978508,98.48001862,102.3648071,
Bangladesh,,,,30.29532051,28.8629,27.4306,25.99818993,26.70322037,26.5822,26.46125984,27.72612953,26.3125,27.0992,27.8859,28.67259979,28.44631004,26.75505066,27.43701935,26.96402931,26.44273949,26.84369087,29.1104,31.377,33.6437,35.9103,38.177,40.4437,42.7103,44.97697067,46.93220901,47.43830109,47.47238922,48.14377975,47.93505096,46.24644089,44.09563065,44.85203934,45.67771912,42.28815079,46.73714828,47.27249908,47.34160995,50.16181946,56.06476974,57.9331,59.80136871,
