Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,2.231519938,2.355459929,2.389600039,2.66663003,2.64447999,2.69927001,3.109200001,3.714370012,4.044089794,5.3494,6.6547,7.960040092,6.595320225,7.2566,7.917950153,8.339420319,8.203829765,8.5278,8.851819992,9.5418,10.2318,10.92185974,9.9269,8.93198967,9.886460304,12.0228796,11.3662,10.7096,10.053,9.3963,8.7397,8.083,7.4264,6.769750118,6.303009987,9.562319756,15.71562958,16.18885994,23.75740051,30.12233925,35.14345932,38.77740097,40.4281311,40.2053299,39.67480087,39.74269867,
Albania,,,,,,,81.17726135,81.8346,82.49188232,84.55628967,85.2986908,86.05561066,82.7620697,79.37277222,79.46443939,81.33418274,84.16327667,84.31591034,85.27211761,85.47884369,86.11666107,87.09500122,78.25652313,72.20809937,69.44438171,68.36322021,67.64396667,68.30023193,69.158,70.01583099,69.72281647,71.44210815,71.7263,72.0105,72.2946701,75.00518799,76.46131134,80.5809021,83.24237823,86.38317871,87.96840668,89.29612732,90.55766296,92.842453,92.60621643,92.50879669,
Algeria,,5.800710201,7.252110004,8.595069885,9.596850395,10.82075024,12.64920044,15.09175968,18.50226021,21.18272018,23.3247509,25.39615059,28.44775009,31.6212,34.79468918,37.80746841,41.97686005,43.93864059,45.07152939,51.32709885,51.45545959,50.97750092,51.40779114,52.19728851,53.9996109,54.71931839,55.53318024,57.76229858,61.7073,65.65225983,66.25847626,70.55500793,73.81710052,76.91094208,80.64022064,82.45150757,83.45614624,73.06832123,78.20153809,93.53891754,98.85108185,101.6864471,,,,,
Andorra,,15.48608017,16.40954018,13.56009007,21.46340942,27.82875061,47.37527084,48.0427,48.7102,49.3777,50.0451,50.7126,51.38,52.04750061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,5.149499893,5.968130112,6.0903,6.2124,6.3345,6.4567,6.5788,6.7009,6.8231,6.9452,7.0673,7.189469814,6.641590118,6.9025,7.1634,7.4243,7.6852,7.9461,8.207,8.4679,8.7288,8.9897,9.2506,9.5115,9.7724,10.0334,10.2943,10.55515957,10.35929966,12.40246964,13.65151024,15.23491955,16.1119,16.9888,17.8658,18.7427,19.6197,20.49666023,21.67038918,23.41390991,22.74143982,,,,,
"Antigua and Barbuda",,,78.77243805,82.316,85.85955811,84.28710175,85.6974,87.10775757,58.22201157,62.5326,66.8433,71.1539,75.4645,79.7752,84.0858,88.3964,92.7071,97.0177,101.3283,105.639,109.9496,114.2602,118.5708466,112.9467,107.3225,101.6984,96.0742,90.45,84.8259,79.2017,73.57756805,77.4274,81.2773,85.1272,88.9771,92.827,96.6768,100.5267105,107.2844391,108.0581589,106.6963196,105.6608505,112.8780212,107.8614,102.8447037,103.7915878,
Argentina,47.37722015,48.19549942,49.56975174,52.29388046,55.21292114,57.22417068,58.85060883,59.17663956,59.34125137,59.01712036,60.16508102,61.62633896,62.27003098,61.81113815,68.36170197,74.06463623,73.57073212,72.65589142,73.3184967,74.4519,75.5853,76.7187,77.8521,78.9854,80.1188,81.2522,82.38561249,78.5973587,83.8068924,96.38652802,99.50923157,100.5079117,99.50299072,98.99436188,99.39663696,98.38070679,98.25827026,99.05834961,101.0335693,104.4073334,106.6335983,108.8132019,109.7624817,110.2747574,110.3069077,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.52812958,95.5745,96.621,97.6674,98.7138,99.7602,100.8066,101.8530426,100.5549088,105.1378174,102.4469,99.756,97.0651,94.3741,91.6832,88.99230194,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6542282,98.08235931,100.2443466,103.142601,101.431427,97.26821136,96.13951111,96.7725296,104.0896072,97.92759705,99.10172272,98.26805115,99.73133087,112.1154938,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,133.9160614,131.7137909,142.2192383,147.5647736,154.6126709,158.2551117,157.9873047,163.6917267,154.587326,152.8722839,155.2444763,148.2220459,146.4968262,127.3030701,126.7629776,128.017395,129.0596008,130.3395081,131.9892426,134.5026245,133.6713104,133.6292725,,
