Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,9,13,26,44,59,79,123,103,122,149
Afghanistan,14,16,38,46,57,74,426,1577,1965,1047
Angola,30,45,80,119,160,227,240,322,345,469
Albania,12,24,74,103,151,197,416,1273,1508,2190
Andorra,58,79,92,79,87,158,219,263,400,1557
"United Arab Emirates",785,1124,2167,2533,3382,5434,8787,12192,14292,18682
Argentina,1028,1404,2643,3117,3837,5317,32040,71731,83320,135647
Armenia,30,54,87,158,182,224,557,799,989,1416
"American Samoa",3,1,1,12.5,24,1,10,55,25,19
"Antigua and Barbuda",60,73,47,65,72,65,76,85,81,87
Australia,30906,48509,72472,81067,92461,108937,237318,530042,822020,931399
Austria,5772,8966,13601,15751,20044,26636,38878,65381,147681,233527
Azerbaijan,23,45,100,158,219,321,994,2557,3274,3697
Burundi,4,4,4,3,6,8,16,50,67,106
Belgium,4378,6600,10633,14067,18047,22982,34530,94420,159673,225822
Benin,1,3,9,10,11,24,27,47,84,117
"Burkina Faso",4,4,10,12,13,27,34,37,50,69
Bangladesh,30,73,111,146,202,314,3731,10413,18712,16334
Bulgaria,461,745,1839,2343,4589,4880,28821,228612,268524,280691
Bahrain,93,140,271,326,386,450,494,537,582,638
Bahamas,130,149,193,228,274,375,398,576,909,618
"Bosnia and Herzegovina",44,66,122,147,215,282,638,5024,6431,8768
Belarus,48,86,241,366,579,1021,4171,21465,32440,54170
Belize,69,93,331,351,295,412,559,3007,4442,16465
Bermuda,232,357,433,474,506,528,525,503,521,492
Bolivia,58,83,109,150,198,290,418,1226,1478,1987
Brazil,5529,8709,14059,17456,22778,32503,84536,328718,426560,578468
Barbados,53,70,83,109,136,164,184,220,249,270
Brunei,16,23,49,61,99,238,257,688,853,4645
Bhutan,1,2,8,7,13,14,27,88,134,365
Botswana,9,12,20,22,40,75,110,151,301,486
"Central African Republic",,,,,1,1,1,2,3,5
Canada,43618,56383,74500,82897,95604,120922,369091,970834,1147057,1349486
Switzerland,11343,19299,27881,31993,40108,57464,143994,278505,580292,821368
Chile,790,1110,1791,2239,2933,4025,22528,134062,151206,208732
China,1604,2631,5100,6999,13314,26989,66054,289923,622142,1027286
"Ivory Coast",11,14,39,54,78,117,144,212,292,1145
Cameroon,7,9,19,28,41,52,67,210,137,392
"Congo (Kinshasa)",4,5,12,11,26,39,50,208,237,263
"Congo (Brazzaville)",,1,8,9,15,18,23,24,32,33
Colombia,475,680,1401,1923,2571,3389,15415,22640,32338,39298
Comoros,,1,1,1,3,1,47,4,6,6
"Cape Verde",12,14,31,32,39,39,60,140,271,302
"Costa Rica",474,639,767,1294,1463,1517,2400,5749,6029,6614
Cuba,1,1,1,1,1,1,32,96,182,401
Curacao,,,2,202,227,399,465,507,605,647
"Cayman Islands",95,170,232,225,264,307,327,384,740,1101
Cyprus,307,457,1710,1122,2796,2760,5325,20484,7578,9854
"Czech Republic",3200,4934,8773,11354,14921,21607,126705,269310,450120,599619
Germany,85810,118157,176527,209774,271517,351083,957300,2825322,4676435,6478761
Djibouti,4,6,1,4,8,10,11,21,36,44
Dominica,3,5,14,12,16,19,382,498,475,705
Denmark,8810,13192,17135,19419,24548,34129,137709,252263,713512,1612517
"Dominican Republic",115,135,239,270,348,477,970,1032,1293,1215
Algeria,13,18,46,68,94,152,309,2621,2855,2154
Ecuador,159,211,371,482,665,1319,1988,3524,4538,5448
Egypt,205,252,437,563,725,975,1388,3490,3456,3547
Eritrea,1,1,1,1,1,1,1,1,1,3
Spain,9644,12387,18879,22766,29090,41316,128415,337663,528944,834027
Estonia,713,970,1661,2127,2885,4105,14193,38377,64636,110548
Ethiopia,3,4,24,28,36,33,42,76,160,165
Finland,5457,8519,11939,13736,16433,18604,39189,122966,187523,318556
Fiji,13,21,41,43,64,79,99,131,153,187
France,18081,26229,40871,54208,78843,126340,446252,991690,1367541,1971311
"Faroe Islands",83,108,150,166,174,177,178,190,225,243
Micronesia,3,8,12,11,13,15,17,18,21,24
Gabon,4,31,14,22,23,32,45,58,56,55
"United Kingdom",82563,114622,159285,181643,210025,285617,570586,1400176,1811830,2405337
Georgia,36,56,163,237,309,442,1516,8799,8132,10329
Ghana,22,33,70,113,148,200,2761,2744,649,1369
Gibraltar,161,177,266,269,343,387,470,620,555,546
Guinea,1,1,4,4,6,9,11,19,41,63
Gambia,8,4,6,8,16,17,19,106,56,52
"Guinea Bissau",,,,,1,3,3,5,4,7
"Equatorial Guinea",,1,1,1,3,4,7,10,13,27
Greece,711,1031,1793,2330,3026,4436,15214,39746,54044,71270
Grenada,10,8,17,19,20,24,31,26,36,56
Greenland,53,63,101,114,131,157,166,142,172,180
Guatemala,106,153,221,273,360,463,600,1155,1286,1559
Guam,26,29,37,48,51,115,106,120,142,167
Guyana,1,4,5,7,11,21,24,25,37,49
"Hong Kong",3143,4521,7138,8339,11232,17002,28417,77501,144576,454544
Honduras,50,70,93,117,144,185,281,750,717,910
Croatia,506,739,1336,1689,2122,2672,7199,60251,79937,92507
Haiti,2,4,11,14,25,41,49,50,59,60
Hungary,1677,2172,3900,5099,6592,9120,40492,133382,188120,256400
Indonesia,396,595,1320,1970,3006,4569,80094,338925,343412,455692
"Isle of Man",5,21,44,68,89,132,283,380,694,834
India,2061,2842,5704,7880,10941,15313,50723,164791,254032,531807
Ireland,4375,6907,11346,12215,13078,15020,55844,185553,338734,470811
Iran,92,127,179,238,404,963,5102,18208,40458,85822
Iraq,1,8,18,30,53,87,152,391,435,475
Iceland,742,1043,1469,1788,2153,2518,11963,19793,22843,25566
Israel,3388,5056,7123,7740,8287,10936,18114,60711,85381,100634
Italy,7532,11306,18058,22587,29973,38140,79125,468800,740648,914642
Jamaica,68,91,147,203,245,351,354,401,451,426
Jordan,86,131,250,294,346,426,669,1057,1025,1092
Japan,70810,86878,116093,134421,175217,191255,267900,758209,1476696,2361325
Kazakhstan,57,91,202,296,465,845,4701,22227,25115,43674
Kenya,65,95,229,316,458,619,942,1837,11164,13047
Kyrgyzstan,10,8,38,44,82,136,257,639,1075,1859
Cambodia,10,18,44,60,71,158,323,883,1318,2626
Kiribati,,,1,1,1,1,3,3,5,1
"Saint Kitts and Nevis",27,72,38,33,61,38,46,162,234,289
"South Korea",8688,10413,13470,17000,20634,28452,36928,61580,106574,234958
Kuwait,236,370,629,790,956,1276,1575,1964,1705,1844
Laos,3,6,12,17,22,28,57,114,144,224
Lebanon,83,160,272,339,454,547,592,813,1195,1415
Liberia,2,1,2,2,4,4,10,9,11,24
Libya,7,7,9,36,36,40,926,6174,7345,7119
"Saint Lucia",8,9,20,23,25,25,33,35,46,55
Liechtenstein,137,272,358,429,535,579,661,904,1333,1826
"Sri Lanka",72,106,189,238,331,439,1507,6545,8937,7161
Lesotho,1,2,2,4,4,14,18,42,83,134
Lithuania,549,757,1344,1882,2208,3443,12556,36934,51176,87889
Luxembourg,606,800,1232,1765,2511,3133,6678,25651,26234,24716
Latvia,477,673,1141,1430,1824,2596,5758,23206,27952,38004
Macau,113,145,215,240,297,453,681,1108,1674,2669
"Saint Martin (France)",,,1,2,2,4,12,9,11,
Morocco,51,76,113,182,244,328,859,10115,10655,13479
Monaco,28,51,82,143,155,208,273,373,412,519
Moldova,38,69,130,168,237,361,1852,10071,10610,12060
Madagascar,6,9,15,16,27,39,76,126,143,227
Maldives,9,11,30,33,41,53,101,209,270,385
Mexico,1531,2001,3146,3756,4930,7054,14758,23144,28487,34635
"Marshall Islands",1,3,2,1,2,1,3,6,8,20
"Macedonia (F.Y.R.O.M.)",41,46,94,135,203,239,971,1037,968,1438
Mali,7,7,14,16,25,39,57,142,201,203
Malta,686,849,1091,1108,1246,1570,1473,6600,6986,5464
