Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,7.399763599,7.332434658,6.979127154,6.817710908,6.839013059,6.765811712,6.652388134,6.583808956,6.526640352,6.527791537,6.536360916,6.523205983,6.366221151,6.246575481,6.164580947,6.008133122,5.924669208,5.837530218,5.733769292,5.630672405,5.541740342,5.462915499,5.392961064,5.34565042,5.303696349,5.288793261,5.269431907,5.252281343
Albania,3.626489716,3.845894186,3.766604165,3.694437881,3.566064602,3.742533245,4.018334497,4.325527543,4.581479916,4.652051242,4.705986296,4.926967111,5.185417009,5.441357954,5.672116907,5.733432584,5.695141946,5.588583641,5.755277015,5.67807541,5.717019682,5.753286874,5.762535864,5.809904876,5.878506508,5.886678644,5.880684958,5.855674851
Algeria,3.987045629,4.036763334,4.105812769,4.197871381,4.39903714,4.491021687,4.588817198,4.700052638,4.758398047,4.884037275,4.946795614,5.00083569,5.042953048,4.920372522,4.915310949,4.894092509,4.854980717,4.804904118,4.737874371,4.674635196,4.590620388,4.561636802,4.493621517,4.458119275,4.438881693,4.392224844,4.271593578,4.197997772
"American Samoa",5.914734206,5.859372917,5.802181377,5.785684503,5.784027933,5.764534047,5.739551174,5.767724594,5.737368688,5.664101388,5.728272512,5.761996674,5.749676816,5.723688159,5.595791164,5.4532702,5.384729467,5.456348776,5.57027195,5.585221828,5.691157183,5.77474337,5.850814639,5.929077141,6.012596912,6.173092145,6.206100348,6.258138834
Andorra,13.04448822,13.15168431,13.20419499,13.10668928,12.89156464,12.61922225,12.42372719,12.47562042,12.32509694,12.17983707,11.97821834,11.87841078,11.75460812,11.7193016,11.71665648,11.49930094,11.37431309,11.27269001,11.17708765,11.09790693,10.98973612,10.69540354,10.62802609,10.54844562,10.3183547,10.20994872,10.21016017,10.23696973
Angola,8.709780074,8.738337413,8.817190139,9.033928994,9.161158282,8.982139593,8.420588889,8.195032253,8.870910388,8.483333654,8.322030888,8.093614328,7.82802267,7.7653204,7.800558534,7.505230931,7.391277521,7.174736314,7.003610741,6.865222089,6.740927036,6.660104627,6.59980126,6.502819923,6.296163567,6.241767704,6.150227854,6.190965737
"Antigua and Barbuda",2.485909289,2.495497261,2.500461838,2.506056964,2.50988197,2.513551261,2.543132182,2.593292055,2.661027939,2.639726186,2.599560035,2.582823183,2.594551634,2.629173162,2.647630997,2.675739799,2.679413577,2.694655032,2.752830404,2.790407147,2.821990665,2.871098074,2.860716461,2.883865768,2.92227462,2.947974871,2.947638629,2.951948095
Argentina,9.681893355,10.0035229,10.68360333,10.90722968,11.2771575,11.54073877,12.04937617,12.36105618,12.46732209,12.71689902,12.49767301,12.71862426,12.74468658,12.15411726,11.37519171,11.25586211,11.26641234,11.64297057,11.61991503,11.57413537,11.34267866,11.4932983,11.68707847,11.72124086,11.48208575,11.25519155,11.34309011,11.35133319
Armenia,3.137748019,3.30232117,3.671651503,3.955605838,4.108333313,4.21555817,4.106843548,3.963547095,3.807056213,3.741264789,3.777084096,4.051925791,4.370335167,4.662196187,5.409244628,6.365886439,7.540065088,7.896996159,8.728813929,9.246956466,9.749178395,10.11570326,10.34178825,10.12481257,10.08230086,10.1619845,10.15270726,9.96566217
Australia,13.95230988,13.82509204,13.83960702,13.46734364,13.94331554,14.05692323,14.34987965,14.63432029,14.72968453,14.26369126,13.68619561,13.05109125,12.6204203,12.23591885,11.93046894,11.71953735,11.60446426,11.95458002,12.16631187,12.24863044,12.29565603,12.18668367,12.04231491,12.12454785,12.64798504,12.99736261,12.77858243,12.76021691
Austria,24.76966217,24.77445114,24.15669061,23.96741471,23.5286034,23.27192678,22.66587023,21.3881296,20.89482966,20.54606494,20.44183425,19.88136083,19.70038551,19.21229998,18.70177021,18.35876667,17.59152014,17.48145964,17.11964849,17.75877979,17.68634913,17.42709237,17.20180716,17.04349061,16.96825133,16.90474887,16.41906282,16.17220575
Azerbaijan,2.836910655,2.747158318,2.771731134,2.702003223,2.633855026,2.495128145,2.444890382,2.444178253,2.482582415,2.62619851,2.886033428,3.286023942,3.490587018,3.810795469,4.152550426,4.4647816,4.73814639,5.105445373,4.958920993,4.851348906,4.813027606,4.762329243,4.670319549,4.581687284,4.479240756,4.355412781,4.255361752,4.219586228
Bahamas,2.937793387,2.922548553,2.964584205,3.059365023,3.05301904,3.107353326,3.076881719,3.083465119,3.104567459,3.090572561,3.056821838,2.972712047,2.898147104,2.919985946,2.904645421,2.888532283,2.937918693,2.978675255,3.049286112,3.102934276,3.160642393,3.220455517,3.241918654,3.259624749,3.324828774,3.360403789,3.39568841,3.425908445
Bahrain,5.132520617,5.343278968,5.537964479,5.670020449,5.773984691,5.992338271,5.996626793,5.774956218,6.183324901,6.791151743,7.330264932,7.759419555,7.869145533,8.025997365,8.37201666,8.369678014,8.005757093,7.733291877,7.360408839,6.846984842,6.270155897,5.810098783,5.601170111,5.282255428,5.095010738,5.065941907,5.004994506,4.962760726
Bangladesh,9.470055254,8.992895443,9.149049639,9.132999438,8.920765844,8.997238211,8.635711293,8.158021861,7.855653684,7.494517722,7.157205785,6.953520185,6.768887046,6.561085741,6.631036895,6.791976079,7.014593752,7.194482657,7.223110667,7.076301446,7.133132456,6.760220669,6.464906323,6.255022382,6.220869244,6.045111365,5.918207352,5.951385656
Barbados,5.249829578,5.419756683,5.489921666,5.630419327,5.648196164,5.655113608,5.644938631,5.531119443,5.447224837,5.299459883,5.162777498,5.026081068,5.112247132,5.176414347,5.200015032,5.13734508,5.056631378,4.929915829,4.944083578,4.88674637,4.900971735,4.835237762,4.78172805,4.826947775,4.854351385,4.917024947,4.967348259,5.034231533
