Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,,,,,,21.5,21.39999962,28.39999962,28.5,27.60000038,27.79999924,28.39999962,33.40000153,34.7,36,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,54.70000076,54.8,54.90000153,53.09999847,53.8571,54.6143,55.3714,56.1286,56.8857,57.6429,58.40000153,,,
"American Samoa",,,,,,,,,,,40.70000076,41.82,42.94,44.06,45.18,46.3,47.42,48.54,49.66,50.78,51.90000153,54.09,56.28,58.47,60.66,62.85,65.04,67.23,69.42,71.61,73.80000305,,,,
Angola,,,,,,,,,,,,,66.59999847,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,76,81.59999847,81.59999847,81.59999847,81.59999847,81.59999847,81.59999847,81.59999847,,,,,,
Argentina,,,59.5,58.5,56.59999847,58.4333,60.2667,62.1,63.9333,65.7667,67.59999847,66.19999695,66.80000305,69.40000153,70.59999847,72,73.90000153,73.19999695,74.09999847,75.30000305,76.19999695,76.90000153,78.59999847,76.30000305,75.5,75.09999847,75.09999847,74.5,74.40000153,75.59999847,72.5,70.80000305,75.19999695,74.80000305,74.69999695
Armenia,,,,,,,,,,,,,,,,,,,,,,,37.79999924,37.5,37.09999847,37.79999924,38.20000076,38.90000153,42.5,43.5,44,44.40000153,45,46.70000076,
Aruba,,,,,,,,,,,,,,,81.19999695,81.7667,82.3333,82.90000153,82.7,82.5,82.30000305,81.8143,81.3286,80.8429,80.3571,79.8714,79.3857,78.90000153,80.7333,82.5667,84.40000153,85.09999847,,,
Australia,62.40000153,62.70000076,63.70000076,64.80000305,65.5,66.5,67.30000305,68,67.90000153,68.19999695,69.30000305,65,65.30000305,65.09999847,65.40000153,66.09999847,66.19999695,66.59999847,67,67.19999695,66.90000153,67.90000153,68.09999847,68.59999847,68,68.09999847,68.19999695,68.5,68,68.19999695,68.40000153,75.40000153,75.40000153,69.5,
Austria,,,,51.20000076,52.20000076,52.59999847,53.20000076,53.40000153,54,54.70000076,54.90000153,55.20000076,56.79999924,57.5,60.29999924,60.59999847,62.29999924,63.5,64,64.19999695,64.19999695,65.09999847,65.5,65.69999695,68.40000153,67.30000305,66.80000305,67.5,68.80000305,70.09999847,70.09999847,69.30000305,69.5,69.80000305,69.69999695
Azerbaijan,,,,33.5,33.5,33.70000076,33.70000076,33.20000076,34,35.40000153,31.10000038,32.20000076,31.10000038,34,35.40000153,35.79999924,37.70000076,42.29999924,46.59999847,46.5,48.09999847,49.20000076,48.29999924,48.40000153,48.59999847,48.59999847,48.29999924,48.5,48.90000153,49.20000076,48.09999847,48,48.09999847,48.5,48.90000153
Bahamas,,,,,,,79.40000153,79.4667,79.5333,79.59999847,79.1,78.59999847,79.30000305,81.59999847,81.30000305,81.19999695,79.80000305,81.19999695,80.90000153,78.90000153,78.65,78.40000153,79.19999695,80.90000153,79.40000153,78.40000153,79.5,79.59999847,80.5,80.80000305,81.9,83,,,
Bahrain,,61.09999847,61.5,62.3222,63.1444,63.9667,64.7889,65.6111,66.4333,67.2556,68.0778,68.90000153,68.87,68.84,68.81,68.78,68.75,68.72,68.69,68.66,68.63,68.59999847,73.8,79,84.19999695,80.5667,76.9333,73.3,69.6667,66.0333,62.40000153,,,,
Bangladesh,,,,,24.20000076,26,26.5,22.6,18.7,14.80000019,15.5,16.20000076,17.96,19.72,21.48,23.24,25,24.625,24.25,23.875,23.5,29.05,34.59999847,34.59999847,36,37.40000153,36.98,36.56,36.14,35.72,35.29999924,,,,
Barbados,,69.09999847,67.69999695,68.5,68.09999847,68.30000305,69.5,69.69999695,69.5,60.90000153,62,65.59999847,64.09999847,65.59999847,65.19999695,65.09999847,62.70000076,64.30000305,62.79999924,64,64.40000153,65.5,65.90000153,66.80000305,69.69999695,71,72.3,73.6,74.9,76.2,77.5,76.5,78,78.40000153,
Belarus,,,,,,,,35.90000153,35.79999924,35.59999847,36.09999847,36.59999847,36.59999847,38.20000076,40,40.66,41.32,41.98,42.64,43.3,43.96,44.62,45.28,45.94,46.6,47.26,47.92,48.58,49.24,49.90000153,55.29999924,55.5,56.59999847,57.20000076,
Belgium,62.59999847,64,65.09999847,65.90000153,66.5,67.09999847,67.80000305,68.59999847,64.90000153,64.69999695,65.59999847,66.30000305,66.5,67.90000153,68.19999695,69.09999847,69.59999847,69.80000305,70.5,71.80000305,72.19999695,73.09999847,72.40000153,73.40000153,72.80000305,73.19999695,73.30000305,73.69999695,73.80000305,75,75.19999695,75.5,77.09999847,76.90000153,77.40000153
Belize,,,,,,,,,,,,,,56.59999847,56.79999924,55,54.40000153,51.79999924,57,55.5,56.58,57.66,58.74,59.82,60.90000153,62.5,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,46.20000076,45.8857,45.5714,45.2571,44.9429,44.6286,44.3143,44,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,75,86.69999695,86.59999847,86.59999847,86.19999695,86.08,85.96,85.84,85.72,85.59999847,85.69999695,88.30000305,88.69999695,87.59999847,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,17.5,28.35,39.20000076,29.79999924,29.2667,28.7333,28.20000076,33.79999924,30.60000038,29.10000038,32.70000076,
Bolivia,32.90000153,33.90000153,36.29999924,35.20000076,36,36.5,39.90000153,39.79999924,39.79999924,73,73.19999695,68.80000305,66.40000153,69.90000153,68.80000305,69,66.40000153,64.59999847,53.8,43,43.70000076,41.79999924,41.59999847,44.40000153,44.40000153,42,43,44.20000076,46.5,47.90000153,,,,,
Botswana,,,,,,31.39999962,33.8818,36.3636,38.8455,41.3273,43.8091,46.2909,48.7727,51.2545,53.7364,56.2182,58.70000076,57.4,56.09999847,57.15,58.20000076,61.40000153,58.75,56.09999847,55.7,55.3,54.90000153,55.2,55.5,55.8,56.09999847,,,,
Brazil,,46.09999847,47.09999847,47.59999847,48.40000153,49.29999924,50,51.59999847,52.40000153,53.20000076,54.5,52.95,51.40000153,51.90000153,53.1,54.29999924,55.70000076,55.79999924,56.5,56.5,59.09999847,59.40000153,57.79999924,58.20000076,57.79999924,57.90000153,59.09999847,59.5,59.70000076,60.70000076,75.30000305,62.40000153,62.70000076,62.90000153,76.59999847
Brunei,,,,,,,,,,,,73.69999695,74.05,74.4,74.75,75.1,75.45,75.8,76.15,76.5,76.85,77.19999695,77.4769,77.7538,78.0308,78.3077,78.5846,78.8615,79.1385,79.4154,79.6923,79.9692,80.2462,80.5231,80.80000305
Bulgaria,32.90000153,33.09999847,33.29999924,33.5,33.70000076,34,34.20000076,34.5,35,36,37.29999924,39.29999924,40.29999924,41.29999924,42,42.59999847,42.79999924,45.625,48.45,51.275,54.09999847,57.79999924,57,57.29999924,56.59999847,57,57.59999847,57,56.20000076,57.59999847,59.90000153,61.70000076,62.20000076,63.09999847,62.79999924
"Burkina Faso",,,,,,,,,,,,,,,7.5,7.9444,8.3889,8.8333,9.2778,9.7222,10.1667,10.6111,11.0556,11.5,11.85,12.19999981,13.5,22.29999924,,,,,,,
"Burma (Myanmar)",23.10000038,23.20000076,23.10000038,23.39999962,23.29999924,23.29999924,23.29999924,23.60000038,23.89999962,23.89999962,21,21.45,21.89999962,21.5,21.5,22.6333,23.7667,24.89999962,25.10000038,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,5.599999905,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,18.20000076,18.05,17.89999962,19.29999924,23.9,28.5,33.09999847,29.625,26.15,22.675,19.20000076,24.4,29.60000038,,,,
Cameroon,,,,,,,14,14.5733,15.1467,15.72,16.2933,16.8667,17.44,18.0133,18.5867,19.16,19.7333,20.3067,20.88,21.4533,22.0267,22.60000038,,,,,,,,,,,,,
Canada,66,66.30000305,68.19999695,68.90000153,68.90000153,69.5,69.80000305,69.90000153,69.90000153,70,70.80000305,72,72.80000305,73.5,73.40000153,73.30000305,73.5,73.30000305,73.40000153,73.59999847,73.59999847,74.80000305,74.69999695,75,75,75.19999695,75.80000305,76.40000153,76.69999695,77.80000305,78.09999847,78,77.80000305,78,78.19999695
"Cayman Islands",,,,,,,,,,,,80.09999847,79.7714,79.4429,79.1143,78.7857,78.4571,78.1286,77.8,77.4714,77.1429,76.8143,76.4857,76.1571,75.8286,75.5,76.40000153,76.40000153,78.09999847,79.59999847,84.19999695,83.69999695,83.09999847,83.59999847,
Chad,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,
Chile,59.79999924,60.70000076,65.40000153,66,63.70000076,59.59999847,58.20000076,56,54.79999924,54.09999847,55.5,54.59999847,55.5,56.20000076,57.70000076,58.20000076,58,58.29999924,60,62.09999847,62.20000076,62.5,62.59999847,63,43,43.5,44.29999924,44.59999847,44.70000076,45.5,65.30000305,66.59999847,65.69999695,67.09999847,
China,,,,,,,,10.69999981,11.10000038,10.89999962,9.899999619,10.19999981,10.60000038,10.60000038,11.5,12.19999981,12.69999981,13.10000038,12.80000019,12.89999962,12.69999981,12.69999981,16.10000038,50.5,50.29999924,49.5,48.90000153,48.59999847,49.29999924,49.09999847,48.79999924,47,,,
Colombia,64.59999847,65.52,66.44,67.36,68.28,69.19999695,69.5,68.59999847,68.59999847,68.80000305,67.69999695,68,67.40000153,67.30000305,67.19999695,67.40000153,68.90000153,71.09999847,72.30000305,74.5,73.30000305,44.29999924,59.59999847,60.40000153,60.29999924,58.90000153,59,62,62.59999847,61.5,61.70000076,61.29999924,62,63.70000076,64.09999847
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,42.20000076,,,,,,,,,
