Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,36.4,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,34.1,35.7286,37.3571,38.9857,40.6143,42.2429,43.8714,45.5,47.1286,48.7571,50.3857,52.0143,53.6429,55.2714,56.9,,,,,,
Andorra,,,,,,,,,,,,,,,67.6,69.1364,70.6727,72.2091,73.7455,75.2818,76.8182,78.3545,79.8909,81.4273,82.9636,84.5
Argentina,,,,,,21.2,22.9778,24.7556,26.5333,28.3111,30.0889,31.8667,33.6444,35.4222,37.2,38.62,40.04,41.46,42.88,44.3,44.45,44.6,44.75,44.9,45.05,45.2
Armenia,22.5,22.3789,22.2579,22.1368,22.0158,21.8947,21.7737,21.6526,21.5316,21.4105,21.2895,21.1684,21.0474,20.9263,20.8053,20.6842,20.5632,20.4421,20.3211,20.2,,,,,,
Australia,,,,,,,,,,,,,,,74.8,74.3,73.8,73.3,72.8,72.3,73.6333,74.9667,76.3,77.6333,78.9667,80.3
Azerbaijan,55.6,56.5316,57.4632,58.3947,59.3263,60.2579,61.1895,62.1211,63.0526,63.9842,64.9158,65.8474,66.7789,67.7105,68.6421,69.5737,70.5053,71.4368,72.3684,73.3,,,,,,
Bangladesh,,,,,,68.7,68.92,69.14,69.36,69.58,69.8,70.02,70.24,70.46,70.68,70.9,71.12,71.34,71.56,71.78,72,72.22,72.44,72.66,72.88,73.1
Belarus,26.2,28.4211,30.6421,32.8632,35.0842,37.3053,39.5263,41.7474,43.9684,46.1895,48.4105,50.6316,52.8526,55.0737,57.2947,59.5158,61.7368,63.9579,66.1789,68.4,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,45.6
"Bosnia and Herzegovina",,,,,,34.6,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,46.5,44.74,42.98,41.22,39.46,37.7,37.75,37.8,37.85,37.9,37.95,38
Bulgaria,,,,,,,,,,,,,,,18.5,,,,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,54.4,,,,,,,,,,,
