Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,,,,,,,,,63.4,61.6095,59.819,58.0286,56.2381,54.4476,52.6571,50.8667,49.0762,47.2857,45.4952,43.7048,41.9143,40.1238,38.3333,36.5429,34.7524,32.9619,31.1714,29.381,27.5905,25.8
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,6.7273,6.5545,6.3818,6.2091,6.0364,5.8636,5.6909,5.5182,5.3455,5.1727,5
Argentina,20.4,20.2278,20.0556,19.8833,19.7111,19.5389,19.3667,19.1944,19.0222,18.85,18.6778,18.5056,18.3333,18.1611,17.9889,17.8167,17.6444,17.4722,17.3,16.7,16.1,15.5,14.9,14.3,13.7,13.1,12.5,11.9,11.3,11.56,11.82,12.08,12.34,12.6,12.5833,12.5667,12.55,12.5333,12.5167,12.5
Armenia,,,,,,,,,,,,,,,,,,,41.6,39.9667,38.3333,36.7,35.0667,33.4333,31.8,30.1667,28.5333,26.9,25.2667,23.6333,22,20.3667,18.7333,17.1,16.9667,16.8333,16.7,16.5667,16.4333,16.3
Australia,4.6,4.6444,4.6889,4.7333,4.7778,4.8222,4.8667,4.9111,4.9556,5,5.0444,5.0889,5.1333,5.1778,5.2222,5.2667,5.3111,5.3556,5.4,5.65,5.9,6.15,6.4,6.65,6.9,7.15,7.4,7.65,7.9,7.66,7.42,7.18,6.94,6.7,7.2833,7.8667,8.45,9.0333,9.6167,10.2
Azerbaijan,,,,,,,,,,,,,,,,,,,21.5,21.36,21.22,21.08,20.94,20.8,20.66,20.52,20.38,20.24,20.1,19.96,19.82,19.68,19.54,19.4,18.6333,17.8667,17.1,16.3333,15.5667,14.8
Bangladesh,,,,,,,,,,,,,,,,,,,14.9,14.6333,14.3667,14.1,13.8333,13.5667,13.3,13.0333,12.7667,12.5,12.2333,11.9667,11.7,11.4333,11.1667,10.9,10.6333,10.3667,10.1,9.8333,9.5667,9.3
Belarus,,,,,,,,,,,,,,51.6,51.6,51.6,51.6,51.6,51.6,50.2133,48.8267,47.44,46.0533,44.6667,43.28,41.8933,40.5067,39.12,37.7333,36.3467,34.96,33.5733,32.1867,30.8,27.1333,23.4667,19.8,16.1333,12.4667,8.8
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,20.1,19.7524,19.4048,19.0571,18.7095,18.3619,18.0143,17.6667,17.319,16.9714,16.6238,16.2762,15.9286,15.581,15.2333,14.8857,14.5381,14.1905,13.8429,13.4952,13.1476,12.8
Brazil,,,,,,,,,,,,,,24.3,23.3067,22.3133,21.32,20.3267,19.3333,18.34,17.3467,16.3533,15.36,14.3667,13.3733,12.38,11.3867,10.3933,9.4,9.12,8.84,8.56,8.28,8,8.3,8.6,8.9,9.2,9.5,9.8
Bulgaria,,,,,,,,,,,,,,,,,,,41.4,41.35,41.3,41.25,41.2,41.15,41.1,41.05,41,40.95,40.9,40.6818,40.4636,40.2455,40.0273,39.8091,39.5909,39.3727,39.1545,38.9364,38.7182,38.5
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,
Chile,,,,,,,,,,,,,,27.2,25.74,24.28,22.82,21.36,19.9,19.95,20,20.05,20.1,20.15,20.2,20.25,20.3,20.35,20.4,19.36,18.32,17.28,16.24,15.2,15.35,15.5,15.65,15.8,15.95,16.1
China,,,,,,,,,,,,,,30.7,27.72,24.74,21.76,18.78,15.8,16.47,17.14,17.81,18.48,19.15,19.82,20.49,21.16,21.83,22.5,20.88,19.26,17.64,16.02,14.4,13.8333,13.2667,12.7,12.1333,11.5667,11
Colombia,,,,,,,,,,,,,,,,,,,15.7,15.42,15.14,14.86,14.58,14.3,14.02,13.74,13.46,13.18,12.9,12,11.1,10.2,9.3,8.4,8.7667,9.1333,9.5,9.8667,10.2333,10.6
Croatia,,,,,,,,,,,,,,,,,,,29.6,29.0238,28.4476,27.8714,27.2952,26.719,26.1429,25.5667,24.9905,24.4143,23.8381,23.2619,22.6857,22.1095,21.5333,20.9571,20.381,19.8048,19.2286,18.6524,18.0762,17.5
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,13.9,14.9,15.9,16.9,17.9,17.8833,17.8667,17.85,17.8333,17.8167,17.8
"Czech Republic",,,,,,,,,,,,,,27.3,25.1,22.9,20.7,18.5,16.3,16.0238,15.7476,15.4714,15.1952,14.919,14.6429,14.3667,14.0905,13.8143,13.5381,13.2619,12.9857,12.7095,12.4333,12.1571,11.881,11.6048,11.3286,11.0524,10.7762,10.5
"Dominican Republic",,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7.5,8.1,8.7,9.3,9.9,10.5
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,28.26,39.72,51.18,62.64,74.1,66.4667,58.8333,51.2,43.5667,35.9333,28.3
"El Salvador",,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,34.6,33.7467,32.8933,32.04,31.1867,30.3333,29.48,28.6267,27.7733,26.92,26.0667,25.2133,24.36,23.5067,22.6533,21.8,20.6833,19.5667,18.45,17.3333,16.2167,15.1
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,33.9545,31.8091,29.6636,27.5182,25.3727,23.2273,21.0818,18.9364,16.7909,14.6455,12.5
Finland,6.4,6.4667,6.5333,6.6,6.6667,6.7333,6.8,6.8667,6.9333,7,7.0667,7.1333,7.2,7.2667,7.3333,7.4,7.4667,7.5333,7.6,7.63,7.66,7.69,7.72,7.75,7.78,7.81,7.84,7.87,7.9,8.1636,8.4273,8.6909,8.9545,9.2182,9.4818,9.7455,10.0091,10.2727,10.5364,10.8
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.4455,9.3909,9.3364,9.2818,9.2273,9.1727,9.1182,9.0636,9.0091,8.9545,8.9
Georgia,,,,,,,,,,,,,,,,,,,34.3,34.13,33.96,33.79,33.62,33.45,33.28,33.11,32.94,32.77,32.6,32.16,31.72,31.28,30.84,30.4,28.8333,27.2667,25.7,24.1333,22.5667,21
Germany,,,,,,,,,,,,,,,,,,,18.3,18.03,17.76,17.49,17.22,16.95,16.68,16.41,16.14,15.87,15.6,15.46,15.32,15.18,15.04,14.9,14.4167,13.9333,13.45,12.9667,12.4833,12
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,21.04,20.58,20.12,19.66,19.2,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,20.7545,19.6091,18.4636,17.3182,16.1727,15.0273,13.8818,12.7364,11.5909,10.4455,9.3
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,14.86,13.82,12.78,11.74,10.7,12.1,13.5,14.9,16.3,17.7,19.1
Hungary,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.75,22,22.25,22.5,22.75,23,23.25,23.5,23.75,24,23.4818,22.9636,22.4455,21.9273,21.4091,20.8909,20.3727,19.8545,19.3364,18.8182,18.3
India,,,,,,,,,,,,,,27.6,26.6,25.6,24.6,23.6,22.6,22.77,22.94,23.11,23.28,23.45,23.62,23.79,23.96,24.13,24.3,21.88,19.46,17.04,14.62,12.2,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.4636,6.4273,6.3909,6.3545,6.3182,6.2818,6.2455,6.2091,6.1727,6.1364,6.1
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,28.3,29.3,30.3
