Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,70,72.52,75.04,77.56,80.08,82.6,82.1688,81.7375,81.3063,80.875,80.4438,80.0125,79.5813,79.15,78.7188,78.2875,77.8563,77.425,76.9938,76.5625,76.1313,75.7
Algeria,,,,,,,,,,,80.7,78.44,76.18,73.92,71.66,69.4,67.14,64.88,62.62,60.36,58.1,,,,,,
Andorra,,,,,,,,,,,,,,,,5.5,5.4727,5.4455,5.4182,5.3909,5.3636,5.3364,5.3091,5.2818,5.2545,5.2273,5.2
Azerbaijan,,,,,,90.7,90.9467,91.1933,91.44,91.6867,91.9333,92.18,92.4267,92.6733,92.92,93.1667,93.4133,93.66,93.9067,94.1533,94.4,92.9667,91.5333,90.1,88.6667,87.2333,85.8
Argentina,38.9,36.58,34.26,31.94,29.62,27.3,26.26,25.22,24.18,23.14,22.1,20.96,19.82,18.68,17.54,16.4,15.32,14.24,13.16,12.08,11,10.6,10.2,9.8,9.4,9,8.6
Armenia,,,,,,83.3,83.2571,83.2143,83.1714,83.1286,83.0857,83.0429,83,82.9571,82.9143,82.8714,82.8286,82.7857,82.7429,82.7,82.6571,82.6143,82.5714,82.5286,82.4857,82.4429,82.4
Australia,,,,,,24.7,24.35,24,23.65,23.3,22.95,22.6,22.25,21.9,21.55,21.2,19.64,18.08,16.52,14.96,13.4,13.1333,12.8667,12.6,12.3333,12.0667,11.8
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
Bangladesh,,,,,,83.7,67.94,52.18,36.42,20.66,4.9,9.425,13.95,18.475,23,27.525,32.05,36.575,41.1,45.625,50.15,54.675,59.2,63.725,68.25,72.775,77.3
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3
"Bosnia and Herzegovina",,,,,,56.4,57.96,59.52,61.08,62.64,64.2,63.4688,62.7375,62.0063,61.275,60.5438,59.8125,59.0813,58.35,57.6188,56.8875,56.1563,55.425,54.6938,53.9625,53.2313,52.5
Brazil,30.2,29.38,28.56,27.74,26.92,26.1,25.65,25.2,24.75,24.3,23.85,23.4,22.95,22.5,22.05,21.6,19.5,17.4,15.3,13.2,11.1,10.3833,9.6667,8.95,8.2333,7.5167,6.8
Bulgaria,,,,,,40.8,41.69,42.58,43.47,44.36,45.25,46.14,47.03,47.92,48.81,49.7,50.6,51.5,52.4,53.3,54.2,55.1,56,56.9,57.8,58.7,59.6
