Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,62.7
Angola,,,,,,,,,,,86.5,86.5,86.5,86.5,86.5,86.5,81.35,76.2,71,65.8,63.74,61.68,59.62,57.56,55.5
Argentina,30.5,30.74,30.98,31.22,31.46,31.7,31.94,32.18,32.42,32.66,32.9,31.56,30.22,28.88,27.54,26.2,24.85,23.5,22.15,20.8,19.98,19.16,18.34,17.52,16.7
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,14.4
Bangladesh,87.3,86.78,86.26,85.74,85.22,84.7,83.32,81.94,80.56,79.18,77.8,76.4,75,73.6,72.2,70.8,68.5,66.2,63.9,61.6,60.3,59,57.7,56.4,55.1
Belize,,,,,,,,,,,,,,,,,,18.7,17.5714,16.4429,15.3143,14.1857,13.0571,11.9286,10.8
Benin,79.3,78.8,78.3,77.8,77.3,76.8,76.3,75.8,75.3,74.8,74.3,73.8,73.3,72.8,72.3,71.8,71.3,70.8,70.3,69.8,68.14,66.48,64.82,63.16,61.5
Bolivia,62.2,61.4,60.6,59.8,59,58.2,57.42,56.64,55.86,55.08,54.3,53.52,52.74,51.96,51.18,50.4,49.6,48.8,48.05,47.3,46.54,45.78,45.02,44.26,43.5
Brazil,36.7,36.18,35.66,35.14,34.62,34.1,33.58,33.06,32.54,32.02,31.5,31,30.5,30,29.5,29,28.5,28,27.45,26.9,25.98,25.06,24.14,23.22,22.3
"Burkina Faso",78.8,77.52,76.24,74.96,73.68,72.4,71.1,69.8,68.5,67.2,65.9,64.62,63.34,62.06,60.78,59.5,59.5,59.5,60.4,61.3,62.2,63.1,64,64.9,65.8
Burundi,,,,,,,,,,,,,,,,64.3,64.3,64.3,63.3857,62.4714,61.5571,60.6429,59.7286,58.8143,57.9
Cambodia,,,,,,,,,,,,,,,,78.9,76.2556,73.6111,70.9667,68.3222,65.6778,63.0333,60.3889,57.7444,55.1
Cameroon,50.8,50.56,50.32,50.08,49.84,49.6,49.36,49.12,48.88,48.64,48.4,48.2,48,47.8,47.6,47.4,47,46.6,46.35,46.1,44.44,42.78,41.12,39.46,37.8
"Central African Republic",87.5,87.94,88.38,88.82,89.26,89.7,90.14,90.58,91.02,91.46,91.9,92.34,92.78,93.22,93.66,94.1,94.55,95,95.45,95.9,95.38,94.86,94.34,93.82,93.3
Chad,98.9,98.4,97.9,97.4,96.9,96.4,95.9,95.4,94.9,94.4,93.9,93.38,92.86,92.34,91.82,91.3,90.8,90.3,89.8,89.3,89.08,88.86,88.64,88.42,88.2
Chile,,,,,,,,,,,,,,,,9,,,,,,,,,
China,43.6,42.98,42.36,41.74,41.12,40.5,39.86,39.22,38.58,37.94,37.3,36.42,35.54,34.66,33.78,32.9,31.95,31,30.05,29.1,28.32,27.54,26.76,25.98,25.2
Colombia,31.2,30.32,29.44,28.56,27.68,26.8,25.9,25,24.1,23.2,22.3,21.42,20.54,19.66,18.78,17.9,17,16.1,15.2,14.3,14.06,13.82,13.58,13.34,13.1
Comoros,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,66.1,66.8,67.5,68.2,68.9,68.9,68.9,69,69.1,69.2,69.3,69.4,69.5,69.6
"Congo (Brazzaville)",,,,,,,,,,,,,,,,53.4,52.55,51.7,50.8,49.9,49.3,48.7,48.1,47.5,46.9
"Costa Rica",,,,,,,,,,,,,,,,10.9,10.3,9.7,9.1,8.5,7.9,7.3,6.7,6.1,5.5
"Ivory Coast",53.4,53.58,53.76,53.94,54.12,54.3,54.5,54.7,54.9,55.1,55.3,55.48,55.66,55.84,56.02,56.2,56.4,56.6,56.8,57,56.8,56.6,56.4,56.2,56
"Congo (Kinshasa)",,,,,,,,,,,,,,,,76.4,72.75,69.1,65.4,61.7,64.32,66.94,69.56,72.18,74.8
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,65.6
"Dominican Republic",27.9,27.2,26.5,25.8,25.1,24.4,23.72,23.04,22.36,21.68,21,20.32,19.64,18.96,18.28,17.6,16.9,16.2,15.5,14.8,14.26,13.72,13.18,12.64,12.1
