Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,7.28,7.87,7.4733,7.0767,6.68,6.23,4.1,5.74,8.11,6.43,7.28,7.6,7.08,6.73,6.46,5.8,7.67,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,11.86,13.18,12.89,12.34,11.34,10.9371,10.5343,10.1314,9.7286,9.3257,8.9229,8.52,8.03,7.34,7.0533,6.7667,6.48,5.95,6.21,5.85,5.39,5.64,5.68,5.22,4.65,4.83,4.59,4.22,4.34,4.09,4.17,4.09,3.92,3.9,3.61,3.6,3.43,3.29,3.39,3.42,3.18,3.19,3.21,3.16,3.23,3.1,3.2,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83,9.98,10.1833,10.3867,10.59,8.55,10.33,8.17,9.33,10.73,10.01,10.49,8.16,7.49,7.18,7.66,7.27,8.16,6.6,6.65,8.05,5.88,7.19,7.3867,7.5833,7.78,7.68,7.58,6.92,7.57,7,6.8,
Australia,13.9,13.89,14.06,13.49,12.43,11.79,11.31,11.12,9.76,10.24,9.07,9.94,8.65,9.05,7.95,7.68,7.89,7.36,7.87,8.25,7.02,6.92,7.04,6.31,6.3,6.06,5.86,5.76,5.28,4.87,4.43,4.47,4.31,4.49,4.34,3.75,3.83,3.63,3.56,3.52,3.29,3.23,3.1,2.78,2.77,2.67,2.8,2.78,2.38,2.39,2.17,2.33,2.27,2.35,1.98,1.98,1.98,2.01,1.88,1.72,1.54,1.7,,
Austria,,,,,,27.18,27.86,28.69,27.12,25.58,25.47,25.54,24.88,23.87,25.41,21.85,22.4,22.42,21.85,19.2,20.24,18.54,16.9,16.86,16.54,15,14.86,14.28,13.66,12.62,12.08,11.62,11.66,10.65,10.32,10,9.73,9.33,8.34,8.57,8.09,8.29,7.63,7.49,7.7,7.02,6.79,6.37,5.65,5.4,5.37,4.88,4.52,4.49,4.62,4.06,4.17,3.4,3.55,3.17,2.88,3.1,3.1,3
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,15.62,15.0533,14.4867,13.92,13.6,13.35,13.76,13.14,52.48,18.21,12.05,11.25,11.5,12.69,10.7,11.13,10.22,10.86,9.58,10.33,11.76,11.22,10.81,9.0133,7.2167,5.42,,,,,,
Barbados,,,,,,,,,,,18.98,14.02,13.13,16.81,16.45,14.51,12.57,16.35,14.43,13.53,9.83,10.3,14.52,14.47,12.53,13.67,8.94,14.67,14.29,9.05,7.86,7.89,5.6,9.24,6.99,7.04,11.66,10.95,8.95,6.64,8.17,10.01,9.75,4.48,7.69,2.18,3.062,3.944,4.826,5.708,6.59,7.83,4.48,4.93,5,3.66,4.52,2.09,1.67,1.6467,1.6233,1.6,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.48,18.02,17.7167,17.4133,17.11,16.42,16,16.1,15.96,16.24,16.37,15.73,14.78,15.17,14.32,13.535,12.75,13.18,13.04,12.38,11.9,11.25,10.55,10.1025,9.655,9.2075,8.76,9.15,8.97,8.385,7.8,,
Belgium,,,,,20.45,19.93,20.1,19.39,19.5,18.65,18.94,17.17,17.66,17.16,15.96,15.03,14.53,13.54,13.8,11.71,12.13,11.33,10.48,10.38,9.99,10.34,9.61,9.05,8.6,7.93,7.08,7.89,7.05,7.28,6.23,6.56,5.93,5.09,5.2,4.77,4.54,4.56,4.35,3.89,3.41,3.33,3.46,3.12,3.33,2.66,2.575,2.49,2.405,2.32,2.12,1.97,2.17,2.16,1.98,1.87,1.88,1.9,1.9,
Belize,,,,,,,,,,,,,,,,2.66,7.98,9.095,10.21,7.88,2.92,6.06,5.13,7.91,6.56,7.61,6.38,2.59,4.0567,5.5233,6.99,8.4567,9.9233,11.39,1.95,3.4733,4.9967,6.52,5.055,3.59,0.88,2.15,2.19,2.23,6.16,7.41,1.22,3.21,11.3,8.74,5.59,13.27,4.45,2.42,10.03,2.58,6.89,7.84,4.73,0.75,2.675,4.6,7.6,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32,7.23,7.11,7.1,6.86,6.7,6.22,6.31,6.41,6.23,5.95,5.71,5.83,5.8,5.57,5.33,5.16,5.24,5.13,4.81,4.75,4.72,4.63,4.49,4.53,4.49,4.52,4.51,4.45,4.22,3.91,4.19,4,4.1,
Bulgaria,,,,,,,,,,,,,,,27.21,26.79,24.33,23.14,22.71,20.16,19.33,19.06,18.28,17.81,17.52,15.58,14.82,15.45,15.52,15.34,13.08,13.65,13.3,12.44,12.87,12.39,11.44,11.23,10.9,10.53,11.67,10.01,10.57,9.64,8.68,8.68,8.21,8.17,8.04,7.47,7.11,6.54,7.33,5.8,6.22,6.27,6.03,5.68,6.19,5.07,5.12,5.1,4.9,
Canada,13.58,13.22,13.13,13.41,12.58,11.52,11.39,10.65,10.42,10.06,10.26,8.96,8.7,8.53,8.22,7.9,7.85,7.19,7.15,6.55,7.34,6.73,6.42,6.09,5.81,5.46,5.44,4.8,4.74,4.64,4.32,4.76,4.34,4.18,3.63,3.75,3.97,3.65,3.26,3.51,3.14,3.19,3.14,2.9,2.94,3.03,2.81,2.49,2.45,2.62,2.53,2.18,2.28,2.26,2.17,2.23,2.03,1.86,2.07,1.84,1.87,1.9,,
Chile,,,,,,42.86,40.9,43.72,40.12,37.58,41,38.62,37.32,39.04,38.22,33.24,31.59,31.33,31.63,33.5,31.06,30.34,28.46,27.73,26.38,24.32,21.9,20.72,19.62,20.13,19.15,17.42,15.65,15.12,14.59,14.21,13.83,13.1,13.5,13.45,13.68,11.72,13.24,11.91,11.51,11.39,10.52,11.82,11.32,10.9,10.26,9.64,10.27,9.71,9.19,9.25,8.14,8.02,8.1,8.37,8.085,7.8,8.1,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.59,15.89,15.79,15.8,14.19,14.15,13.74,12.68,13.16,11.31,11.86,12.13,12.26,12.13,,,,,,,,,,,,,
