Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,2.784810127,2.915468211,3.150972168,3.847877609,4.560831405,4.661059437,4.324629109,4.1166903,3.997792309
Algeria,4.235294118,3.76954495,3.373246841,3.146941719,3.639679802,3.144656591,2.581505108,3.436813557,3.608126911
Angola,,,,,3.515121,3.533157409,3.1952,2.857143,2.928460217
Argentina,2.852941176,2.775971258,2.565806304,3.190797142,3.453652761,3.293361316,3.205596324,3.006374786,2.953001864
Armenia,3.576923077,3.484575378,3.561958865,4.19427344,4.5352128,4.810854312,5.213837051,4.962180718,4.457739552
Australia,5.459770115,5.297188036,5.352962878,5.286545883,5.196481039,5.0239801,4.927869629,4.373495448,4.257904967
Austria,5.074766355,5.230756946,4.959832494,5.0494596,5.277373863,5.031830162,5.107843441,5.047122443,4.773008813
Azerbaijan,3.421052632,3.57913257,3.860883398,4.43415625,4.454117332,4.278847995,4.510520008,4.495007875,4.267225277
Bahrain,4.447368421,4.774562047,4.834124247,4.155716758,4.673527926,5.546046195,5.37490651,4.976646764,4.661918123
Bangladesh,3.361904762,3.529486216,3.489742683,3.494432682,3.8417016,3.949767647,3.899062852,3.863906808,3.539970193
Barbados,5.052631579,5.144044102,5.315836528,5.266152678,5.16910487,5.448468982,5.151393531,4.723331302,4.461325018
Belgium,4.162162162,4.305337692,4.211976766,4.215630025,4.347198597,4.366756236,4.363617983,4.279391624,4.145470197
Belize,,,,,,3.55954,,,
Benin,3.868965517,3.862524631,3.978374716,4.226189947,4.641725904,4.366400789,3.816447777,3.583579347,
Bhutan,,,,,,,,3.729686,3.895983856
Bolivia,2.829545455,2.968857868,2.378248908,2.643491752,3.405002936,3.456085993,3.529047662,3.484818362,3.616470089
"Bosnia and Herzegovina",3.083333333,3.143021221,2.948715516,2.40193541,2.736929722,3.235821,3.76659025,4.200856,
Botswana,4.46969697,4.509280196,4.608701526,4.661869787,5.039501412,5.065574505,4.690744558,4.48880869,4.259275291
Brazil,3.371727749,3.30103163,3.582244782,3.807594211,4.089900103,4.146339712,4.007519472,3.678678537,3.230414437
Brunei,,,4.685985,4.526381705,4.082140852,4.122107951,4.239939259,4.382565482,
