Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,129.9290099,126.6739957,110.8081714,98.88132909,96.99705579,94.12327966,91.1881941,88.94477045,87.17536369,87.89225357,87.84855431,86.96424921,81.62145609,76.51124633,73.82051132,69.48125741,67.21220843,65.01155568,62.0137866,59.5006216,56.86955935,54.43340796,52.59944106,50.94506244,49.69972046,48.80944744,48.20565473,47.49610127
Albania,76.41091784,80.81105149,80.27312748,79.38940722,78.17942983,83.08571934,91.73181356,97.28816623,94.75638524,98.43184926,107.869638,110.4002092,116.4650107,122.9267807,127.573488,128.9916935,129.5642062,126.4061662,130.0611989,132.0812723,135.5686396,140.567692,146.0596527,152.2031236,159.3255544,164.7653288,169.5498909,174.9824525
Algeria,41.93711783,41.77671204,41.82863382,42.10128046,42.12398444,42.55436789,42.94561834,43.30484418,43.51246583,44.60732013,45.24414168,45.63179773,45.938633,46.65223861,46.77710784,46.74632949,46.72818546,46.76735036,46.64954372,46.68705288,46.95818167,47.17817965,47.10048354,47.22222849,47.37013644,47.3457229,47.12479049,47.42226987
"American Samoa",47.98164952,48.28514037,48.40381678,48.16691949,48.08324786,47.97123584,47.94608192,48.0066262,48.148529,49.38525192,46.94665727,45.76783438,44.34953172,43.68189061,43.24322871,43.10781379,43.60993743,43.9846242,44.56262054,45.64814778,46.73003698,47.79281818,49.01185903,50.34766537,51.52475702,52.49930477,53.62541868,54.77402657
Andorra,43.40711467,42.81693405,43.72334322,44.45069409,47.18873611,48.22678498,48.13138982,47.76599206,47.52429715,47.86476362,48.67858072,49.17161173,49.88246167,47.74615781,46.47805763,45.80266601,45.1809559,46.05660263,47.09096019,49.15457621,50.09774455,51.1684401,52.56758474,53.8375043,54.59351689,55.12940854,55.7011983,56.12143424
Angola,48.01408642,47.60746621,47.25314845,47.40789304,47.29665866,46.45503087,44.56760124,43.46887987,44.28583173,42.84541642,41.8708261,40.10067868,38.82130798,38.13328991,37.70171784,35.91193912,34.72088102,33.07354377,32.08220709,31.086606,30.14302813,29.34414932,28.68067578,27.92759306,26.66596381,26.31927439,26.06372584,26.06056216
"Antigua and Barbuda",83.89553836,82.17556564,83.31450227,83.41469473,83.92846349,83.62527878,80.09687789,80.24106857,77.67862847,74.16080596,70.64540168,68.14160709,65.62527674,64.2223331,62.61225305,60.90228763,60.11540001,58.37951836,57.72304782,57.17650423,58.27182894,58.95837327,59.30171054,60.72445576,62.42567831,62.66282012,63.71100187,64.85005671
Argentina,84.85417515,83.1050677,83.57710267,80.81752154,77.18043012,75.76652769,74.55708347,72.88617866,72.28793671,71.85003968,67.53769203,66.81993558,66.89178841,66.68555427,62.62701709,59.49555138,57.97840237,58.32612272,54.88080382,54.24966433,53.70287987,53.10445263,52.78201626,52.81415525,52.44423277,53.05779552,53.7165461,53.72030132
Armenia,77.99626352,83.36572362,89.61153655,92.99007425,93.09598875,92.98017555,93.84021274,92.01713103,91.92049431,94.20859586,97.37931851,102.4668232,109.6307531,112.8684485,111.1175276,112.2488368,113.4377668,111.4617375,111.8913178,108.3296917,104.795268,99.63185281,92.88885804,86.98099461,83.55879031,82.32872187,82.96377974,86.47691254
Australia,64.02455487,62.36463027,62.56981133,61.41523447,62.92291571,61.99433633,62.06634324,60.60942567,59.4584604,58.32267299,58.33471373,57.40180846,57.74651318,56.12369057,54.63925589,52.89963258,52.8078863,53.82811655,53.58195793,52.15821759,50.68520908,50.65169159,48.94716675,47.86676852,48.65093003,49.58685655,50.85069788,52.23575
Austria,132.1887423,128.8389718,123.7979032,119.9618807,115.0174614,113.4334261,112.6048531,107.095207,104.0692928,100.4975093,95.78031771,88.70979002,84.93286381,79.88575512,71.87279058,68.952796,64.58719498,63.08732264,60.96123006,60.67295794,59.02251005,58.24666033,57.51428052,56.11736537,55.31324875,55.37582639,54.28321154,55.21954661
Azerbaijan,67.212743,70.24720437,75.83424758,78.89629334,82.68190385,81.97522696,82.12245871,80.2169061,79.43861915,78.48489299,78.4388663,81.50692608,86.80736266,93.96795712,98.22006019,102.3801562,105.8453757,107.0425394,104.8325754,103.3349956,102.0485583,101.0273769,99.16154146,96.25135084,94.70519786,93.50156102,93.80555678,94.97426733
Bahamas,44.33709595,44.20710444,44.5573075,45.34902695,45.83573012,46.50017944,46.99628986,45.24256841,43.55169714,43.70302279,41.95864628,42.40306482,40.89784792,41.70923195,43.08730568,42.86126399,43.72434366,43.33093503,44.43922562,45.96041611,46.65969952,47.43722167,47.87519368,48.44080403,49.88623769,51.7323046,53.01393875,54.14929234
Bahrain,21.93200697,21.77143985,21.66604156,21.27203757,20.84637134,20.45318135,20.05033836,19.64620568,19.30669506,18.40680168,17.23749468,15.87671477,14.65404981,14.26479069,13.61603158,12.61800312,11.68551472,11.17934976,10.58606216,9.959195771,9.693006235,9.858487023,10.02640203,10.09834952,10.26297512,10.49413984,10.90742466,11.42350844
Bangladesh,60.89552123,56.50252041,57.15881585,56.75278965,56.91426084,58.75363131,59.82206819,61.37864089,62.73536662,65.26906037,69.3536122,73.09359728,76.11962376,79.12016231,83.50755504,89.96087466,94.20285832,99.05587897,102.5819956,103.7733477,106.3795381,103.3194011,100.4152639,99.18959407,98.34086799,97.84092865,100.1944156,103.0022511
Barbados,126.1919031,127.6588704,129.4018872,131.2249069,132.838157,128.4108766,122.4224157,119.6668543,113.1453381,105.7632203,100.4573458,96.56353964,97.07784151,94.83624497,92.10125874,91.55623585,87.79362319,85.7701041,83.81430905,81.99714085,83.98312623,86.71279589,87.7725905,90.09008777,93.82314192,96.22606867,98.3597223,100.618929
Belarus,141.2937017,149.6777139,156.9023511,173.2196376,177.1602897,184.9650846,186.157477,190.4809656,195.6120325,201.5950007,192.0868051,202.1195992,214.3415893,208.600466,205.6265364,208.6525737,201.5651126,192.4796828,190.1560551,191.2492474,190.0524502,190.6516815,172.8019155,170.4952318,165.8427192,162.20113,164.3201902,167.1095013
Belgium,111.3475613,107.496675,106.3236526,104.2771214,101.5388914,99.13145986,97.40855894,96.04388117,93.94091039,92.36373865,92.64812417,91.36396963,91.35965828,89.97201107,85.54737689,83.5578304,79.9290628,80.28327743,79.90567217,78.55481824,76.09989613,75.84083745,75.84832094,75.23673807,71.91029325,73.39412837,72.24993386,72.70050927
Belize,37.81082285,36.89724326,36.85585824,36.69331239,36.58353933,36.66726812,37.8479431,38.19346247,39.41740671,38.97023505,36.97594089,33.23377653,31.98696562,30.99491441,30.11131635,29.47137565,29.24637528,28.40379572,27.57192424,27.9029094,27.83337736,27.7568369,27.71114827,28.08436245,28.80228492,29.25298562,29.77812305,30.35700185
Benin,44.59147172,43.53958201,42.47327245,41.26236028,40.63928941,39.97073343,39.43482025,38.41307737,37.62308484,37.19494763,37.25784211,37.0700638,36.80073534,36.24233362,35.65665634,34.91016885,34.38094253,33.87524135,33.54290986,33.40106929,33.18194717,33.27839475,33.34523774,33.16821142,32.82464674,32.22330101,31.88153236,31.58184612
