Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,216.6140638,220.2450185,233.1920995,245.0242561,246.0518847,245.3227311,243.7111552,240.6232347,236.3844332,229.0303388,222.6760661,219.2264564,222.0790185,226.3782169,227.7410338,229.8491408,228.7989276,228.4802515,230.9486535,232.6692704,234.8921131,237.2866606,239.2344722,241.4945624,242.2637034,241.281477,240.0205269,238.7823572
Albania,135.4329697,135.4385918,135.3875628,135.2962777,135.1876232,135.0864285,134.9243695,134.8359663,136.9414712,136.8554443,134.3700366,134.4159452,134.4956067,134.6838211,135.0599042,135.651486,136.4196736,137.2935931,138.2413207,139.2569739,140.2480489,141.1134099,141.7554824,142.3713903,142.6753349,142.8959203,143.2506396,143.2452971
Algeria,89.22504949,89.76975725,90.42215929,91.18557398,92.04170313,92.99594185,94.17664306,95.72804762,97.61119554,99.76238016,102.0864577,105.092138,108.97088,113.0601645,116.6346618,118.9160406,119.2081171,117.7908227,115.3069956,112.4289676,109.877087,107.6326276,105.2376487,102.7072582,100.0943015,97.48177783,94.9179287,92.45159136
"American Samoa",1175.76579,1173.161576,1169.813133,1166.229867,1163.145147,1161.473825,1159.56328,1157.275607,1154.423363,1151.060571,1147.608183,1142.267522,1135.69501,1128.548818,1121.534927,1115.577162,1111.433481,1110.059063,1110.439244,1111.544789,1112.789614,1114.880981,1119.071128,1124.894927,1131.79342,1139.40939,1147.286583,1155.124497
Andorra,243.1173039,250.2903579,250.7574607,250.8280973,246.4397349,241.7139631,239.5361478,237.8462899,235.8186593,232.3459935,227.5665916,224.1548199,222.0175155,226.3560949,230.3488244,230.6402719,230.8757019,229.4196897,226.8253574,222.0455575,218.4823537,212.5126747,210.613007,207.3706087,205.9982436,204.7003619,203.0408845,203.2933879
Angola,2315.564295,2337.122414,2350.706833,2357.180773,2358.621844,2355.496757,2336.987234,2298.623581,2252.517263,2212.033491,2189.70683,2180.653998,2171.48617,2162.619025,2154.618482,2147.059581,2141.119971,2136.338802,2131.565987,2126.238818,2118.695278,2110.009141,2101.79133,2094.291808,2087.932802,2082.949313,2079.761702,2078.135777
"Antigua and Barbuda",487.1755761,487.3711213,487.5927694,487.7810369,487.9856978,488.278336,488.5616417,488.6721209,488.6892659,488.6621097,488.5688516,488.1804041,487.3755688,486.4751097,485.7346414,485.3027688,484.7250145,483.6719725,482.5778599,481.8434862,481.7978688,482.244378,482.7662095,483.3616917,484.0053831,484.6677458,485.3274687,485.9230645
Argentina,640.9529183,648.5357983,653.6893288,657.5068507,660.2875238,662.5396716,658.3254897,644.8737261,627.691821,612.0720379,604.0664476,602.0177631,599.9511631,598.2115094,597.0497595,597.541175,621.3578149,675.4041115,739.1933026,792.4019891,815.2792301,816.7325643,818.1239912,818.7286152,818.1533545,816.2620989,813.1963645,809.2176668
Armenia,182.655306,181.795433,180.8466846,180.0952297,179.4929378,178.9677029,178.5196247,177.881809,177.380932,177.1348648,177.0501443,177.0653475,176.8769366,176.7694532,176.8463572,177.1402198,177.4687439,177.4473611,177.3831006,177.377815,177.7460601,178.2156508,178.2782233,178.0367141,177.4796289,176.814569,176.1549045,175.5274908
Australia,232.7863446,232.019807,231.1485787,230.1673593,229.1167321,228.1136714,227.0384881,225.835878,224.6413966,223.4276676,222.363378,221.3461241,220.3742491,219.6012297,218.9144607,218.3871185,217.8382567,217.2753067,216.8819782,216.6271186,216.5672648,216.4473819,216.2132475,216.0327093,215.9655623,216.006544,215.9155281,215.7603088
Austria,209.7901959,209.488287,208.6436886,207.6570646,206.48918,205.3255079,204.4758537,203.359085,202.3011005,201.3346553,200.5151807,200.173401,199.8674313,199.6961161,199.4435852,199.0006706,198.6969791,198.2865956,197.9247974,197.4098011,196.713065,196.1993677,195.7238452,195.5038992,195.4417378,195.3682125,195.1692459,194.7130046
Azerbaijan,174.2662875,173.5981944,172.8150946,172.0340854,171.3741146,170.8867637,170.5149244,170.3056729,170.1937892,170.3758999,170.939359,171.5742933,172.2025619,172.9220279,173.9630135,175.5568819,177.4504971,179.378351,181.1785718,182.8234857,184.2412066,185.2905693,186.0999892,186.607283,186.8770397,186.9590234,186.7292282,186.4204791
Bahamas,626.4094678,627.0196061,626.2036186,624.0885388,621.1962247,618.4540681,616.1505328,613.9320625,611.7975542,609.9267639,608.6924033,607.6243109,606.207251,604.7408939,603.3366934,602.3854368,604.5742277,610.7726858,618.7426114,625.7548414,629.3880836,630.7402892,632.5766539,634.783521,636.7522038,638.2240433,639.2647393,640.0234143
Bahrain,105.0911323,104.8419284,103.7666438,102.5710347,101.7145811,101.5491473,102.2291971,102.6124327,102.8268981,103.0413404,103.5145113,104.5745399,105.7509341,107.6846452,110.5351921,112.8468046,114.444422,116.4721012,118.9384465,121.1804115,121.8904144,120.3263329,118.8151195,117.8501419,116.7140197,115.1561957,112.5638356,110.4146134
Bangladesh,598.2825168,600.5695121,602.0600579,602.7813581,602.7549904,602.2169199,599.7086507,594.398022,587.2855928,579.5790674,572.6523317,565.5238434,557.0142489,548.2718954,540.53204,535.1357402,529.8807079,522.9256935,516.1402214,511.3482708,510.3944987,511.9555971,513.5605206,515.2316487,516.9764708,518.8683793,520.9525634,523.2769928
Barbados,550.9703305,551.1045559,550.8245886,550.3079372,549.5530957,548.5532456,547.05782,545.0493194,542.6885474,540.0436814,537.384478,534.5833044,531.6259463,528.8675486,526.5458027,524.830732,523.5565378,522.3950264,521.1101466,519.6888397,518.1869064,516.6811794,515.2588668,513.7219223,512.0566921,510.430447,508.9834517,507.6973489
