Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,
Albania,,,,,,,,,,,,,,,,,,6.4,5.8857,5.3714,4.8571,4.3429,3.8286,3.3143,2.8,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,28.6,32.075,35.55,39.025,42.5,,,,,
Armenia,,,,,,,,,,,,,,,,6,5.74,5.48,5.22,4.96,4.7,4.74,4.78,4.82,4.86,4.9,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,6.8,6.7,6.6,6.5,6.4,6.3,,,,,,,,,,
Bangladesh,,,,,,,,,,33,33.8667,34.7333,35.6,35.3,35,34.7,34.2,33.7,33.2,32.7,32.7,32.7,32.7,32.075,31.45,30.825,30.2,30.4,30.6,30.8,,
Benin,,,,,,,,,,,,26,25.1,24.2,23.3,22.4,21.5,21.48,21.46,21.44,21.42,21.4,20.5833,19.7667,18.95,18.1333,17.3167,16.5,,,,
Bolivia,,,,,17.2,17.26,17.32,17.38,17.44,17.5,16.55,15.6,14.65,13.7,14.1,14.5,14.9,15.3,15.7,16.14,16.58,17.02,17.46,17.9,,,,,,,,
Botswana,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,13.3,13.58,13.86,14.14,14.42,14.7,15.36,16.02,16.68,17.34,18,,,,,,,,,,,,,,,,,,,,
"Burkina Faso",,,,,,,,,31.1,30.15,29.2,28.25,27.3,26.35,25.4,24.85,24.3,23.75,23.2,23.2571,23.3143,23.3714,23.4286,23.4857,23.5429,23.6,24.4,25.2,26,26.8,,
Burundi,,,5.9,6.0609,6.2217,6.3826,6.5435,6.7043,6.8652,7.0261,7.187,7.3478,7.5087,7.6696,7.8304,7.9913,8.1522,8.313,8.4739,8.6348,8.7957,8.9565,9.1174,9.2783,9.4391,9.6,10.6,11.6,,,,
"Cape Verde",,,,,,,,,,,,,,17.6,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,8.2,8.12,8.04,7.96,7.88,7.8,7.88,7.96,8.04,8.12,8.2,9.15,10.1,11.05,12,,
Cameroon,,,,,,,35,34.4571,33.9143,33.3714,32.8286,32.2857,31.7429,31.2,30.7333,30.2667,29.8,29.3333,28.8667,28.4,27.9429,27.4857,27.0286,26.5714,26.1143,25.6571,25.2,,,,,
"Central African Republic",,,,,,,,,,,36.1,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,38.5,38.2286,37.9571,37.6857,37.4143,37.1429,36.8714,36.6,36.5364,36.4727,36.4091,36.3455,36.2818,36.2182,36.1545,36.0909,36.0273,35.9636,35.9,
Colombia,,13.6,13.4,13.2,13,12.8,13.72,14.64,15.56,16.48,17.4,17.74,18.08,18.42,18.76,19.1,19.38,19.66,19.94,20.22,20.5,20.3,20.1,19.9,19.7,19.5,,,,,,
Comoros,,,,,,,,,,,,9.1,9.2375,9.375,9.5125,9.65,9.7875,9.925,10.0625,10.2,10.3375,10.475,10.6125,10.75,10.8875,11.025,11.1625,11.3,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,23.8,24.2857,24.7714,25.2571,25.7429,26.2286,26.7143,27.2,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,27.3,28.1,28.9,29.7,30.5,31.3,32.1,32.9,,,,
"Ivory Coast",,,,,,,,,,35,34.2,33.4,32.6,31.8,31,28.8667,26.7333,24.6,22.4667,20.3333,18.2,19.8286,21.4571,23.0857,24.7143,26.3429,27.9714,29.6,,,,
Croatia,,,,,,,,,,,,,,,3.8,3.6,5.5,5.3,5,4.4,4.4,4.4,4.2,4.06,3.72,,,,,,,
