Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0.76817,0.92394,0.95241,1.09745,1.0262,1.08012,1.22264,1.35827,1.74661,1.88179,1.8359,1.79,1.74412,1.8592,1.9742,2.0893,2.2043,1.74343,1.92,2.0966,2.27317,2.195,2.1168,2.0386,1.9605,1.8823,1.8041,1.7259,1.6477,1.5696,1.4914,1.4132,1.335,1.25684,1.25603,1.7855,2.315,2.8444,3.3739,3.90339,3.8297,3.75598,5.3916,7.0272,8.6628,,
Albania,,13.90859,14.92861,13.4125,11.8963,10.3802,8.864,7.3479,5.83172,5.6177,5.4037,5.18966,5.558,5.92632,6.56027,7.02624,7.22159,7.32742,7.73881,8.14989,8.36911,8.85993,9.29417,11.18874,10.64775,10.22034,10.96305,12.73376,13.59476,14.80504,15.60373,15.97496,16.43171,16.80556,20.05554,23.3111,26.62044,30.65367,32.0778,33.40075,44.54065,49.6704,58.56549,62.54776,62.70685,58.10995,
Algeria,,,,,,,,,,,,,,,,,,8.99711,8.81953,9.5324,10.24525,10.96181,11.09426,10.9375,10.42015,10.10529,11.36206,12.1248,12.8875,13.65025,14.6069,15.56346,17.27211,18.47307,19.04336,20.76147,21.23004,23.48819,26.6535,29.81872,29.83456,31.20259,32.23133,33.96576,34.59381,36.92228,
Angola,,,,,,,,,,,,,,,,,,,0.56556,0.54655,0.56828,0.57273,0.53528,0.5457,0.5562,0.5666,0.5771,0.5876,0.59801,0.54596,0.6295,0.7131,0.79668,2.95168,2.21985,2.74878,2.69178,3.5426,4.3935,5.2444,6.0952,6.94609,8.4348,9.92357,9.6158,9.30802,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81005,16.23196,14.36836,23.48624,,,,
Argentina,13.40615,15.37015,16.44404,19.48681,22.5432,26.71619,26.81933,23.87802,21.23912,22.13987,21.72821,23.17509,23.96019,24.99454,28.84491,35.6461,37.51217,39.27063,39.009,38.7473,38.4857,38.224,37.7454,37.2668,36.78814,39.1135,41.4388,43.7641,46.08939,47.97648,53.17574,58.33249,62.23301,64.80724,65.23639,63.78537,66.8311,66.35091,68.14136,70.53329,73.9392,77.45389,78.97288,79.9867,82.91739,,
Armenia,,,,,,,,,,,,,,,,,17.5669,18.183,18.79902,20.45327,23.24662,25.42109,25.40696,23.06499,19.11834,19.01829,16.8175,22.47459,33.10497,34.6209,34.85656,32.81435,35.23866,36.20452,36.79805,38.36659,41.76502,44.33067,46.59685,49.14134,50.6443,51.00142,43.91448,43.3109,44.25461,44.3095,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06677,29.65608,29.05586,26.69797,26.75628,26.30441,31.68347,30.90319,33.92613,35.24049,35.36232,37.3577,38.73762,37.75569,16.19583,16.40542,15.27378,
Australia,15.76842,17.03279,18.30623,19.50227,21.71735,23.17725,23.9735,24.3401,24.68697,24.91366,25.07077,25.50539,25.56135,26.27422,26.90188,27.78528,29.35474,29.49725,31.27887,32.4088,35.08403,38.01018,39.38841,65.06017,66.48654,70.20424,75.16773,80.42782,68.47368,67.28881,67.03891,67.00505,75.75243,73.39426,71.69843,72.29192,71.48292,72.51995,72.91854,76.76537,80.91708,83.47076,85.41392,86.55455,90.3065,,
Austria,,12.21125,13.69206,15.13975,16.02932,16.71045,18.58124,19.31442,19.75102,20.45332,21.39269,22.32932,22.49537,23.02133,23.97762,25.56061,26.74004,27.85111,29.40321,30.62069,32.57229,34.73541,37.66069,39.82633,42.32713,45.04553,47.56636,49.6473,52.48339,54.51761,56.57258,56.80604,46.53516,46.42352,47.20039,47.78224,49.41303,51.22852,56.14998,60.71658,68.73218,71.0109,72.31488,80.38679,79.99864,81.54051,
Azerbaijan,,,,,,,,,,,,23.84296,23.952,24.061,24.17,24.279,24.38807,24.7478,25.10751,23.97125,23.34831,23.65213,24.28284,21.47215,18.74535,17.83369,17.5665,17.20255,17.49,17.7774,18.0649,18.3523,18.6397,18.9272,19.2146,19.502,19.78946,19.3646,19.04789,19.05771,19.26004,19.64731,20.43846,21.44043,23.15973,25.4832,
Bahamas,,,,,,,,30.13203,27.53458,25.74853,18.71833,16.35172,15.19963,11.63673,13.54892,15.00416,17.45378,19.36624,20.94272,20.1013,19.26,18.4186,17.5772,16.7358,15.8944,15.05303,,,,,,,,,,,,,,,,,,,,,
Bahrain,,1.51356,1.43224,1.43247,2.2393,2.23843,2.19489,3.52076,3.25162,2.76427,3.22312,4.67865,5.88692,7.9784,10.07,12.1615,12.71715,9.54413,13.29313,14.6052,15.9173,17.22944,16.95249,17.55382,16.76971,16.56093,17.60574,18.953,20.3002,21.64746,23.2214,24.7953,26.3692,27.94311,25.9507,23.95824,22.79461,27.0288,31.2631,35.4973,39.7315,43.96572,43.18819,39.52646,41.30864,43.26323,
Bangladesh,2.13191,2.2951,2.45836,2.569,3.36334,3.0726,2.78191,2.97602,2.35885,3.31323,3.18955,3.0366,3.72875,4.58003,4.92659,4.98269,4.8439,4.19086,3.60017,3.56093,4.08801,4.2401,4.3921,4.5442,4.6963,4.8483,5.0004,5.1524,5.3045,5.45656,5.44534,6.42692,6.13079,6.1778,5.6943,6.23527,7.12193,7.67804,8.60793,10.52058,11.9006,13.28069,13.38656,13.4137,13.4408,,
Barbados,,3.20871,4.21156,5.10155,5.54338,6.8113,8.0791,9.347,10.6149,11.8828,13.1506,14.4185,17.57233,18.0999,18.62752,19.365,18.7266,18.0881,17.4497,16.81125,16.75488,26.12436,27.39312,25.50796,27.085,28.662,30.2391,31.8161,33.3931,34.97016,40.58102,39.82332,43.1433,46.4633,49.7833,53.1033,56.4233,59.74332,67.7298,75.71625,69.81481,65.43223,,,,,
Belarus,,40.93049,40.1508,39.3711,38.5914,37.8117,37.03194,37.2256,37.4192,37.6128,37.80643,39.22813,39.5548,40.74359,42.055,43.74473,44.74735,45.76442,46.70534,47.33892,48.77966,47.6523,43.86241,43.34129,41.43178,40.50616,44.69694,45.36336,49.40041,52.30475,54.61008,56.89665,59.36821,62.12061,64.34112,67.07857,69.44775,71.59917,71.24412,74.45832,79.42101,85.70139,90.43713,91.02977,88.85703,87.94074,
Belgium,,16.86411,17.37737,19.42843,20.45516,20.72825,21.8209,22.9136,24.00634,25.26453,24.82541,24.32408,26.33541,27.13496,28.22408,30.95516,31.76913,33.19423,34.33978,36.04118,38.33956,39.91775,42.8717,45.82559,48.89459,54.39588,56.23701,56.3897,56.5425,56.69519,57.54978,58.24527,59.11627,59.86478,61.24803,61.4042,61.95886,61.34977,62.10217,65.19814,67.71092,69.72563,71.24437,72.30957,73.3188,75.03683,
Belize,,1.03272,0.84567,0.8705,0.8954,0.94171,1.4696,1.9974,2.5253,3.0532,3.5811,4.1089,4.6368,5.1647,5.6925,6.2204,6.7483,7.2761,7.804,8.3319,8.8597,9.3876,9.9155,10.4433,10.9712,11.4991,12.027,12.5548,13.0827,13.6106,14.1384,14.6663,16.50701,15.84018,15.40739,16.03016,17.03046,18.18984,19.10354,22.41008,21.87334,21.92109,24.3329,24.1848,23.7376,23.29035,
Benin,,0.12916,0.23682,0.43135,0.7092,0.6848,0.74002,0.98374,1.08719,0.96413,1.04869,1.4389,1.71054,1.85384,1.91716,1.9843,2.37757,2.25545,2.18883,2.32853,2.12248,2.42084,2.27115,2.04861,2.09159,2.08965,2.06138,2.51079,2.8702,3.22963,3.68104,4.46439,5.26469,5.81991,5.87204,5.78435,6.64193,7.90372,7.78705,9.87006,13.25991,12.36512,13.42122,15.36278,,,
Bermuda,,,,,,,,,,7.69918,9.9631,10.59972,11.3765,12.1533,12.9301,13.7069,14.4838,15.2606,16.0374,16.8142,17.591,18.3678,19.1446,19.9214,20.6982,21.475,22.2518,23.0286,23.8054,24.5822,25.359,26.1358,26.9127,27.6895,28.4663,29.2431,30.01988,26.17433,25.92593,32.11095,29.81673,31.16544,30.8026,29.5616,27.45973,24.3007,
Bhutan,,,,,,,,,0.40493,0.74139,0.8819,0.8343,0.7866,0.73899,0.8644,0.9899,1.1154,1.2408,1.3663,1.4917,1.6172,1.7427,1.8681,1.9936,2.119,2.2445,2.3699,2.4954,2.6209,2.74631,3.0792,3.4122,3.7451,4.078,4.4109,4.74385,4.98766,5.39844,6.46123,6.27748,7.00768,8.74156,9.4413,10.92693,,,
Bolivia,8.36535,7.53487,6.97621,7.45481,9.27635,10.0118,10.7473,11.4827,12.2182,12.9537,13.6891,14.4246,15.1601,15.8955,16.631,17.3665,18.1019,18.8374,19.5728,20.30831,20.9698,21.6312,22.2926,22.9541,23.6155,24.277,24.93843,26.8254,28.71237,31.08946,33.56229,35.72241,36.19218,38.72576,39.09473,38.86,38.6253,38.39057,,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95005,22.45634,22.10831,,,,,,,,,,,,,,
Botswana,,,0.28741,0.33206,0.37057,0.57319,0.62035,0.70901,0.84307,0.92334,1.12451,1.1846,1.34047,1.42651,1.64241,1.83223,2.18675,2.43726,2.8742,3.3112,3.7481,4.18507,4.5607,4.93633,5.36797,5.07266,5.4424,5.6182,5.79408,6.12051,6.87933,7.4302,7.75759,9.00992,9.49266,9.16608,10.00276,10.18007,14.17216,21.72014,19.1717,17.13015,21.11517,23.0755,25.03588,27.53109,23.43301
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08416,17.1192,18.15428,20.69567,23.21699,24.49124,25.98963,28.3882,30.78669,35.5621,37.0384,40.2491,43.45983,45.23902,46.44658,49.27984,50.60492,
"British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.43429,57.9546,68.47498,67.2774,66.0798,64.8823,63.6847,62.4871,59.0128,55.5386,52.0643,48.59,45.1158,41.64149,
