Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,3.864265905,4.091856993,4.623488732,5.180901935,4.668540829,4.51742873,4.407238078,4.199362488,3.964300055,3.655906428,3.293273706,3.077551676,2.682905022,2.431010853,1.94439909,1.740474295,1.560619358,1.385720285,1.301614311,1.197325943,1.110083499,1.047867918,0.974411437,0.914125028,0.857458928,0.799935372,0.756207694,0.726062179
Albania,0.002923184,0.002833265,0.002741592,0.002654852,0.002577411,0.002512637,0.002436479,0.002337747,0.002242204,0.002159467,0.002104433,0.002092433,0.002088413,0.00209205,0.002100351,0.002110462,0.002132059,0.002167255,0.00220485,0.002232912,0.002238895,0.002227053,0.002208601,0.002183825,0.002149987,0.002109449,0.002062743,0.002006248
Algeria,0.070768699,0.069672226,0.068744836,0.068017125,0.067518146,0.067274081,0.067308049,0.067552885,0.06790438,0.068274097,0.068572499,0.06880016,0.069030883,0.069277311,0.069552143,0.069868539,0.070312188,0.070893828,0.071525884,0.072129113,0.072614877,0.073008281,0.073391443,0.073755939,0.074092959,0.074396314,0.074659001,0.074878671
"American Samoa",0.002878741,0.002848391,0.002819185,0.002792248,0.002768511,0.002749246,0.002728159,0.002702604,0.002678067,0.002659663,0.002652608,0.002665,0.002695658,0.002734668,0.002771998,0.002798335,0.002822757,0.002859278,0.002899025,0.002933261,0.002955378,0.002966734,0.002976675,0.002983604,0.00298651,0.002984548,0.002976171,0.002959983
Andorra,0.001549202,0.001547717,0.001537493,0.001520382,0.001507093,0.001495538,0.001485771,0.001474791,0.001463737,0.001451839,0.001441677,0.001433289,0.001427153,0.001430963,0.001436137,0.001439735,0.001439984,0.001437672,0.001433736,0.001427867,0.001423129,0.001430164,0.001427252,0.001419527,0.001410823,0.001401569,0.001391758,0.001379355
Angola,1.684148988,1.590784154,1.503649418,1.424815372,1.356101773,1.299654819,1.25258496,1.210757864,1.172445174,1.136023872,1.100432076,1.064220091,1.027984207,0.993143621,0.961069474,0.933649296,0.909241439,0.88580129,0.863732611,0.84365077,0.826636133,0.811766889,0.797666184,0.784656143,0.772927505,0.762818045,0.75456189,0.748446703
"Antigua and Barbuda",0.07274441,0.070740326,0.068785687,0.066955675,0.065337067,0.064007666,0.062905428,0.061909728,0.06096666,0.060031603,0.059050987,0.057850899,0.056407313,0.054845581,0.053298945,0.051914275,0.050589765,0.049196105,0.047848616,0.046674026,0.045813575,0.045161611,0.044521865,0.043917431,0.043373953,0.042921451,0.042591101,0.04241867
Argentina,0.028038844,0.026200238,0.024440497,0.022804044,0.021341077,0.02008211,0.018962793,0.017895571,0.016875839,0.015904261,0.014983805,0.014052036,0.013089375,0.012167582,0.01136343,0.010749936,0.010270015,0.009833225,0.009462435,0.009181544,0.009013214,0.0089115,0.008817425,0.00873586,0.008671697,0.00862886,0.008611361,0.0086242
Armenia,0.003230819,0.003603922,0.003922341,0.004193138,0.004394626,0.004523294,0.004534308,0.004426737,0.004270477,0.004108348,0.003986772,0.003788792,0.003448311,0.003066284,0.002742083,0.00252865,0.002361555,0.002151646,0.001917707,0.001698773,0.001538927,0.001426419,0.001308251,0.001182227,0.001043154,0.000885751,0.000711337,0.000525858
Australia,0.000456818,0.000460193,0.000458286,0.00045389,0.000448317,0.000443168,0.000428627,0.000395913,0.000356115,0.000320076,0.000299607,0.000291915,0.000285342,0.00028064,0.000278652,0.000280183,0.000303808,0.000355695,0.000418402,0.000472881,0.000498922,0.00050307,0.000503311,0.000498855,0.000488237,0.000469197,0.000441588,0.000402952
Austria,0.000558316,0.000444578,0.000341192,0.000255441,0.000195455,0.000168188,0.000160052,0.000153567,0.000148758,0.000145796,0.000144809,0.00014905,0.000159681,0.000173326,0.000187311,0.000199865,0.000212718,0.000230186,0.00024884,0.000265921,0.000278548,0.000287591,0.000297377,0.000307143,0.000318211,0.000329534,0.000338571,0.000346411
Azerbaijan,0.007092646,0.00718745,0.007232504,0.00724625,0.007224782,0.007190941,0.006986119,0.006556309,0.006038617,0.005584493,0.005329969,0.005201987,0.00503035,0.004837974,0.004657244,0.00450425,0.00429443,0.003969607,0.003610271,0.003295877,0.003114549,0.003033688,0.002956675,0.002885781,0.002823384,0.002770384,0.00272894,0.002700891
Bahrain,0.119404563,0.118930705,0.118482014,0.118084689,0.117774299,0.117579461,0.117492828,0.117479512,0.117508466,0.11755428,0.117589749,0.117611015,0.117632165,0.117811115,0.118232269,0.11868927,0.119126952,0.119607647,0.120206491,0.120848697,0.121329959,0.121533072,0.121626156,0.121755111,0.121857466,0.121935794,0.121919626,0.121885797
Bangladesh,4.533509896,4.067574551,3.644209938,3.277086488,2.975121223,2.744607856,2.56160413,2.40346888,2.270422457,2.160273458,2.074369886,2.000523887,1.928531578,1.86451144,1.814134269,1.782410608,1.763234475,1.74733077,1.735098614,1.72684585,1.722662636,1.720918949,1.720077527,1.720232434,1.721430791,1.723731364,1.727227556,1.732072407
Barbados,0.135417014,0.128266928,0.121362292,0.115317064,0.110753466,0.108326936,0.106677928,0.104223871,0.101437384,0.098846789,0.096946241,0.095360746,0.093455077,0.091419009,0.089462964,0.087766217,0.085285742,0.081467771,0.077224417,0.073502478,0.071272266,0.070166433,0.069162499,0.068293928,0.067600412,0.067124682,0.06691334,0.067019351
Belarus,0.00319834,0.002625602,0.002113092,0.001678476,0.001372224,0.001233654,0.001230392,0.001292291,0.001387197,0.001483799,0.001547476,0.001588001,0.001623397,0.001650596,0.001665255,0.001660216,0.001617148,0.001536155,0.001434195,0.0013333,0.001258352,0.00119757,0.001134172,0.001065352,0.000994803,0.000921808,0.000847843,0.000776644
Belgium,0.001158888,0.00106993,0.000985223,0.000905256,0.000834017,0.000775474,0.00071975,0.000665186,0.000621065,0.000596912,0.00060187,0.000625125,0.000649271,0.000671921,0.000693874,0.000717282,0.000705084,0.000636609,0.000540071,0.000452337,0.000415521,0.000416717,0.000414729,0.000410216,0.000404056,0.000396117,0.000386957,0.000377524
Belize,0.075703651,0.072068039,0.068750208,0.065974662,0.063968949,0.062935231,0.062565079,0.062375752,0.0622647,0.06212346,0.061857529,0.061037788,0.059526274,0.057648901,0.055751597,0.05417864,0.052827574,0.051441245,0.050128225,0.049000791,0.04817802,0.047565342,0.046994217,0.046484523,0.046058459,0.045739181,0.045553554,0.045530399
Benin,1.832798834,1.756859995,1.686927619,1.624502136,1.570477734,1.526657584,1.491826851,1.462303638,1.436299055,1.411224328,1.384884085,1.356322847,1.326388062,1.297020461,1.269907065,1.247271678,1.22737334,1.207967637,1.190587898,1.176769529,1.167866349,1.162127793,1.156863218,1.152201845,1.148255321,1.145187389,1.143303756,1.142780986
Bermuda,0.063300492,0.062737218,0.062245761,0.06181766,0.061459032,0.061180936,0.06100236,0.060917153,0.060894209,0.060896166,0.060894758,0.060907248,0.06095278,0.061016295,0.061098836,0.061206338,0.061407292,0.061725094,0.062090384,0.062429171,0.062678372,0.062861418,0.063031459,0.063182832,0.0633169,0.063437827,0.06354309,0.063623818
Bhutan,3.59300499,3.293354753,3.020161848,2.818002322,2.641643474,2.493891437,2.352979063,2.219797488,2.099845446,2.00109054,1.931657351,1.882886611,1.841640128,1.807247554,1.779202987,1.756999638,1.73881698,1.722814695,1.709238767,1.698358108,1.690433409,1.68428836,1.678430894,1.673085693,1.668504855,1.664840264,1.662182659,1.660699675
Bolivia,0.436047041,0.393187837,0.3528748,0.316747653,0.286239187,0.262179661,0.242234912,0.223772907,0.207331253,0.193243255,0.181823736,0.172208086,0.16333661,0.155521361,0.149035314,0.14416853,0.140609902,0.137725129,0.135409426,0.133517855,0.131919001,0.13047428,0.129112552,0.127892461,0.126854834,0.126035627,0.12549188,0.125277755
