Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,21.94526863,21.67471504,22.54560852,22.92609215,23.25587845,24.96377945,24.87919998,24.22816467,19.19757652,19.95854187,24.7179184,27.01206779,31.6839695,33.33776474,34.23426056,34.24713898,35.82450867,37.61455154,38.43369675,36.64575577,39.0581665,38.79971695,37.97558975,34.64305115,44.67575073,45.13152695,47.91278839,49.24202347,50.10858917,49.1887207,42.79738235,43.69155121,42.47660828,37.43936157,37.78512573,37.93500519,38.44411087,36.79695892,43.0419693,39.57912827,43.44413757,54.51773834,51.72489548,43.39600754,44.99690247,41.76735306,35.55089188,36.02971649,40.04900742
Albania,21.13030624,21.13030624,21.13030624,21.13030624,21.13030624,21.13030624,21.13030624,21.13030624,21.13030624,21.13030624,21.0703373,20.98316956,20.19155884,20.47477722,19.96230507,21.05697823,19.60440063,20.58613205,20.841259,21.32088661,20.59080315,24.99074364,42.01858902,37.93610764,25.12380219,24.33659935,21.95653725,17.50059128,20.70105934,30.12142372,33.90984344,37.98093796,48.68068314,49.03702927,50.64311981,53.27178955,59.90150452,63.94789886,66.87791443,64.32209778,66.79886627,67.78096008,66.21533203,66.46169281,71.92527771,70.59661865,71.67477417,73.85439301,75.1697998
Algeria,32.51602554,31.56495285,32.36275101,34.21373749,39.76025009,39.04543686,43.94215775,44.17197037,42.97839737,42.52521515,42.79827499,42.34820557,39.78002167,36.84544373,34.80335999,32.25439453,29.45193291,28.482687,29.49059868,31.3714962,31.61112213,33.87106323,33.08966446,32.72893906,34.09568405,36.47081757,36.89541245,38.00182724,34.69035339,36.79522324,42.67087173,40.90394211,38.79103851,41.19591904,44.11540222,49.07534027,48.97227859,50.2652359,52.454216,53.48952103,50.20069504,47.66957474,47.03069305,47.12290955,42.95133972,42.92285919,42.3325386,43.02020645,43.64159012
Angola,,,,,,41.1604538,40.85410309,40.64987183,40.44564056,40.24140549,40.09434128,42.05951691,38.65460205,39.33776474,40.83479691,39.62464142,35.89921188,33.57892609,41.92786026,38.04432678,44.04244995,44.19055176,52.29827118,55.92809296,58.66270447,58.43418884,59.28806686,59.03974152,59.12754059,63.15006638,64.46594238,63.80318451,56.39431381,55.72867203,56.22042084,55.82146454,54.42207718,53.58031845,54.86637497,56.21826935,55.36925507,55.39929199,52.37131119,51.47406769,46.15254211,41.29761124,37.01698303,34.3907547,39.12704849
"Antigua and Barbuda",,,,,,,,,,,,52.04252243,50.96182632,46.70931625,48.94137573,49.98601151,50.44788742,50.59368896,47.95816422,41.51349258,46.71564484,48.9912262,50.00745392,49.22861099,47.79702377,48.29285431,47.1587677,46.4048996,45.41460037,45.45145798,44.07482147,42.31252289,41.92503357,44.68598938,47.16936874,48.49248505,50.06040573,53.86196136,53.17905807,44.89593887,43.34759903,40.05474091,41.72748566,42.33042145,46.02020645,41.88896942,41.02384949,41.45142365,43.47048569
Argentina,30.0973053,30.30153847,30.30153847,31.22058678,32.03751755,32.22261429,32.50188446,33.50188446,33.61315536,35.52222443,31.80955887,30.56595993,27.88001251,26.63745689,27.2918663,26.55318832,25.90300179,25.46195221,25.38219643,28.06130981,25.54058647,27.99912453,28.45818901,28.82690239,29.82618713,32.87433624,31.92320824,30.70948792,30.88738823,30.76163101,30.91991425,31.47848701,31.28860855,29.10473824,32.39404678,31.47082329,30.39549446,31.18278313,30.73186874,35.47988892,33.7478981,31.80288887,32.85697174,34.66312027,32.19224167,32.89522552,34.00632477,34.69726563,37.2480011
Armenia,,,,,,,,,,,,,,,,,,,,,,30.44192314,30.46389008,42.87763214,46.76699448,54.85678101,63.25139999,66.18634796,64.82553864,63.7384758,65.90036011,68.86924744,68.89862061,70.18398285,68.64458466,67.01124573,65.48588562,64.05202484,63.45746613,67.79637909,70.4589386,71.13949585,70.58799744,71.76387024,73.84313202,68.63382721,69.75149536,71.95487976,72.9462204
Aruba,,,,,,,,,,,,,,,,,69.96411133,70.69538116,74.36035156,73.75390625,78.77700043,82.71259308,82.83680725,82.65240479,82.59947968,84.6713028,84.7232666,84.5271225,82.73602295,82.37146759,85.43225861,84.35929871,83.64169312,83.54607391,84.31204987,84.19509125,84.97897339,85.68479919,86.15615082,87.20956421,77.46339417,85.03245544,83.05247498,74.05337524,72.91681671,72.65026855,70.31044006,70.90948486,69.59946442
Australia,40.04281998,39.95983505,39.77473831,40.02460098,41.12782669,40.24243927,40.1132431,40.45844269,41.40584183,41.7888298,42.65649414,42.09375763,41.85430527,41.73022079,42.16119385,42.06576157,41.90856934,43.09423447,43.03012085,42.12122345,42.44773102,43.08031082,44.38169479,46.20610046,48.86748123,49.81277466,52.3250885,52.73978424,54.03074646,56.60103607,57.22135925,58.1292572,58.27991104,58.69491959,58.04940033,58.95335007,59.79103088,60.99193192,59.9486618,58.8745079,59.42956161,59.48803329,56.63858414,54.6117363,56.5439949,55.52190018,57.27284622,57.55204391,57.56578827
Austria,57.48535156,57.50448608,58.30060959,59.25576782,61.69848251,61.18883133,62.99441528,62.64357376,62.99119186,64.12945557,65.78796387,66.91448975,66.01495361,65.33525848,66.87264252,67.9604187,65.64011383,65.16458893,65.66679382,66.87225342,67.18105316,67.02516937,66.76345825,66.722229,67.9119339,71.10843658,73.05609894,76.14503479,76.95294189,77.41066742,80.32368469,79.87915802,79.94084167,80.61933136,80.42227936,80.04285431,78.41451263,79.39057159,79.41172791,76.92105103,78.19228363,78.43695831,78.2911377,78.23727417,81.08935547,80.46607208,80.11036682,81.49440002,81.7461853
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,36.20478058,36.19204712,40.15916443,38.09009933,40.80481339,46.64512253,52.74508667,52.78392029,49.92077255,50.73323441,53.49530411,58.10372162,61.42001724,65.6591568,65.61608887,61.60134506,62.02858353,54.88504028,55.77036285,55.86329269,56.52655411,62.48868179,60.98226929,60.95786667,64.55283356,68.10842133,69.14263153,70.48532104
Bahamas,,,,53.83038712,53.91336823,54.21971512,53.81125259,54.01548386,54.11759949,53.99838257,53.31909561,53.0717659,52.69882965,52.13138962,51.88716125,51.49069214,51.13840866,50.72513199,50.28951645,50.11352539,40.90432358,40.70880127,40.35546112,40.57973862,41.37201691,43.11050797,42.51098251,30.59573936,36.78032303,34.7795105,31.04354286,29.7846756,29.2379055,29.75542259,31.14150238,32.99302673,34.24407959,35.65032578,37.00235367,34.01382828,34.33629227,35.68709564,36.42240524,36.16305542,36.76878357,35.15773773,36.43250275,34.90486145,37.86565781
Bahrain,,68.87908936,68.87908936,68.87908936,68.87908936,69.19258118,69.86820984,69.15339661,68.94916534,68.8470459,69.24187469,69.91746521,71.85652161,67.04722595,69.16886139,70.08044434,69.88960266,70.11238861,69.07987976,68.99032593,64.55305481,66.26216125,67.75061798,67.68790436,67.74110413,66.73579407,66.0202713,65.86981964,76.95077515,79.23965454,79.77681732,79.32792664,80.66300964,79.47263336,81.29582977,81.74951935,82.25976563,80.98836517,79.34196472,78.30658722,80.0045929,72.76714325,82.52567291,78.42359161,78.01285553,73.37230682,74.01750946,77.69530487,79.02513885
Bangladesh,,18.38277245,18.38277245,18.56787109,18.60613823,17.70622444,18.60613823,19.47633553,19.0040226,19.5040226,19.8292675,19.03476715,19.35892487,18.57124138,19.28693771,18.2659111,17.99936104,17.35852242,17.68815422,17.83616066,17.21451569,16.96814346,17.03125572,17.17395592,17.67651939,18.77828598,17.40440941,18.14583588,18.08254242,19.44680023,20.76503944,20.62947083,21.22340584,22.3418293,21.17221451,21.9514122,32.42710495,33.36960602,35.34840393,32.65336227,34.46753693,36.16339493,36.40977097,37.64154816,32.4511261,30.57323265,29.34092522,29.1723938,28.9051609
