Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,12.648721,12.81365832,14.14165763,13.1376092,14.26986334,13.51289687,14.01123479,13.61765771,14.29980027,16.42309179,14.89473477,13.52478368,13.58015562,13.55848119,15.23631418,14.98867953,15.46691825,15.95464419,15.11437243,15.11497462,16.024061,16.64966541,17.52618829,17.94931615,17.85971984,18.8677072,19.10753958,19.57027048,18.33687601,19.41301407,22.12134689,20.65197792,18.90175365,16.99568207,18.05644502,19.58650239,19.87944162,19.74425034,22.50976749,19.43371447,21.13181542,21.26997917,19.74541891,20.81688617,19.68428265,18.86783446,20.91108753
Austria,27.39175708,27.03535474,26.9306665,26.91936699,29.11436977,28.09463582,28.7525264,27.95395685,29.11509298,30.88077526,31.69307176,33.00066162,31.74149644,30.47819884,32.75101764,34.92132143,31.99771465,31.40620491,33.07092621,35.01520277,35.69741464,34.5904881,33.15526766,31.46389805,32.15853388,33.53314035,34.24927611,37.02808274,38.35102119,39.35703789,43.34627395,44.60581082,45.22280658,44.41436531,46.75306107,48.42678558,50.57607698,52.1836958,52.82352297,44.60662992,50.78484501,53.4125482,53.53747449,52.96719893,52.59513361,52.35213807,51.61482868
Belgium,44.48744936,43.31103473,43.6769929,47.5310414,52.34175866,45.4372004,48.04803174,47.01182032,45.28441836,49.40182121,49.59463113,53.4997196,57.49738001,59.76578959,63.74062664,61.80302115,56.6856723,55.28514502,58.78854508,62.9038418,60.97115125,59.60154895,58.19564057,55.52262064,57.81567327,59.48746787,60.44308194,63.89681771,63.39715979,63.89860211,71.85754893,71.02051259,70.3146529,68.59611445,70.3700232,73.52133838,75.71128567,77.49084021,79.69587591,69.30968143,76.44843482,81.63574304,82.30580645,81.73038691,82.62476017,80.76601654,82.86506496
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,7.528875043,6.730209685,6.983649577,7.030500335,9.56489826,10.18804801,12.37171067,14.23059027,15.18078371,16.54576151,15.24382927,14.3743163,13.3276751,13.53400051,10.85137113,10.73819942,11.46613801,11.70305477,11.63018213,11.01194282,,
Canada,21.92223296,21.06886088,21.28965336,22.77137813,24.08130451,22.03845289,21.75675016,22.77469458,24.60613198,26.40710402,27.58727792,26.44278045,25.24374762,24.97218191,27.98847565,27.59383627,27.02965011,26.03623546,26.07603127,25.05463166,25.07211431,24.33725704,26.17989187,29.1321071,32.77919005,36.10503599,37.10915576,38.14318366,40.0448098,41.87719522,44.23746802,42.03620326,40.0344024,36.82783938,37.28795097,36.7951092,35.32934774,34.15316625,34.32313544,28.43575045,29.07197391,30.56464102,30.2136045,30.16335438,31.58058753,31.57971053,31.00771179
Switzerland,42.09840221,39.98987101,39.37435914,39.73332689,41.79608514,40.3592156,43.16731292,47.09577767,45.08211616,45.38939742,47.20054786,49.16050563,45.11900373,43.77230956,48.09094511,48.56121426,44.65650297,41.8498524,43.07349171,45.60416995,42.10981641,40.49509276,41.41189284,41.42871741,40.70318233,40.68199294,41.74085368,47.24159373,46.70180734,47.41241586,52.1179027,50.88934287,48.93698712,48.10844326,51.47103956,53.79047112,56.49117012,61.30363523,62.66116372,57.23045434,63.9656691,65.46550135,67.03361061,71.92494262,64.2737114,62.13828227,65.81131268
Chile,,,,,,,,,,,,,,,,,27.13069299,28.22893413,32.23869424,33.46744683,32.2899265,30.92244583,28.58763814,25.64830303,27.33015555,28.49243959,26.64554267,26.4704497,25.52113207,28.76613108,30.53170013,32.39863011,32.80393363,35.65904551,39.80237039,40.15981647,43.79510678,45.06900389,41.42416775,37.04077361,37.74511254,37.76195747,34.12185872,32.19947338,33.06085795,29.67817285,28.46382449
China,,,,,,,,,3.963356621,5.179919277,5.918152926,7.603584402,7.960210332,7.204724643,7.917364556,8.327158722,8.719252383,10.41698895,11.01490203,9.027345967,12.45160184,13.43611783,13.55554491,11.99788341,18.5367487,17.95166336,17.92329545,19.49316556,18.34232095,18.16269531,20.89344466,20.3119009,22.64474656,26.9807575,31.06133775,33.81912413,36.02779529,35.37189753,32.50272517,24.45521927,26.26741401,26.49432252,25.40819573,24.50498168,24.08001493,22.08689678,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.91513972,15.38713577,14.81556968,16.57529971,16.77075142,16.84991592,17.63749746,16.53923243,17.78948399,16.03080966,15.93598373,18.7361065,18.25876189,17.571925,15.93654442,15.24861381,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,33.53320938,35.42840687,36.20940706,36.07096945,38.34487741,40.21910065,41.81635303,44.17866356,42.73547351,43.11444092,40.66846203,39.40045975,40.85087714,42.3936221,43.66580875,43.53023153,40.79568222,39.04581547,34.84007247,33.17295767,32.85658295,32.16956886,31.33301739,32.27699539,30.03588038,
